序号,评论者,评分,内容,时间
1,Hiro,力荐,今敏证明了1点：动画不是单纯的视觉炫技，而是服务于实拍无法达到的剧情,2009-07-19 23:42:32
2,shininglove,力荐,我祈祷拥有一颗透明的心灵和会流泪的眼睛。,2015-09-11 19:34:32
3,八千觞,推荐,"最美的镜头大概就是随着阿花拉着那个巨大的条幅落下,太阳升起的瞬间.淸子大概真的是天使,是上帝派来拯救所有人的.其实没有人是心肠歹毒的不是么.也许,东京教父就该是暖暖的,和那个封面上作为背景东京塔一样,尽管是冰冰冷冷的,可是,暖光打上去,还是灿烂的.",2010-08-03 22:57:30
4,城南草木生,力荐,"""他是洗澡的时候踩到肥皂摔死的……生命是脆弱的……""大师，再见……",2010-08-25 21:18:12
5,御姐控_光崽,力荐,"""洗澡时踩肥皂摔死的.""
""啊,人生真是难测啊!""",2008-10-11 17:40:23
6,Lan~die,力荐,"三个无家可归的人之间的奇妙友谊以及善良，整部影片都洋溢着希望和爱。  
今敏：“在我至今为止的作品中，我认为「东京教父」的创作质量最高。就这点来说，这部影片是我最喜欢的作品。”",2008-11-08 18:33:02
7,崇子,力荐,为什么力荐的人那么少？这明明是个每个人看了都会充满希望的好片子~大爱~,2008-01-11 02:18:05
8,巴喆,力荐,拾荒者、人妖和刺父的少女，没想到这不入流的、浑身恶臭的三个社会底层竟然成为了寒冷冬夜的一把火，温暖着东京这个冷漠的都市。最后阿花坠楼那一抹朝阳，给人无限希望。此片充满人道主义人文关怀，剧本主题、剪辑、结构、节奏和摄影镜头，都堪称典范。今敏若非早去，当与宫崎骏并列日本动画电影的两座巨塔。9,2016-08-01 10:42:33
9,胤祥,推荐,非典型今敏。最冷的一部片有了最大团圆的结尾。,2010-06-30 17:45:25
10,同志亦凡人中文站,力荐,辗转漫长的一夜，圆环一样的人物剧情。今敏塑造了最美的人妖啊，我的泪腺在赤鬼青鬼的故事中失控...,2015-05-25 14:41:30
11,Kaito,力荐,这是一部最不像今敏作品的今敏作品，但是一部最像今敏本人的今敏作品。透着神秘感动的新世纪最强喜剧之一。平安夜保留影目。,2005-12-24 10:13:01
12,小斑,力荐,当初是因为这一部才死心塌地喜欢今敏老师的。圣诞夜可以拿来温一壶酒的作品啊。那么可爱的人们，那么可爱的巧合，真实的世界上是不可能有。明知如此，却落力地让这一切在2D世界里不仅妥帖地存在着而且流动着发散着。最适合被冻伤的时候重温。,2014-12-29 03:47:29
13,根,还行,从听到这个片名开始就以为这是部黑道片，结果……,2017-08-11 10:19:30
14,大头绿豆,力荐,❶我是那个倒霉的出租车司机。我的车顶有天使。我会在撞烂的车前，看淡一切，若无其事地为你们指引幸子逃跑的方向。❷我不知道人妖会不会怀孕，但花的声音真的听了会怀孕。所以还请多盛一点粥，因为TA需要二人份的营养哦。❸因为这是个清澈的夜晚，所以孩子就叫清子。幼子脸颊，洒落雪粉，清澈此夜。❹有一双大脚的花，夹着双手踩着内八字奔跑的样子啊。❺打粥的大妈真的看见人妖抱着孩子。上一秒偷喝了黑社会大佬给老爸上坟敬的酒，下一秒就把他从车底救出来。胸平得像照片；真好啊，巨乳。与女儿重逢的那一刻，钞票都会笑啊。楼上的灯一会儿是会转动的眼睛，一会儿是街头霸王的血条。是的，这部电影就像一座宝藏，到处都是毫不吝啬的彩蛋细节和严丝合缝的情节串联。❻我是那个赌鬼，打开没有墙的门，说「我回来了」。,2019-05-13 17:47:21
15,柯里昂,力荐,这个故事其实可以有多种拍法，但是导演却选择了一种既严肃又活泼的方式呈现，最好的悲喜剧也不过如此吧。镜头始终对准特殊群体，流浪汉、人妖大叔 、黑社会、移民者等，以及，贯穿始终的弃婴，让人看后心中涌起暖意，而各种巧合放在这样一部作品里竟也觉得舒服合理。愿在除夕夜和爱的那个人再看一遍。,2017-08-23 23:13:41
