序号,评论者,评分,内容,时间
1,UrthónaD'Mors,推荐,“每个人都会经历这个阶段，看见一座山，就想知道山后面是什么。我很想告诉他，可能翻过去山后面，你会发觉没有什么特别，回头看会觉得这边更好。但是他不会相信，以他的性格，自己不试试是不会甘心。”,2009-05-07 17:44:23
2,苏比,力荐,"在我最美好的时间,我最喜欢的人不在我身边。如果时间可以重新开始该多好。",2009-04-03 23:50:32
3,影志,力荐,一个沙漠的后面是另外一个沙漠，一个人有烦恼是因为记性太好。“你越想知道自己是不是忘记的时候，你反而记得越清楚…当你不能够再拥有，你唯一可以做的，就是令自己不要忘记”,2009-04-25 16:31:38
4,莫沂,推荐,还是最喜欢张曼玉在窗边那几段……,2009-02-24 12:27:02
5,眠去,力荐,如果感情是可以分胜负的话，我不知道她是不是赢了，但我很清楚，从一开始，我就输了。,2008-10-21 08:14:39
6,巴喆,力荐,王家卫是借金庸的皮拍出了古龙的骨，在这里没有侠之大者，只有浪子、痴心女和大漠。　“风也未动，幡也未动，是人心自己在动。” 这漂浪的人生正如大漠一望无垠，在时间的灰烬中只想和你浪迹天涯，客死他乡。太喜欢陈勋奇的配乐《天地孤影任我行》：一去不返，一眼万年。8.6,2012-12-29 20:29:01
7,幻影刺客,推荐,你以为谈的是武侠，其实谈的是爱情；你以为谈的是爱情，其实谈的是人生。,2010-09-19 00:54:28
8,老鸡｜扶立,推荐,电影诗,2008-01-10 16:55:02
9,寂地,推荐,"当一个人没有办法拥有的时候,最好的办法就是,让自己不要忘记....
因为这句话喜欢这电影.",2006-01-02 15:08:20
10,流风揽湖,推荐,真不知道是王家卫完整了文青的矫情，还是文青的矫情毁了王家卫。,2013-09-21 20:41:29
11,泪小鱼|念。,力荐,给我一坛醉生梦死酒。,2006-12-02 20:50:17
12,暖鱼,还行,090331美嘉——这样的片子还是不适合在电影院看——人多的时候看这样的电影，就是一个旁观者。,2009-04-01 01:33:35
13,琧婯,推荐,借武打片的皮讲了一个后现代孤独症候群的异化故事,2007-06-03 01:16:14
14,趙小漁,力荐,已經好久沒有這麼NB的片兒出現了……我懷念那個NB的時代……,2008-05-04 17:49:08
15,原来是西门大嫂,推荐,王家卫还是蛮厉害的，可以把很多抽象的难以名状的东西准确的拍出来，这不就是电影最大的魅力么~刘镇伟真的很能搞王家卫啊，大话西游和天下无双简直就是东邪西毒外传么，那个太经典的成和就就不说了…,2009-04-19 01:57:07
