序号,评论者,评分,内容,时间
1,海心,力荐,请上帝保佑那个真正爱你的人吧，你把他的心都揉碎了。,2008-01-17 07:36:57
2,寂地,力荐,"一定要看啊,我喜欢斯加丽那种几乎有点蛮横的可爱感觉.甚至可以为了达到目的不责手段,要么爱她,要么讨厌她.她在贫瘠的大地上拿着一根萝卜说(这个,好象很搞笑)""我对上帝发誓,我再也不要挨饿!""我爱上她了!",2006-01-03 17:44:58
3,影志,力荐,Tomorrow is another day. 又一句该死的经典台词。,2005-08-24 07:21:29
4,funny_vee,力荐,那么早期的电影居然到现在也看不出瑕疵，太崇拜那个导演了。,2006-11-28 17:15:22
5,沈书君,推荐,也许每个女孩子心中都有一个艾希礼，只有经过时光才发现真爱原来是班瑞德。,2008-10-06 09:38:02
6,小霸王,力荐,看完斯嘉丽那么瘦小的身躯，却承受着那么大的压力，都能顶的住。真的感觉不到什么叫困难了，第二天去考试奇迹般的过了。。,2012-10-27 00:20:28
7,小爱,力荐,Clark Gable你真是每一个女人都会梦想得到的男人,2010-04-02 00:14:18
8,呵哈呼嘻嗨嘿嘤,力荐,郝思佳不算是个“好女人”，但她身上有着或许很多男人都没有的韧性，仿佛什么都无法打倒她，她永远能找到支点，重新站起来，正如她一直记在心里的“tomorrow is another day”。,2016-12-02 20:01:37
9,艾小柯,力荐,永远的经典，永不被打倒的勇气。,2006-06-16 03:16:04
10,同志亦凡人中文站,力荐,乱世只是背景，更多是跌宕起伏的女性画卷。费雯丽塑造了大银幕上绝无仅有的佳人形象：斯嘉丽任性而深情、虚荣而善良、软弱而坚强，爱得情天恨海而又愚蠢天真......在电影院如痴如醉的坐了4个小时~~~,2018-05-13 15:44:44
11,沉歌,推荐,至今记得亚特兰大的战火中她奔走的背影，裙裾摆动。她的野性和骄傲，坚强与倔强，不甘弱示或屈服，瑞德与她是相似的。如果瑞德爱上的不是郝思嘉，一定不会掉进那个自掘的陷阱里。对于郝思嘉佩服之极，对于瑞德，感动了，且唏嘘而惋惜。,2008-03-03 11:20:49
12,货拉拉拉布拉多,力荐,将近４个钟头却还是让人意犹未尽．淋漓尽致了～,2008-06-10 21:54:30
13,朝暮雪,推荐,原来80年前斯嘉丽就当了黑寡妇。,2017-03-15 02:49:32
14,豆瓣酱,推荐,电影非常出色，但我非常讨厌斯嘉丽这个角色，这是一个彻头彻尾的渣女，永远以自我为中心，把自己的幸福和所谓“独立”建立在欺骗及他人的痛苦之上。瑞德的许多言行虽然不太正人君子，但本质上还是善良的，相比之下斯嘉丽的自私则是深入骨髓的，简直不可救药，实在没法理解这样一个角色怎么能把一大帮观众给迷得不要不要的。瑞德甩掉斯嘉丽的一幕真是大快人心。,2018-11-11 00:06:44
15,游牧人,推荐,斯嘉丽和白瑞德真是最经典的荧幕形象，很少见哪部电影能以如此大的气魄和史诗气魄来塑造一个女性的一生而且还是一个富有魅力的“坏”女人。,2010-10-24 01:38:35
