序号,评论者,评分,内容,时间
1,LipingTaBaBa,还行,有点拖沓,2006-07-03 02:09:59
2,它它爱妮鸡,推荐,那只熊在自己缝自己！！,2007-11-03 16:29:17
3,裸踝,力荐,我要一只泰迪熊和一个舞男乔。,2008-12-07 11:43:14
4,Su,推荐,如果不能爱我很久，为什么要启动我爱的程序？,2012-04-25 12:15:54
5,ⒹⓎ,推荐,那个小男孩真的很会演戏,2006-02-11 13:08:40
6,LEMON酱,推荐,大卫固然可怜，可小熊比他可怜。每一个都渴望家人的爱，可惜小熊在所有人眼中都只是玩具，包括大卫。虽然他有和大卫一样的思维，却没有和大卫一样的外貌。,2017-03-04 12:04:38
7,战国客,力荐,很奇怪，看斯皮尔伯格的电影，即使有些场景拍摄得十分感人，但总是不能让我从心里感动，可能是觉得太商业了，太刻意了？,2008-06-05 01:31:54
8,匡轶歌,力荐,每看这样的片子，都对人类更绝望。卑鄙、愚蠢、自私、懦弱、残暴，实在是宇宙间最丑恶的生物。别怪塞林格会说：我认识的人越多，我就越喜欢狗。,2008-11-09 03:37:14
9,亚比煞,力荐,有些电影，是你在当下觉得了了，而今后偶然回想起某个片段，才会为它痛哭一场的，比如，戴维从残破的大厦上落入水中的那一幕。my love is real，but I‘m not。,2010-12-16 16:37:49
10,朱欢尘,推荐,因为这爱实在不像孩子对母亲的爱，所以虽然深沉永恒，却没办法让我感动……Monica不能算是坏母亲了，在她的立场上。只能说人工智能/克隆这种事本身就有很多的道德困境。最打动我的反而是泰迪熊，以及两千年后先进的外星生物身上体现出来的“人文关怀”。他们如此在意David的快乐，想尽办法实现他的心愿,2017-10-06 21:58:18
11,老阿飞—故园,力荐,"看到片尾的时候，始终不能忍住眼泪。
我存在，曾经。",2006-01-08 17:41:20
12,海心,力荐,我只想成为你的唯一，获得你全部的爱。,2009-01-01 22:19:17
13,马七柒,推荐,我不想要蓝仙女，但是我好想要那只泰迪……,2010-02-11 01:41:13
14,浅浅,力荐,让我看哭的都是好电影,2005-09-23 10:43:29
15,light7号,力荐,泰迪给自己缝伤口那儿，我真的哭了。大家都有人爱，或是能爱着别人，泰迪只有它自己,2021-07-26 17:46:23
