序号,评论者,评分,内容,时间
1,黄青蕉,力荐,怎么看都是个大悲剧啊！！最后……这群萌萌的恐龙们……全都灭绝了。,2015-04-04 14:02:51
2,影志,推荐,“感情不分草食肉食” 豆瓣评分加分法则：小清新加分，成长加分，治愈加分，卖萌加分，卖腐加分，又是日本的，加分，还是动画，再加分，这么七加八加就加成了一部豆瓣8.9分电影。★★★☆,2011-05-18 00:03:58
3,扌,力荐,这个故事告诉我们霸王龙也是可以过肩摔的！！！！！！（小甲龙的声音怎么可以这么萌T▽T（话说这片是天然腐啊兄弟爱父子情敌友CP啥的,2011-03-10 23:22:58
4,peggie,力荐,无论你去往何方，不管何时何地，我都会永远永远的爱着你。,2011-03-20 23:53:36
5,牙3牙,力荐,童年时彩色的果子和森林，迷路时被莫名其妙的青色包围，可以开心吃肉的平原是一片金黄，小甲龙的盔甲粉橙搭配得真奇怪，面对父亲的时刻不知为啥周围变得灰暗，遇见情人日子天空澄净如许，和妈妈告别时下着白茫茫的雪……嗯，感谢妈妈你让我来到这个七彩斑斓的世界。,2011-03-09 21:23:48
6,浑浊儿,力荐,不好这么萌 会被吃掉的 o(TヘTo),2011-03-11 20:15:27
7,水仙操,推荐,成长、亲情、动作、励志、治愈、搞笑、惊悚、史诗、卖萌、卖腐、名著改编一个不少！谁说非我族类其心必异？明明是天下大同好么！看我头像就知道这种人设完全是狠戳我萌点啊！,2011-03-10 19:43:00
8,xm,力荐,治愈。希望霓虹也能在地震中恢复起来，warm hug,2011-03-14 14:34:09
9,张天翼,推荐,从听到山口声音的一刻，就完全代入犬夜叉了。长颈龙们跺脚迎敌，然后全体晕掉——赵大叔说什么来着：你跺你也晕,2012-03-26 18:28:23
10,Wishbao,力荐,萌爆了~~~ umaso到底是神马龙呢=..=?,2011-03-07 00:37:23
11,弗朗索瓦张。,还行,曾经被这个系列的漫画感动到哭。电影版努力融合了原版的几个故事，但最终把原作的悲剧改成了温情，催泪效果因此减弱。一定要看原作。,2011-03-18 13:59:39
12,雁鸣时代,还行,低幼温情儿童片，浪费一个半小时。搞不懂这是怎么混进top250的？,2020-12-03 02:02:29
13,啊喔哦,推荐,从此萌上恐龙了！,2011-03-10 21:04:09
14,朝阳区妻夫木聪,力荐,妈妈，谢谢你把我抚养长大。虽然我不能成为你的孩子，但是这并不代表我不爱你。,2012-05-01 15:22:57
15,谋杀游戏机,推荐,电影宣扬的是一种自我牺牲式的爱，很欣慰最终并没有否认弱肉强食，也没有出现赵氏孤儿般的复仇。不似迪士尼动画清一色的大团圆结局，世界就在这样的既定秩序下不平衡地平衡着。“很美味”小朋友严重戳中萌点哦。,2011-04-09 21:47:30
