序号,评论者,评分,内容,时间
1,米粒,力荐,原来图书卡寻人是这里来的呀。他们的城市是立体的，真漂亮，恋爱要翻山越岭才行。电影几乎集结了所有少女时代的美好回忆，完美、理想到失真，像一个斑斓的气泡，害怕一伸手就会破碎… 乱糟糟的书桌，伸手摸来摸去就是摸不到台灯开关，生活中的细节被它完整地还原，似曾相识，却不属于我…,2014-11-04 14:03:26
2,蚂蚁没问题,推荐,美则美矣 但是看着两个初中生这样子的深情 最后还说出你将来嫁给我这种话 还是觉得有点怪怪的,2009-03-30 12:33:33
3,野次馬,力荐,这是一个我早已错过的故事，我没有在十五岁看到它，我早已进入了不用借书卡的年代。现实中，只有我一个人与图书馆天荒地老。即便如此，我还是感谢它赐予我的全部勇气。|一五年夏去了多摩市。走在コンクリートロード上，山雨欲来，穿过长长长长的階段，从来没有觉得他们如此真实过。,2012-07-11 10:39:03
4,崇子,力荐,我爱死青涩的恋爱的感觉了~~~~~,2008-09-03 13:39:53
5,阿德,力荐,阿雯：我还是下来吧  圣司：我没问题...我早就决定...要这样载着你翻山越岭...   阿雯：我不要变成你的包袱...我也早就想好了，要在背后支持你...  圣司：知道了，拜托你了——哥觉得这就是伟大的爱情！,2010-11-26 10:49:57
6,南 瓜 子,力荐,本人最喜欢的宫崎动画,2008-03-09 20:29:02
7,Kaito,力荐,近藤喜文的初啼与绝唱。像我这样的水准到处都是，这句台词当时是不是很流行呢。是否对《情书》有过影响呢。Country Road。,2009-12-13 09:32:07
8,大头绿豆,力荐,情窦初开的感脚，学生情怀的感脚，都异常生动。月岛雯的性格许多地方就像小白一样，我太喜欢了。肥猫很酷。配乐很好。,2007-02-04 03:09:40
9,眠去,未评分,为了让我的名字早点出现在借书卡上，我看了好多书。。。,2008-04-20 08:07:40
10,Alain,力荐,当代文学青年，为了让喜欢的人看到自己，会标记很多很多的书影音条目。我们也要一起让自己成为更优秀的人呀。,2018-08-20 02:23:50
11,匡轶歌,力荐,十五年前才打了三星？重温改五星。看来，还是要放在合适的年龄、合适的心境下来感受啊。站在中年的时间线上回望，才发现这是一个少女鉴定内心原石的故事：思考此生要做一个什么样的人，要走一条什么样的路，如何与天分相处，如何安放内心的热情，找到名叫“自我”的那颗原石，试炼它，善用它，珍藏它。只当成青春恋爱故事看就折损了它的维度。爱情在这过程里只是个引子，少年只是种催化。影片最末，少女说：自分を前より少し分かった。这，才叫完成了人物弧光。吉卜力的早期之作，画风已然这么动人，时代风气太美好了，真想纵身跳进这样的次元。另，一生君那时候的声音完全是少年啊，和现在找不到一点相似度。,2006-10-19 02:36:50
12,同志亦凡人中文站,力荐,看的是英文配音版。如果年轻个10岁看到这片我一定爱得痛不欲生。勾起无数回忆的90年代，初恋情怀总是诗。,2013-06-19 12:33:51
13,海心,推荐,我喜欢男爵的爱情，喜欢钟表上永远不能相见的国王和王后。,2008-11-23 19:53:26
14,贝比去南极✈,力荐,太清新美好啦！所有只顾埋头苦读却不晓得勾三搭四的的中学时代实在是太傻缺了~~要是结尾那句“你愿意嫁给我嘛”换成《穿越时空的少女》那句“我在未来等你。。”就完美了。。。。,2012-10-26 18:36:47
15,暴走君,力荐,与其说这部动画很大程度上反映了我的爱情观，不如说这部电影影响了我的爱情观,2010-10-06 20:39:05
