序号,评论者,评分,内容,时间
1,雨天女士藍調,力荐,两张绝世的脸。,2011-05-01 16:13:21
2,辣辣的皮特,推荐,宁采臣只是张国荣的。,2008-02-17 16:53:23
3,大头绿豆,还行,多年后看，还是好看。,2005-09-04 11:43:02
4,趙小漁,力荐,這個聶小倩，爾等休想再超越！,2008-05-04 17:56:36
5,太阳的倒影,推荐,飘逸写意中国古典，现在拍不出来也不愿拍,2010-09-11 15:35:01
6,44口口,力荐,王祖贤太太美了，哥哥风华绝代。,2011-03-17 23:07:49
7,原来是西门大嫂,推荐,王祖贤好看成这样有可能是人么！！！！,2008-07-04 23:10:30
8,missfaye,力荐,小贤之眉宇，没有再漂亮的,2005-12-13 23:05:06
9,福鹿,推荐,四颗星给王祖贤和张国荣的风华绝代+造型+音乐。,2011-02-03 16:17:16
10,伊豆,推荐,看过哥哥扮演的宁采臣后，之后谁演，都觉得那不是宁采臣。,2008-04-02 12:56:45
11,夏虫,较差,说实话以现代的眼光看不怎么样，基本没有剧情，中间还乱入各种自以为好笑的桥段，将近三十年前的作品，主演也很受人尊敬，所以很容易被捧上神坛，这样看来张国荣是幸运的，一直被当作神话存活在人们的记忆里，后人无论评价如何都不敢亵渎，王祖贤就没那么好运了，得忍受衰老落寞和他人的口舌，这就是活,2014-05-30 17:37:33
12,with,力荐,未见过电影院在非节假日只吉着第一排，未听过电影散场时有如此热烈的掌声，未见过全场观众都等到银幕彻底黑了才起身离场，未见过打字幕时有人拍照留念，十七年后，《倩女幽魂》仍然用事实告诉他人“经典”二字当之无愧,2010-05-28 18:34:44
13,清影照心,力荐,港片中最经典的人鬼恋。张叔平为王祖贤设计的女鬼造型使其成为香港电影中最惊艳的女性形象之一，张国荣、午马等人的表演也都神采飞扬，还有徐克机智感人的故事，程小东天马行空的武打设计，黄霑变幻多端的电子配乐，共同构成了这一部经典。,2010-09-08 13:48:01
14,胤祥,还行,尼玛这是个喜剧啊！喜剧啊！估计不是为了陪妹子看张国荣我也不会去看这个片儿了。重映的是数字版。片中最惊喜的片段是兰若寺里那些僵尸爬动竟然用得是定格动画的技法。王祖贤很PP。,2011-05-08 23:27:25
15,之仔想要间隔年,力荐,刚刚看完。电影一开始，旁边的一个女生就哭了。,2011-04-30 16:01:58
