序号,评论者,评分,内容,时间
1,塞腮,力荐,我觉得这个电影不是讲死亡 甚至什么追忆怀念云云 而是讲一个人在逆境中如何面对世俗的目光生活 从在意别人的眼光 到最后在工作中找到自己的价值 高度认同它 与世界沟通 还有宽恕他人 从而达到自我的新生 从这个角度来讲 这部电影是更像是一部励志片 而不是简单的感情片,2010-01-03 01:02:08
2,影志,力荐,The gift of the last memories. “人一辈子买的最后一样东西(棺材)是由他人决定的。” “死可能是一道门，逝去并不是终结，而是超越，走向下一程。” “入殓师就是让已经冰冷的人重新焕发生机，给她永恒的美丽，这要有冷静、准确、而且要怀着温柔的情感。”,2009-04-01 02:20:04
3,徐小花,力荐,很温柔很温柔。。眼泪有很多种，这是非常有劲道，非常耐人寻味的一颗,2009-03-19 20:17:20
4,沉歌,推荐,对待死的敬意，犹如对待生的真诚。举重若轻。,2009-03-18 17:03:04
5,Miss Lucky,未评分,“很轻的电影很重的人生”,2009-03-25 13:55:27
6,离,力荐,入殓师老板在自家店铺楼顶的玻璃花房里烤河豚鱼白吃，四周都是绿葱葱的植物。,2009-05-13 01:43:35
7,hellstay,力荐,东亚三兄弟这个儒家体系（包括日本那个变种儒家文化）都有这个臭毛病，活着的时候一忍又忍，死了却“人都死了”就各种迁就了。想成为女性的儿子被父亲接受了、想穿长筒袜的老奶奶葬礼上穿上了，一辈子糟糠妻的女人死后让丈夫知道自己的美貌。想到从小的唯物论教育下死亡就一切的湮灭，以上的事情让人更加难过了。,2021-10-31 20:23:10
8,眠去,推荐,日本人的表演还是太做作,2009-04-01 14:09:06
9,A 涂,力荐,好吃得让人为难,2010-03-12 13:42:27
10,素生,力荐,孝，最不能等,2009-03-31 19:19:29
11,故乡无用,推荐,我可能看这个片子太晚了，现在看不太有深的触动，反而会觉得情节制式化。澡堂奶奶的离世，太太的理解，父亲逝世时握紧的石子和亲缘关系的和解都可以猜到。临近结尾同场观众有很多啜泣和翻纸巾的声音，而我只觉得广末凉子扮演的女性角色太传统太刻板化了，“完美”的日本家庭主妇，永远微笑体贴理解的女性伴侣。,2021-10-29 22:07:23
12,同志亦凡人中文站,推荐,入殓既是生者的最后道别，也是死者的洒脱上路。生死之间，皆是肃穆。,2015-01-01 16:09:42
13,StarKnight,力荐,唯一缺憾：广末凉子太漂亮了……,2009-05-22 06:53:41
14,boks,推荐,迷恋死亡仪式的日本人,2009-03-28 14:14:26
15,一只小橘猪,还行,"这电影槽点太多了吧……
男主的老婆(女主)，顺从，奉献，包揽家务且引以为傲……符号化地代表世俗的眼光，自己离家出走自己又回来，就像一个没脑子乱发脾气的人，而男主一心事业，感觉根本没在意这事。
女主回来之后说：家里没我不行吧，我晕…哪里不行…是男主吃面包奶油配刺身不行？还是一个月打扫一次卫生不行？这个形象就是个单薄符号化的妻子形象，令人不适。
男主的爹…不明白最后的情节要表达什么…为啥抛弃了小孩不敢回去看他，还整得自己很有苦衷的样子？自己抛家弃子但也没过上幸福的生活，就应该得到同情了吗…(另一个女角色也是)。
而且中间女主说男主的妈妈还爱着男主的爹…这得多想不开…我就当她仅仅是认同他爹的音乐品味。
最后的疑问：怎么得到这么高分的…08年大家不吐槽这些点吗？
也不是没有优点…但我不会看第二次",2021-10-29 21:39:32
