序号,评论者,评分,内容,时间
1,肖浑,推荐,不同类，要成为集体，是多么艰难，又是多么简单 类与类融合很难，个体与个体相爱很简单 爱都是个人的事，与种族无关,2009-07-17 00:19:58
2,王老虎,力荐,这只松鼠才是角儿！,2008-06-27 20:13:37
3,缈沨,还行,我纯粹是喜欢那抱着松果的小倒霉蛋儿松鼠，哈哈……,2009-03-01 21:40:22
4,影志,推荐,成年后再次接触动画片的最初几部，当年刚上大一，跟《怪物史瑞克》一样刷新了我们整个宿舍的眼界，动画片可以这样精彩和不分年龄。,2006-02-04 06:23:22
5,沉歌,力荐,很久很久以前的冰河世纪，一只剑齿虎攻和一只树赖受相遇了……最后他们和宠物长毛象幸福的生活在了一起。THE END~,2008-05-03 18:37:02
6,海心,力荐,非常温暖，非常感动。我们一起去南方，不离不弃。,2008-11-19 19:33:00
7,巴喆,推荐,说明了人类的孤芳自赏与自大无知，在史前一万年前动物们就已经知道如此了。老虎都这么有情，叫那小孩情何以堪。原来唯一不会使用英语的竟是人类，更讶异的是，那小松鼠直接改变地球生物史。8,2012-02-18 22:47:36
8,X,力荐,啊啊啊，我能为那只松鼠打十分！！！,2017-03-19 23:01:11
9,美好时光只为你,推荐,哈哈，那只贱贱的松鼠实在是太令人想搓拉几下啦。,2017-05-06 22:37:05
10,齐木楠雄,力荐,非常搞笑，脑洞很大，松鼠太逗了,2016-08-24 12:13:59
11,美神经,力荐,伴着儿时的自己慢慢成长，觉得里面的每一只动物都值得拥有他们最好的人生。积极向上的一种态度生成了现在的自己吧。,2017-05-07 23:41:34
12,同志亦凡人中文站,力荐,哈哈哈哈哈哈,2015-05-30 16:27:44
13,bamboo,力荐,最近哭点很低~~从Diegod说话温柔的那一刻起就控制不了了 the weirdest but the best herd,2010-08-11 20:17:04
14,米粒,推荐,现在看看不算出奇，但这竟然已经是十年前的动画片了呀。开头和结尾都很不错，松鼠太可爱了，哈哈哈。,2011-05-09 03:38:00
15,人气甜辣炸鸡,力荐,超有意思的一部动画片，我觉得非常好看！强烈推荐给大家,2017-05-07 22:49:32
