序号,评论者,评分,内容,时间
1,陀螺凡达可,推荐,迪斯尼首次让出柜演员为男主配音，并通过故事向同志青少年及其家人传达出认同和出柜的积极信息，对真爱的重新定义与女权向也是自我突破。不墨守陈规也不刻意讨好成年观众，用最迪斯尼的公主童话满足全年龄受众。百老汇级别歌舞戏大赞。Elsa是首个没遇到王子的迪斯尼公主，Let It Go是出柜之歌#想太多#,2013-12-05 07:06:57
2,Wendy,推荐,一对百合一对兽人，专注黑王子一百年！,2014-01-15 21:24:45
3,É,推荐,论世俗偏见对于同志自我认知及出柜的影响。,2013-12-25 06:38:23
4,香槟塔,力荐,somebody is worth melting for.迪斯尼的动画片又一次的超越。当真爱的举动不再局限于真爱之吻。迪斯尼的公主已经不是命运的无辜的受害者。,2013-11-27 11:51:16
5,费德里科维奇,推荐,迪士尼总能在俗套和惊喜中迎刃有余，于我好于破坏王好于原始人，开头妹妹一个人在城堡里唱唱跳跳眼眶竟然有热泪划过，勇敢依旧是近几年的命题，最有笑点的动画不同于小黄人的卖萌趋势，没有刻意煽情太加分。The happiest snowman is worth melting for！,2013-12-08 14:32:09
6,CharlesChou,推荐,比去年《勇敢传说》不知道动人多少倍，虽然故事非常简单但还是有加分的小反转和非常好听的音乐。再就是....Blue is the warmest color，你们懂的...,2014-01-13 14:27:43
7,叶扬 | 独眼,还行,女建筑师的孤独,2014-02-07 04:23:59
8,小斑,力荐,pixar看到没有！这才叫「女性向动画片」。在主题设定上可解读性深了很多——「坦陈秘密获得自由」和「家人的爱融化冰雪」——成年观众完全可以作出自己的解读。除了祭出「歌唱必杀技」之外，在「真爱」这个项目上Disney终于突破自我。北欧风情还有在儿童向动画中颇反转的诡计。开头的短片加分。,2013-12-08 06:06:22
9,Kaili Urchins,推荐,结局过分轻描淡写，前面累积起来的情绪突然都泄了气。。感觉真的好可惜不然完全有资格做2010年来最优秀的好莱坞动画长片。。。P.S.故事的中心思想其实是千万不要闪婚【完全不对,2013-12-07 07:04:45
10,鹿鸣之什,力荐,拯救公主的不是王子的爱情之吻，而是女王姐姐的亲情拥抱，当然最后公主和穷小子依然相吻了。姐妹百合挺令人浮想联翩，我也乐得接受迪斯尼的开放暗示。Elsa的能力很有点“同志隐喻”，从小被要求隐藏，长大后被众人当成怪物，自己也活在恐惧之中。Let it go是自我解放的出柜之歌，骄傲于“我就是我”。,2014-01-27 11:10:38
11,亵渎电影,推荐,秉承迪士尼动画的优良传统，它的歌曲实在太棒了，偶尔让人想起去年的【悲惨世界】，因为歌曲和叙事完美的融合吧。虽然这依旧是一个关于爱的故事，但最后的故事处理还是有点出人意料，比预想中的俗套有趣的多，这一改变也让电影的主题变得更加温暖。亲情最大与接受真我，难怪被指很gay呢。★★★★,2014-01-08 22:49:58
12,爱幻想的小孩,力荐,近些年看过最好的迪士尼动画片。纵然有很多部影片的影子，但是拥有很独特视角，聚焦于姐妹情，而不是传统的王子公主幸福地在一起。人物刻画深刻，所有人都有多维不单一的性格，引入两个女性主角也是前所未有的。音乐绝对是百老汇级别的，并且是storytelling的完整组成部分，不是为了唱而唱。精彩至极！,2013-11-11 11:00:00
13,平_[bingz],推荐,今日图片新闻：南屿国王室幺子骗婚真相遭败露。安瑞戴尔王室双姝惊爆同性乱伦丑闻。今日知音热线：他为何自青春期起就迷恋胡萝卜与驯鹿。,2014-01-23 09:00:57
14,影志,较差,纯粹想当然的动画片，剧情跳跃、故事简陋到毫无逻辑，姐姐莫名就有了魔法，莫名就控制不住冬天了整个城堡，莫名就与世为敌，莫名就逃跑了，然后妹妹莫名就要独自逞强去寻找，最后莫名就真爱之拥抱嗖一下夏天来了。除了画面，没有更多可取之处。,2014-01-19 22:25:44
15,陆秋槎,推荐,如果姐妹吻了的话就是五星了。,2014-01-27 21:57:18
