序号,评论者,评分,内容,时间
1,Dululu,推荐,结局真多余。。。。。。。。,2010-12-04 22:08:49
2,六兔,力荐,一场强大的暗恋背后其实还有另外一场相反的暗恋,2010-12-02 10:24:53
3,要早睡啊minami,推荐,要不是这狗血的结尾我会打五星的！最让我感动的反而不是初恋了，是这群丑小鸭之间的友谊，让我想起我初中时候的那群小姐妹，“朱古力跳跳队”——谢十三、吴玲、杨秀丽、徐星云、拉链、吴美，还有我，一共七个，傻妞！十二万分怀念那个时候的我们……向青春致敬！,2010-11-30 01:48:42
4,米哑，,力荐,你有几个最佳损友，她们陪你分享你心里的小秘密。你在初中小心翼翼的喜欢一个男孩子，你收集关于他的一切消息，你在你们共同上学需要走的小巷口左顾右盼，你记住他的每一句话，你为他做了让自己可以变得更好更美的所有事情，那些好长好长的岁月里你只是想让他看你一眼而已。,2010-12-02 21:39:01
5,玛琦,推荐,游泳池那段哭得我稀里哗啦 现实生活到那里就结束了,2010-12-10 16:51:16
6,眠去,还行,唯独最后一刻他说，我一直等那个人从美国回来，眼泪真要随女主角一样掉下来。可是我，已经不相信这种王子和丑小鸭的故事了呢。要知道，初恋的美好在于，它没有后来。,2012-02-13 14:22:50
7,Nobervem,力荐,泰国电影是把青春期唯美小清新拍到极致了！,2010-11-29 12:43:42
8,蘑菇™不开花,推荐,MLGB，同样是暗恋，哥只能换回“其实你是个好人”,2010-12-07 14:54:31
9,亵渎电影,很差,对能掐出水的小帅哥没兴趣，更没暗恋过什么人，除了觉得剧情脑残之外就是对软绵绵的泰语头疼！这真的不是我的菜！小清新固然好，到拍成这样只能算俗清新！★,2011-01-03 21:11:11
10,石榴花——请给我草莓味的砒霜。,推荐,我好想跟男主角初恋啊！！！要不然初夜也行……,2010-12-14 00:43:09
11,A 涂,推荐,我一定要学会假摔,2010-12-14 14:40:43
12,又又,力荐,看完了半个小时 心情总算稍微平稳了点 可是现在打字的手还是在不停地抖 沉积了两年半的泪水不听使唤地流 那些本以为已经忘了的疯狂日子一一重现 那一件件死党们陪我做过的渺小疯狂但惊心动魄的蠢事 那个在角落里偷偷看着你的卑微的我 那个我喜欢了三年疯狂地追了三年的你 ……,2010-12-01 23:19:38
13,Rue L,未评分,那英语老师是凤姐么- -  什么时候去泰国发展了。。。,2010-12-03 16:08:25
14,Hey Johnny,推荐,泰国青春电影总喜欢把简单事情复杂化（动不动还喜欢搞个再过N年后我们来相会），但你又不能不承认小清新这种东西人家是越来越玩转了。女猪那变化也忒大了前后判若两人；Mario整部卖萌啊！还胖胖瘦瘦的来回变啊~真神奇。自己跟那儿翻本子小感伤那段小感动了；阿拓学长很自私，鉴定完毕！,2010-11-30 01:45:59
15,顾小贝,力荐,不是每个丑小鸭都会变成白天鹅，但每个丑小鸭都会倾心的爱过,2010-12-11 09:26:49
