序号,评论者,评分,内容,时间
1,老鸡｜扶立,力荐,爱德华的眼睛让人心疼,2008-01-10 16:26:34
2,宋阿慕,力荐,"JohnnyDepp最经典的一部片.
很美丽的童话.
那个孤独而美丽的爱德华让我至少哭了两遍!",2008-02-19 15:21:29
3,Doublebitch,力荐,Adward脆弱的眼神永远忘不掉,2008-01-26 18:39:55
4,杜扬Seatory,力荐,童话真美好 现实太聒噪,2006-10-24 03:48:41
5,宇宙,推荐,除了JohnnyDepp 还能有谁能有那样的眼神？,2008-04-28 14:45:43
6,吴花果,力荐,美好的东西注定只能潜藏在角落,2006-08-26 17:42:20
7,宋小君,力荐,他来之前从不下雪。,2012-01-03 17:16:05
8,一粒球。,推荐,有时候卑劣的人性才是剪刀。,2010-04-04 22:33:01
9,Rivers,推荐,孤独本是生命的常态,2010-01-24 11:42:57
10,幸运遇见你,推荐,"如果我没有刀，我就不能保护你。如果我有刀，我就不能拥抱你。
         这个城市看不到雪，我为你降一场雪，每一片雪花落地那都是在说，我爱你。
        我现在已经是个老妇人了。我只愿他记得我当初的样子。",2016-08-18 14:06:54
11,lily,推荐,佩格居住的小镇是画笔般彩色的，这里的人们好奇热情也多疑。爱德华获得明星般的关注，也在人类的世界遭遇讨伐。金对于他，永远只能是剪刀下冰雕的女神像，无法拥抱，无法守护。完美的悲剧童话，如同后来每年的雪。,2016-11-19 16:52:51
12,小斑,力荐,这片居然没有修复版！即使在TB的作品中，这都算得至纯真的一部。发明家死的时候Ed弄坏了原本是要送他作为圣诞礼物的人造手，他试图抚摸至亲的脸却只留下血痕<--姐的泪点在这里。想不到这次边上有人几乎同时开哭，而且哭得好大声。灯亮之后发现那是个清朗的白发大叔，好可爱,2007-05-12 04:26:53
13,海心,力荐,CCTV6，爱上爱德华。从此不改变。,2008-01-08 16:48:07
14,小耳朵图吗,力荐,当年看的还是没有字幕版的。英文那时候还不是很会，看的真的就是表演了。很出色的片子！启蒙片,2007-08-21 06:59:59
15,沉歌,力荐,她惊醒了他的梦，他却连一个拥抱也无法完成。,2007-10-13 14:20:27
