序号,评论者,评分,内容,时间
1,芥末小馒头,推荐,不要说烂，其实很卡通很cult,2007-02-15 18:38:00
2,杜边生,未评分,如来神掌从此和竹蜻蜓有了联系,2007-11-17 05:20:34
3,鱼丸粗面,推荐,华丽的夸张，情节倒是紧凑，毫不拖沓,2006-07-17 11:33:37
4,时间的玫瑰,还行,不喜欢什么高科技，越来越不真诚。,2008-03-25 14:33:40
5,Bono,力荐,超级耐看和严重被低估的电影，看十来遍了越看越好看，我想100年后还是有很多人爱看它。,2012-07-24 23:20:59
6,郁程,力荐,再都不可能出现比它牛B的功夫电影了,2009-09-05 08:24:31
7,离,推荐,电影院里他说，你笑得好开心。,2008-11-20 21:24:37
8,魚山飯寬,力荐,重温星爷的功夫，猛觉得这是部无比伟大的电影！,2012-01-29 02:19:06
9,一夏秋凉,力荐,别装逼了，这片绝对值5星,2016-06-12 13:40:55
10,kingfish,力荐,"包租公,包租婆,斧头帮,冯小刚被砍,....都是经典.",2006-03-22 12:49:37
11,诸葛若见,力荐,哪怕里面冷眼嘲笑一切世间丑恶，依然保留一个温暖的希望。小人物逆袭，充满悲与喜，泪水几人知，初心却未变。十年之后再看功夫，无论是打斗场面，特效技术，还是笑点包袱，依然不过时，华语动作电影巅峰之作。,2015-01-16 12:35:11
12,谋杀游戏机,推荐,在香港影史上应有特殊地位，拓展了武侠片的类型时空。草根无厘头，想象与反讽、结构与解构融为一体。数字技术创造的实景奇观,2012-11-20 23:24:11
13,恶魔奶爸Sam,力荐,功夫最后结尾所有的角色都以路人出现并不表示这是小男孩的一个幻想，而是说曾经的江湖中人和武林高手，终于都走出恩怨瞅啥，过上了幸福美满的生活，比如神雕侠侣做了普通人，火云邪神指挥起了交通——最大的证据就是，死掉的角色都没有出现，说明故事是真的，不是幻想,2015-03-15 01:34:10
14,同志亦凡人中文站,推荐,这是周星驰最后一次让我感到可爱...,2012-06-16 15:22:24
15,bobobolao,力荐,星爷21世纪最好的电影，甚至比之前的一些电影都好，我起码看过5遍我会乱说？那些经典台词都倒背如流了,2014-03-15 20:35:17
