序号,评论者,评分,内容,时间
1,水湄物语,还行,男二号太帅了,2006-03-02 10:12:50
2,呆萌小七,推荐,加勒比海盗这一系列我都特别喜欢，喜欢杰克幽默风趣，顽强，坚韧勇敢，像永远也打不死的小强，还有他的黑珍珠海盗船，太神奇了！,2018-02-02 22:43:50
3,影志,推荐,船长登陆那一段，有点创意。,2007-03-09 07:27:48
4,已注销,力荐,讲个小故事吧，有个小女孩给JohnnyDepp写信，希望他带着他的部下去学校铲除校长，于是JohnnyDepp打电话给学校，让学校把学生带到礼堂，这时候JohnnyDepp带着演员么冲上舞台，全场欢呼。嗯，我爱如此感人的故事,2011-04-12 14:52:26
5,伊谢尔伦的风,力荐,这次重温的感想主要是：准将（伊丽莎白的未婚夫）是个好人。超级大好人。（泪）,2011-06-05 16:49:36
6,嘉沐難再續.K,力荐,我看了六遍.好不好已经和商业无关了.,2008-02-13 09:49:41
7,孔雀鱼,推荐,放荡不羁的杰克船长，以海为家，以船为马的海盗们，那是属于你们的航海时代，升起骷髅旗，去远航吧！,2016-12-13 19:34:55
8,渣渣,力荐,船长还能再帅一点么－。－  放荡不羁 霸气外露 豪情四溢 男人的极致啊,2011-04-19 14:14:53
9,想念season,力荐,杰克船长就是海盗版的夏明朗有木有！！Depp真是为这种妖孽至极的角色而生的！,2011-03-28 23:31:48
10,朝暮雪,推荐,亦正亦邪，亦真亦假，铸就了银幕最经典角色之一。从此德普就是杰克船长的代名词。,2012-08-18 02:07:57
11,隔壁小红,推荐,好看的电影，剧情实在是很抓人呀，还有德普真的是太帅啦啊啊啊,2017-01-14 16:55:51
12,蓝色啄木鸟,推荐,重温仍别有风味，妖娆的船长瞬间让我想起一句歌词———原谅我这一生放荡不羁爱自由！ “ 精灵王子”很帅气！,2017-03-09 09:12:44
13,时间的玫瑰,推荐,哈哈哈哈~戴普的兰花指~,2008-03-04 20:30:30
14,susu/苏酱,还行,johnny太性感了！！！！！！！！,2006-01-17 12:41:48
15,隔岸观船,推荐,德普迷妹报个到 这角色太搞了 整部电影剧情完整 情节紧凑 套路来得让人悻然接受,2017-01-15 23:04:37
