序号,评论者,评分,内容,时间
1,根,推荐,长伊桑霍克这样的被认为是基因差……,2017-06-09 14:40:48
2,荔枝超人,推荐,“我只是把身体给了你，你却让我分享了你的梦想”（Nyman先生的配乐太惊艳,2008-07-27 16:04:13
3,半袖,力荐,没有触目惊心的科幻大场面，娓娓的说伦理、说基因技术的双刃剑。让我落泪的点不是主角们，而是最后那个医生，原来他一直都在帮助Vincent，这种梦想一旦被共享，也就推动了第一块多米诺骨牌。有趣的是，片名本身是由DNA的碱基组成的，片尾字幕显示剧组成员名字时也是先凸显出G.A.C.T，很有心思的小细节。,2008-02-24 16:32:47
4,私享史,推荐,问题不在于基因，也不在于决定论，而在于一种万恶的标准和秩序，试图消灭美妙的多样性。,2012-04-07 23:59:38
5,同志亦凡人中文站,力荐,人类的历史就是一部歧视史，财富、地位、年龄、性向、肤色...基因决定人生，不过是把这种歧视从人的出生开始以科学的形式固定下来。电影想讲述的是：我也许没有伟大的基因，但我有一颗造梦的心——我就是那个统计学上渺小到不计、但没人可以抹去的1%。,2013-02-02 20:45:00
6,Doublebitch,力荐,当你有梦想 全世界都会帮你,2010-08-01 19:43:57
7,阿子,推荐,现在再看，还挺腐的。。。,2010-05-27 21:16:51
8,巽,推荐,这名字译得太搞了～＝＝,2007-12-25 13:43:07
9,cincin,推荐,一个凄美的基情故事,2010-10-04 01:17:29
10,丁小云,力荐,看了这部《千钧一发》，没想到还真不错，男煮饺儿追求梦想时不给自己留任何后路的精神真鸡巴励志啊……这种励志非心灵鸡汤式励志，而是心灵牛鞭汤式励志……我们曾经都是星尘，莫名其妙地来到了父亲的睾丸里，来人世走一遭后重新变成星尘……反正迟早变星尘，不如追梦尽情活……,2012-04-11 21:55:30
11,20个小明≯,推荐,非常优秀的科幻电影！小时侯看过一次，丝毫没有察觉这居然是97年的作品 !今天重温依旧无法看出，当时囫囵吞枣也没法理解其中深意，如今看过后不禁唏嘘感叹！影片各个方面都堪称精品！导演对节奏拿捏得非常精准，看似平淡的叙事，表面下却暗流涌动！好剧本、好配乐、好演员、好导演，成就一部好电影,2011-04-15 22:33:01
12,撒旦的表妹,力荐,看名字以为是恐怖片，没想到是这么走心的风格。裘德洛的出场太惊艳了，那双眼睛，那个孤傲的眼神和表情让人难忘。可他最后结束自己生命的方式太残忍了，难以接受。,2012-04-07 23:01:50
13,川总,力荐,古怪的老电影气质，很励志，有点基。世界若是真的如此不公平，那我们就集体作弊去吧。,2012-03-10 12:44:47
14,黄青蕉,力荐,科幻版天才雷普利,2011-12-21 23:55:51
15,亚比煞,推荐,没有什么能比坚定的知道自己要做什么，并且拼出十二分的努力去完成它，更幸福的事了。哪怕是所有人告诉你，你注定做不到。对文森来说，是上太空。对我而言，是写出最好最真诚的作品来。不要把生命耗费在迷茫和颓废中，行动起来，让它燃烧起来。,2017-04-02 22:41:40
