序号,评论者,评分,内容,时间
1,shiya,力荐,"当罪人无法通过法律将其制裁的时候，唯有以暴制暴。
本以为是个推理片，想不到电影一开始就已经知道犯人是谁，只剩下女教师的复仇；本以为她在关键时刻会俗套地圣母一把，看在对方“还是个孩子”的份上原谅杀死自己女儿的学生，想不到她腹黑到底，把两个少年折磨到求生不得求死不能。太tm帅了。",2010-06-30 20:04:38
2,木卫二,推荐,都是你爸害的（《松子》），都是你妈逼的（《告白》），中岛哲也太喜欢成长阴影了吧……,2011-01-21 23:26:14
3,Flusse,力荐,"没有一人完全善，也没有一人完全恶。同情厌恶惊悚与快感最后一起炸裂，强烈震撼。
导演把黑暗绝望情节拍得如此娱乐好看，令人汗毛倒竖。",2010-06-09 20:27:46
4,周九九,力荐,深い、重い、中国で上映できない,2010-08-07 22:56:40
5,朝暮雪,力荐,如果你是邪恶的，那我又何必提醒自己你只是个孩子。,2017-01-20 05:45:24
6,Touma,力荐,"一个打碎的瓶子粘合起来没有痕迹/
散发了的香气又钻回密封的瓶里/
撑开的伞合起来走失的人回到原地/
一场大雨往上逆向卷起云层大气/
旋转木马倒着旋转时针它走往童年方向/
我们回到无数个开始那些个年轻激烈的早上",2011-01-21 21:13:46
7,rockets912,力荐,好久没有看到过这么震撼的剧了，喜欢这部剧的导演，处理的非常好～～～,2010-06-28 20:48:38
8,kissdemon,力荐,有三个理由给五星。其一，短评前几页充斥着“你丫要是打五星就是十足的傻逼弱智加白痴”，没错白痴总是是很多的，不介意加我一个；其二，没看过原著，没资格对其差异说三道四，但片子的流畅有足够的理由吸引我满106分钟；其三，中岛哲也一次不同以往的尝试，华丽的中岛很好看，阴暗的一样精彩。,2011-01-26 21:34:42
9,Dulcixote,推荐,这片告诉我们，正太与萝莉都是斗不过御姐的……,2011-01-27 15:58:47
10,司令,还行,片名不能好好翻译一下么，我他娘的还以为是爱情片,2011-08-18 11:34:15
11,桃桃林林,推荐,等本片有下载的时候一定会有不少恶评，与以往的中岛哲也完全不同，大量的特写与高速慢镜的运用，全片好似分段式MV，情节上各种意识流似的拼贴。导演视乎在还原一种心理动作。谈不上非常喜欢，但却仍想赞一下。,2010-11-06 20:34:15
12,狷介有乌青,推荐,你善，是因为你未被这个社会狠狠伤过；你恶，是因为你未被这个世界好好爱过。伪善的我们，有的人伪装一下子，有的人伪装一辈子，于是前者就被称为恶人，后者就被称为善人。人之初，性本善，本来也就是屁话。,2011-01-25 19:07:21
13,Q。,推荐,电影表现的方式与以往比较相当不同，全片充斥着大量的慢镜大量的特写，画面也甚是唯美。有很多人说此片因为拍摄、剪辑与音乐的搭配十足就是一部超长版的MV，但至少代表这部电影很美；也有人说内容空洞苍白，那只能说原著本身就有这样的问题。最后那句“开玩笑的……”比原著带来的震撼还大。★★★★,2011-01-22 14:31:14
14,陆钓雪de飘飘,推荐,A和B杀死了我的女儿，我不会说出他们的身份的，我要原谅他们，救赎他们，让他们知道生命的宝贵。我上面说的，是开玩笑的。,2016-08-05 01:36:55
15,同志亦凡人中文站,推荐,分段式MV＋慢镜美学。少年的邪恶原罪在松隆子的平静复仇面前就像温室里的花朵。什么样的大人，什么样的孩子：人间炼狱，就是把邪恶当幸福了。只是如果要讲述一个如此沉重的主题，又何必要使用眼花缭乱的破碎剪辑呢？害我两年前看到一半就放弃了。(ˇˍˇ）,2013-03-13 13:06:28
