序号,评论者,评分,内容,时间
1,国王KING,力荐,和奶奶在影院看的第一部，也是最后一部电影。虽然奶奶看不懂，但还是认认真真地陪我看完了，散场后说“如果你表姐也在就好了，她会喜欢的”。07年夏天暑假在广州一个小电影院的回忆，无比怀念。我和哈利一样，都失去了最亲的人。奶奶，希望远方的您，一切安好。,2009-08-11 23:32:24
2,Tari,力荐,"在b站看时，小天狼星死的时候，有一条弹幕大概是说，这是哈利第二次知道原来一条咒语就可以夺走一个人的性命，第一次是学长，现在是教父。真是感慨。
魔法部来的老女人实在是招人讨厌，不过想想也算是对当下教育现状的一种讽刺吧，很多年过去了，这段仍然可以拿出来针砭时弊。",2020-12-19 21:48:18
3,♣lùlu♣,力荐,其实我不记得我看过没,2007-06-29 12:31:44
4,Mr.Cookie🌈,力荐,乌姆里奇的形象塑造的很好，即使在剧中是个反派。粉红色的突兀鲜亮风格行走在黑色绅士低调画风的城堡里显得尤为突兀，与她的处处挑刺相呼应。另外她办公室里非常众多的可爱猫咪、喝咖啡加两勺糖、总是似笑非笑的狰狞表情以及纯粉的办公室风格等细节都与她的刻薄歹毒的特点形成强烈反差，戏剧性很强也很滑稽。,2021-09-29 12:25:47
5,🕊️,力荐,在教室点燃的反叛的烟花，抵制入侵时闪回的每个关于爱和友情的瞬间，都熠熠生辉。,2022-08-19 21:21:14
6,Hyde,力荐,奠定我价值观的一部作品，最爱电影最后一幕双胞胎冲出来撒糖果，去他吗的伏地魔，去他吗的食尸徒，我为我的信念而战。,2022-03-28 15:55:47
7,bibobibopa,力荐,这部我看过，死亡诗社,2024-11-08 14:38:23
8,无语望天,推荐,给小天狼星,2016-12-12 23:42:25
9,Alein,力荐,可惜乌姆里奇太多而小天狼星太少 纳威真的很可爱啊,2024-01-29 17:39:45
10,A-sun*,还行,感觉好奇怪啊，正常来说看一部电影应该觉得自己和主人公的命运绑在一起，但这里完全不觉得对波特有任何同情，就对他所作的任何一个决定都认为是活该都想骂他，这到底是哪里出了问题，真是觉得好奇怪啊!,2011-06-21 02:12:51
11,摇曳萧萧下,推荐,秋张同学迷人的样子教我忍不住吐了好多回。于谦儿才不是包子脸，你才是你才是。,2010-06-01 04:23:28
12,汝就做吾的犬吧,推荐,这部看得还是比较开心的，情节展开得很紧凑，一开始就直奔主题了，食死徒和凤凰社打得也比较精彩，伏地魔和邓布利多那场也很华丽，还有双胞胎让应试教育吃瘪那段也很过瘾。要说不满意的话有一点倒是真不大满意：那个中国姑娘长得实在是…,2011-08-07 23:21:18
13,StevenTong,力荐,第五輯是在上海看的3D版，故事非常離奇。本來那天訂好了晚上7點浦東的飛機回香港，然後下午在大舞臺附近逛的時候看到有戲院首映這部電影，然後看看時間還剛剛來得及可以看。誰知進去售票處一看，排了好長一條隊，而且買的都是下一場的票。正當我要打消這個念頭的時候，突然有個男人問檢票的人可不可以退票，是一張即場的票... 接下來就是那種老掉牙的對巧合的感歎，忽略。但3D的效果果然提升了精彩度，遺憾是眼鏡竟然要回收，本來還想為這個奇妙的經歷做個紀念...,2009-06-10 02:17:50
14,齐木楠雄,推荐,后面3集比前4集差一点,2016-10-21 15:28:03
15,给我个电话亭，我要拯救地球！,推荐,之前一直不敢看呢真是…闪光点都是龙套 跟着英国最好的演员演了这么多年戏还一点长进没有的猪脚真是令人拙计,2012-07-24 09:56:57
