序号,评论者,评分,内容,时间
1,Nakedself,力荐,再没有什么比一封吼叫信更叫人晕菜了！,2006-05-17 15:59:27
2,Sophie  Z,力荐,邓布利多说：让我们成为哪种人的并不是我们的能力，而是我们的选择。,2010-11-24 16:46:46
3,熊✌🏻,力荐,那时候看电影才9块钱！,2012-03-24 13:28:58
4,同志亦凡人中文站,力荐,如果一直能由哥伦布导演，那哈迷该多幸福啊...,2012-07-20 19:54:41
5,木由,力荐,重温有个好处，就是能发现很多从前没注意到的小细节。例如金妮见到哈利一声尖叫，例如弱鸡的罗恩二话不说掏出魔法棒攻击对赫敏出言不逊的马尔福，例如哭泣的桃金娘的回忆。坏处就是以现在的眼光看总觉得伏地魔输得憋屈，最后的决斗也打得像过家家。,2018-08-07 06:07:59
6,友邻广播,力荐,snape越看越可爱。这部好多梗哈哈。,2011-05-28 00:24:39
7,Immortals,力荐,“让我们成为哪种人并不是我们的能力，而是我们的选择”——邓布利多,2021-01-26 23:21:48
8,026后勤仓库,力荐,重温。第二部最大的细节就是在一切结束后，赫敏回归时和哈利拥抱，和罗恩握手。小时候并不觉得什么，长大后才发现原来对于心中的认定的好朋友不会在意自己的行为，没有过多的想法，而对于心中在意的人却极力克制自己的行为。也是为后续赫敏和罗恩在一起埋下伏笔。,2022-07-20 15:10:30
9,依.然.饭.特.稀,力荐,"好好看啊！！！以前我真的是瞎了眼了，，看着厚厚的书就烦，原来这么好看。　　好吧，我承认从现在开始我就是一位哈迷了。。　本集中Fawkes用眼泪为哈利治蛇毒的情景，好感人阿～～～　多比好可爱、好委屈阿，让人不由心生爱怜...　它的主人马尔福好可恶！！“Dobby is free!""",2010-01-19 21:43:29
10,一只爱喵的汪,力荐,哈利去救珍妮的时候，自己都快死了，还能温柔地跟她说没事，你快走。再想到珍妮叨念了哈利一个暑假，哈哈哈哈哈我的少女心。,2024-10-18 22:35:46
11,Kreuzberg,推荐,最最最欢乐的一刻是当邓布利多宣布取消考试、全部学生都高兴地拍掌的时候，赫敏幽怨地说了一句：No~。,2011-08-11 14:35:14
12,约翰迈克莱恩,推荐,邓布利多那句：“让我们成为哪种人的并不是我们的能力，而是我们的选择。”重温发现这句话简直是哈利波特的点睛总结。,2019-03-10 19:37:29
13,潇湘烟雨,力荐,这部是我第一次看的哈利波特系列电影，纪念下,2018-03-02 10:00:10
14,张苑希,推荐,“让我们成为哪种人不是因为我们的能力，而是因为我们的选择”。即使是在魔法世界里，阶级、出身、血统的歧视差别也是无处不在的，不过作为儿童文学其中表达的情感基调还是很正面的。青年伏地魔甚是亮眼，主角三人团也很有爱。,2017-11-26 19:00:51
15,根,推荐,相比于小说中哈利很干净利落地干掉了大蛇，电影里这一场仗可干得很长。,2012-01-12 13:49:18
