序号,评论者,评分,内容,时间
1,流空破刃,推荐,比前两作进步多了，hp系列电影第一次走出了平铺直叙。并且居然还有了点儿dark的风格。,2011-08-02 21:12:13
2,baobaodu,未评分,best of HP movies,2008-07-04 17:05:55
3,劳永逸,推荐,换了个导演，电影的细节比前两部更经得起推敲，三人的感情纠葛已初见端倪，同样初见端倪的还有赫敏的胸~~~话说，卢平教授的第一节黑魔法课相当有趣啊~~~,2011-06-24 23:05:38
4,sukida,力荐,整套哈利波特。我最爱这一部。最爱的场景是。哈利對赫敏說。你知道嗎。小天狼星剛才給我說叫我搬去和他一起住。這樣我就不用和德克思一家住了。或許我們可以住到鄉下去。那種可以看見天空的地方。我想他在經歷這麼多后會喜歡鄉下的。後來看到小天狼星死的時候。我特別的覺得絕望。 很多的時候我們覺得鄧布利多是最保護哈利。......,2009-06-26 11:21:29
5,同志亦凡人中文站,力荐,把原著和电影对照了一遍，感觉这部才算叫作真正的原创改编：节奏感和悬疑氛围不徐不疾，小节上处处精雕细琢。卢平最后那句“mischeif managed”比原著更回味无穷，足见阿方索暗黑大师的功力。相比之下后面的五部简直只能用鸡肋来形容！,2012-07-11 21:21:40
6,没有,还行,不喜欢这版的风格，太好莱坞了（我觉得我都要看不下去了，尤其邓波利多换演员，好不习惯说话还一惊一乍的校长......（（对对，而且这部也没有魔法世界的感觉，就是一堆特效堆积的一惊一乍，和校长给人一个感受,2010-11-29 16:55:21
7,沉歌,力荐,小天狼星殿下啊啊！《哈》里唯一一部改编得比原著小说还精彩的。,2008-01-04 17:55:26
8,阿迷大人,力荐,斯内普——全校唯一会用PPT上课的教授,2021-10-01 20:08:49
9,V,力荐,阿方索·卡隆把黑暗紧张，幽默风趣，还有机智巧妙的构思完美地融合在这一部电影中，让人意犹未尽。,2010-11-22 19:23:14
10,大宸,推荐,好导演出好片...,2006-07-18 14:57:45
11,tavico,推荐,能感觉导演想拍出不一样的Harry Potter,2009-07-25 21:52:32
12,Bill,力荐,原本的故事在精彩程度上或许不如前两部 但却是最富有内涵的 一定程度上抛开了过于浓重的儿童读物气息 电影也是系列中最为优秀的 换了导演之后风格上的突破很大 特别是开头的设置 服装设计也越来越对味了 导演还执导了Children of Men 很能在影片中表达自己的思想,2007-08-13 00:01:31
13,Nakedself,力荐,注意到售票员韩波脸上的青春痘了吗？三层大巴里弥漫着汗和脚的味道。还有打人柳的春夏秋冬，那些都是我最喜欢的部分。墨西哥魔幻南瓜大电影，最爱。,2006-05-17 15:59:35
14,木由,力荐,哈利波特系列里除第一部外最喜欢这一部。虽然没有伏地魔，但却记录了哈利成长。脱离娃娃脸的哈利终于不再等待父亲的慈悲，昨日命悬一线的自己被今日的自己拯救。大有我已亭亭无忧亦无惧之态。小天狼星提议合住，卢平教授悉心传授救命咒。美好的未来画卷徐徐展开，一切未知都变得温柔。,2018-08-10 19:39:23
15,Panda的影音,力荐,《阿兹卡班的囚徒》虽然是《哈利·波特》系列中全球票房最低的一部，但也是极具艺术风格的一部。尽管《哈3》有些缺憾（比如，没道出活点地图的发明者，赫敏上交计时器的对话也没了……），但TA依然是我心中最爱的电影之一，我与「哈利·波特」的初次邂逅就是发生在这部《阿兹卡班的囚徒》里！→ 2013.04.20 北京 美嘉欢乐影城-三里屯店：《哈3》，3个朋友；从昨天到开始放映，我就一直告诉自己，这次不要在影院泪奔了，因为眼睛含泪肯定会影响自己观看这部我的第一部《哈利·波特》电影；然后，观影过程中全场掌声雷动，我鼓掌鼓得手都红了；可是，在时光倒流段落，朋友打来电话（手机震动），我（尽量小声）说：我真的好开心，我在影院看我最爱的《哈利·波特》，待会儿再回你电话。随后，泪如泉涌，源源不绝，无休无止，直至可爱的片尾字幕结束。~~~,2011-08-06 22:57:38
