序号,评论者,评分,内容,时间
1,tavico,推荐,花了8年才看完这部电影....,2009-07-18 11:57:39
2,墨语悠然,推荐,这部电影是刚上中学过最后一个六一的时候，学校给放的，太久远的记忆了。作者天马行空的想象力，电影精妙绝伦的现，让我第一次对想象中的“魔法”，有了一个具象的观感。虽然那是一个虚拟的世界，但是我不会忘记那份感动和震撼。九又四分之三站台，分院帽，格兰芬多，魁地奇，都是最精彩的记忆！,2016-12-15 18:44:45
3,根,力荐,一整个世界被打开了的感觉啊。,2012-01-12 13:48:27
4,宅蘑菇Moku,力荐,还是第一部最可爱了，正太是正太萝莉是萝莉的,2007-09-27 00:04:51
5,遇见彩虹🌈,推荐,当年还是在电影院看的，波特的魔法世界惊艳展开，风靡全球。,2018-03-01 13:42:04
6,如小果,力荐,演员最好看的一部。,2010-12-15 16:42:40
7,同志亦凡人中文站,力荐,忠实原著有时候未必就不能打造惊喜。,2012-07-20 19:53:40
8,猫语猫寻,力荐,我觉得这仍然是这个系列里最好看的一集吧，第一次看的时候真的惊喜死了，整体设定的展开和铺陈都让人激动，重点是哈利在这个时候是最萌最可爱的时候了，第二集开始就慢慢的长开了！对！长！开！了！,2009-09-11 03:07:38
9,麦垄风来翠浪斜,推荐,哈利波特系列的电影与小说，我能感受他们的喜怒哀乐，一同烦恼学生时代的“难熬”，当这一系列结束时，再回头看这第一部，有一种“曾当年”的感受，我私以为作者以后再写出什么样的故事也不能如当年那样打动人心，毕竟这已成了我心中的白月光，不是吗,2017-12-18 17:40:12
10,44口口,力荐,那时候是有多可爱啊，刚接触魔法的种种新鲜和刺激，比起后面的黑暗剧情以及丹尼尔越来越大叔的模样，真是怀念这里啊。,2010-10-09 00:58:11
11,AshtrayGem,力荐,第一部是最忠于原著的~而且第一次接触魔幻世界很受震撼~,2008-05-15 19:58:34
12,Nakedself,力荐,你信不信，我也养了一只猫头鹰^^,2006-05-17 15:59:21
13,无源水,推荐,结尾邓布利多太偏心了，我是其他院的就掀桌子了,2024-10-13 17:48:37
14,偏要勉强,力荐,一个全新的世界被打开了，新奇而不可思议，我们都是麻瓜，幻想一天早上猫头鹰会送来霍格沃兹的入学通知书。铁三角组合很可爱。,2018-04-17 12:41:16
15,StevenTong,力荐,我竟然還沒有在豆瓣添加哈利波特系列啊... 我怎麼當粉絲的我！第一部自然是最引人入勝的。,2009-06-10 02:11:51
