序号,评论者,评分,内容,时间
1,一粒煞白,力荐,目前为止觉得哈尔是宫崎骏作品里最帅的男角,2010-05-30 20:39:40
2,2ya,力荐,看了这个电影就想要一个家。擦地板，在阳光下面放上铺着干净桌布的餐桌，还有照顾小火苗，就如同守护爱人的心一般。,2006-01-18 12:01:31
3,我是大皮哥,还行,"赞这句 ""勇敢面对自己的时候是美丽的少女，退缩时就会变成风烛残年的老妇。"" 的评论",2013-07-22 19:35:13
4,伍德与夏洛蒂,力荐,虽然它确实不如宫崎骏的很多作品，也不是最受欢迎的，但却是我最爱。每次响起俩人初遇时在屋顶跳跃的那段音乐，都觉得莫名的悲伤。也正是因为这种感觉，它才是最爱。,2011-03-16 20:55:33
5,A L E X,力荐,染发剂事件之后，形象崩塌暴露屁孩本质萌到吐血！哈尔一定是宫崎骏作品最帅男主了，配音还是木 村 拓 哉，简直不给活路,2017-01-01 22:38:17
6,littletwo,力荐,"你的头发染上了星光的颜色……
爱的颜色……",2007-11-09 22:56:14
7,小耳朵图吗,推荐,宫崎骏的片子里。老奶奶都很丑。但都是好老奶奶。,2007-08-17 19:11:24
8,笒庐闲话Asuraa,力荐,爱，就是替爱人找回自己的心。,2009-07-30 15:46:22
9,王老虎,力荐,宫老唯一采用的美男主~~千年一见,2008-06-19 20:08:55
10,Kecalm,还行,一般，很多东西都没有交代清楚，故事线超级混乱，看得我一头雾水，只知道有一个反战的思想在里面。我不知道为什么女主要留下荒野女巫，为什么女主要留下那条狗，为什么哈尔忽然喜欢上了苏菲，为什么哈尔看到追杀他的女巫后还可以把她和狗当成一家人，为什么稻草人忽然对苏菲表白，为什么老师忽然决定停止战争等等。画面是很美，城堡的设定也很吸引人，如果我还在读小学的话我可能会很想要住进哈尔的移动城堡，可是我长大了，除了设定之外更吸引我的是好的故事。,2022-04-29 15:52:56
11,肖恩恩恩恩肖,力荐,因为有爱的能力和欲望，我们才年轻。如果太自卑与屈服现实，会像苏菲一样瞬间苍老。,2016-06-11 01:08:01
12,jingle,较差,女主为何恢复年轻这个关键点没有交代清楚、还有其他一些重要点也没有解释或逻辑不通（如为何把房子拆了建、为何躲着女法师还要留她的狗、女主妈妈怎么认出她的也没问变老原因等），可以说剧情处于半混乱状态（为了看明白还要补原著吗？）。不理解为啥同样混乱的国产片分数不超过5，这个画的好就高分。,2018-02-01 08:24:56
13,海心,力荐,爱给了苏菲勇气，哈尔爱苏菲的勇气。,2008-11-21 22:08:29
14,同志亦凡人中文站,推荐,人不漂亮活着还有什么意思...哈哈哈哈太可爱了哈尔...,2012-04-25 20:17:50
15,根,力荐,木村拓哉的声音真是亚萨西啊……,2012-07-18 21:50:33
