序号,评论者,评分,内容,时间
1,寂地,推荐,"哈哈哈.其实我是周星星FANS,心情不好看他的电影会边开朗.这个看了好多次了.一群人一起看最好玩.",2006-01-03 08:46:29
2,趙小漁,力荐,可以忽略秋香……,2008-05-23 21:46:28
3,大头绿豆,推荐,电视上常常重播这部，真奇怪。,2005-09-12 20:11:20
4,enthusiast,力荐,经典中的经典,2006-04-22 02:56:54
5,理想多钱一斤啊,还行,现在在看看16年前的周星驰片，经典到典故多得吓人,2009-10-08 10:07:57
6,Boo,未评分,谁没看过。两次。啊。,2007-10-15 14:11:58
7,momo,力荐,老少咸宜的经典喜剧。巩俐好美啊。,2018-03-06 18:33:00
8,多看电影爱电影,力荐,周星驰鼎盛时期的电影没啥好说的！全五星好评！另外，还有彩蛋，萱萱有演秋香的侍女。,2017-03-01 09:51:42
9,missfaye,推荐,小时候看一次笑崩一次,2005-12-13 23:14:43
10,东方既白,力荐,别人笑我太疯癫，我笑他人看不穿。不见五陵豪杰墓，无花无酒锄作田。,2018-04-03 08:45:14
11,遇见彩虹🌈,力荐,喜剧经典，好多年前看的周星驰的第一部片子，好多桥段现在还在用，小强。。。,2017-11-21 12:50:39
12,犀牛,推荐,"只为了“比比谁惨”那一段，就已是经典。
还有FLASH的经典《阴天》版，",2006-03-17 22:25:37
13,tommy van,力荐,郭的港还是讲你的相声吧,2010-05-30 23:20:06
14,要早睡啊minami,推荐,N遍,2009-03-27 22:15:15
15,"杉小爱|好姑娘,咱们走起来",还行,女主角选错人了……,2012-06-22 19:05:07
