序号,评论者,评分,内容,时间
1,望仔放弃减肥了,力荐,我最讨厌别人不擦润唇膏了！每次看到嘴上干裂起皮都忍不住想要亲上去！所以你要多擦一点润唇膏啊！你到底要不要我给你擦润唇膏！——好喜欢这一段，那时的张柏芝漂亮的无法用笔墨形容，脚趾甲上涂着五彩的颜色，小巧的下巴和明亮的眼，根本就是个小妖孽。【MD电影短评怎么字数限制这么短！】,2011-05-31 21:59:48
2,老鸡｜扶立,力荐,周星星电影中最喜欢的一部,2008-01-10 16:52:45
3,冉_S2,力荐,那时候的她无论多少流言蜚语都无所谓,2011-01-12 19:56:39
4,大头绿豆,力荐,星爷最好的三部电影之一。,2005-09-04 11:41:53
5,missfaye,力荐,“我是一个演员”，我最爱的周星驰作品，笑得流泪,2005-12-13 23:06:02
6,余莽,力荐,这电影我真是看一次哭一次；柳飘飘织着毛衣等尹天仇回来那场戏，小人物的爱卑微到连确认都不敢，只好扯着嗓门吵吵嚷嚷，害怕下一句他就会说：“我不要你了。”幸好尹天仇说的是“柳飘飘，我爱你。”,2021-12-22 04:33:42
7,大宸,推荐,我养你啊！,2006-07-18 14:18:42
8,Q。,推荐,以前看的时候，电影里真正隐含的意思我都不懂，但当我慢慢长大，经历的东西越来越多的时候，再回顾这些，我能领悟到星爷电影里人生的真谛，同理也可以套用在《大话西游》。ps，每次看到那句“我养你啊！”都会毫无疑问的飙泪。★★★★☆,2010-06-03 17:01:20
9,胡子,推荐,“去哪里啊？”“回家。”“然后呢？”“上班咯。”“不上班行不行？”“不上班你养我？”“嗨！”“又怎么了？”...“我养你啊。”“你先照顾好你自己吧，傻瓜。”接着张柏芝在计程车上哭成泪人，这一段真是演得太好太好了。,2014-05-22 13:34:56
10,战国客,力荐,戏梦人生，笑中带泪，好作品,2007-06-24 10:27:05
11,Laputa,力荐,当他在豪车上回答“是呀”时，一定知道自己放弃的是什么。,2022-06-13 23:00:45
12,bekey,力荐,不工作你养我吗？我养你啊！尹天仇对柳飘飘的爱就是这么简单又真挚，没有太多甜言蜜语，却一句让你温暖心窝。虽然事业屡屡受挫，但是不妨碍他那份对演员事业的热爱。喜欢他这种不怕挫折迎难而上，有机会会牢牢把握的人。但是，如果只为生计，有时候可能也要看方向的选择。但是尹天仇好像要追梦！祝福！,2018-03-28 10:38:31
13,♣lùlu♣,推荐,我不是真的要你有钱才能养我，我只需要你为了我放弃声名的勇气,2009-09-08 23:14:41
14,哀歌与终曲,力荐,他讽刺了一切，唯独没有讽刺爱情。,2023-03-16 21:19:03
15,东篱,力荐,张柏芝将柳飘飘这个角色演绎得很好，集美丽与清纯于一身，特别是转身整理头发那幕，特别撩人心弦。,2018-03-27 09:21:23
