序号,评论者,评分,内容,时间
1,影志,还行,不知道是看片情境不对，还是个人状态不佳，看完感触不多。,2013-06-12 23:28:47
2,李可笑,力荐,”假如我们长时间地、专注看一个好笑的故事，它会变得越来越悲哀“——果戈理,2012-04-17 23:22:43
3,朝暮雪,力荐,"卓别林兼任出品人、制作人、监制、导演、主演、配乐、剪辑，结果一个奥斯卡提名都没有。
卖花女一点不瞎，瞎的是奥斯卡评委。",2013-02-02 19:36:28
4,小岩菽,力荐,老电影咖啡馆的第一弹。原来明天会更好的原文也可以是tomorrow the birds will sing。,2008-06-24 12:42:53
5,U 兔,力荐,最后一个眼神的特写，直指人心,2009-01-05 14:31:15
6,我是大皮哥,推荐,"""在她的眼睛未被治愈的时候，她说，“他不仅仅是个有钱人”，而当她的眼睛被治愈的时候，她是否还会说出这样的话语，在结尾处，一个笑容，将所有的想象留给了我们。 当她终于可以目睹这座城市的光芒的时候，她是否还可以感受到一个人内心的光芒？""",2014-03-12 05:01:37
7,同志亦凡人中文站,力荐,爱情是光，将城市点亮，笑的最后却是感动。卓别林竟然是爱情电影的大师……,2014-11-14 05:04:57
8,sanyo,力荐,盲女复明后认出流浪汉的一刻是影史上最难熬的一瞬。,2021-04-05 18:49:56
9,芦哲峰,推荐,永远的小人物，伟大的卓别林。,2011-10-08 20:15:46
10,米粒,力荐,哭哭笑笑的小人物传。里面的爱情可有千百种解读，就不赘述了。但爱情的确能让人变瞎，也能让人复明啊。拳击那场戏大赞。,2012-03-14 09:07:57
11,尧耳,力荐,矮小的卓别林，伟大的卓别林。无论是幽默的桥段，还是整体的剧情，都透出经典气质，淳朴、踏实，然而持久。,2010-12-15 12:53:51
12,撕撕撕,推荐,虽说是童话故事，电影手段相当丰富过硬。在电影的幼年时期，电影本身这门艺术还没那么成熟的时候，拼的还真是创作者使尽浑身解数能发散出的硬功夫。,2012-02-03 16:21:33
13,Futurismus,还行,如果在最后她认出卓别林，轻声试探“you?”的时候，卓别林对她讲你认错人了。也许会更好。,2014-01-09 17:50:42
14,LORENZO 洛伦佐,力荐,幽幽城市之光，让我们相信人心中还有良善。完美的表演和动人的情节。镜头的切换和动作的编排很到位。30年代初就有如此细致的故事编排结构和表演的编导，卓别林真是位大师。,2011-01-10 09:39:32
15,冰红深蓝,力荐,大半时间各种捧腹，结尾却忍不住落泪~不愧是卓别林，兼具批判性、幽默诙谐与暖洋洋的正能量！在查理最后一部默片中，流浪汉与卖花盲女的爱情不知感动了多少人；笑点源源不断，拳击戏更是无与伦比；结尾被评为影史最佳结尾。当代的肥皂剧有几个能达到这种笑中带泪的喜剧片最高境界？（9.5/10）,2014-07-31 00:43:38
