序号,评论者,评分,内容,时间
1,水原吸管,推荐,「雖然現在已經是太空時代了，人類可以搭乘太空船到達月球，但卻沒辦法看穿每個人心裡的宇宙。」,2017-10-14 16:37:46
2,蒲末释,力荐,人生好孤独啊，我们作为朋友，你却一点不了解我；我们作为爱人，你却要杀掉我；我们作为亲人，你却要欺骗我。就让我做一个追逐海浪的人好了，没有故乡，在世界上仅剩的一张摇篮上，抱着你的遗像，用沉默祝福你，用愤怒度化你，用夏天的雨纪念你。,2018-02-05 21:44:17
3,西楼尘,还行,你知不知道有一种说法，说人白天诵经文，晚上会梦鬼神，因为在消业障。为了图安眠，有人躲进满是娃娃的太空舱，有人躺在浪涛声声的吊床上。有人掉光了发，有人被鬼神扰。人生希微得说不出一句话，命运憋闷得出不了一口气，谁不是躲在大佛腹中诵经的人？后来有个人替我诵，说噩梦他来做，而功德都赠我。,2018-04-03 23:50:45
4,根,推荐,看到“我要你干我”的时候家里人推门而入，真的百口莫辩,2018-02-16 21:05:09
5,亚比煞,力荐,你永远不会知道他人的皮囊之下，到底藏着什么样的秘密。就像你不会知道，万人朝拜的菩萨肚子里有一具死尸，也不会知道一个收垃圾的大叔，屋子里摆满了洋娃娃。,2018-04-06 09:47:44
6,同志亦凡人中文站,推荐,有点茶馆听说书的感觉。市井乡氓的卑贱生活，乱象丛生的台湾社会，咿咿呀呀的旁白带来拍案惊奇的效果。在低俗猥琐中接地气，在黑色荒谬中怜悯，人生已是烂泥打滚，揣着一颗佛心才能普度——对小人物来说，平安是福...,2018-02-16 09:12:43
7,丁一,推荐,"树顶仔一只虎头蜂，
莲雾开花满树红，
电影色彩阶级学，
有钱人的世界是彩色的，
三餐海产呷鱼块，
假发一天不戴不安心，
闽南三尺有神灵，
大佛肚中众生相，
一口一个阿弥陀佛，
一口一个干你娘，
念念不忘，
必有回响～",2018-02-20 21:05:29
8,未亚,推荐,菜埔对着小叔吞吞吐吐屡次被打断那一段最悲伤。那一瞬间希望有人听他说话，哪怕一秒。,2021-06-26 00:08:12
9,大島,力荐,"那时我们还太年轻,不知道上帝已经在暗地里给每个人都准备好了最后一顿饭。",2018-03-06 21:47:37
10,木卫二,推荐,黑白影调与有钱人的生活是彩色，似乎把问题抛向了绝望的阶层分化，但弁士说书人的口吻，兼有道听途说的打趣和人生空空如也的抒情，巧妙地渗漏掉老司机开车上路的金钱性事狗血，完成黑色幽默到虚无文艺的主旨提升。谈笑风生间是轻松加愉快，但不知道为什么，总有种让人想哭的吴念真·酸。,2017-11-21 16:08:00
11,裘笛,力荐,這不完全是黑白片唷。因為有錢人的世界是彩色的。以黑色幽默包裹的社會寫實劇，很貼近台灣社會。導演黃信堯後設的口白，不僅是趣味，也巧妙中和了故事裡那種幾乎沒有出口的黑暗抑鬱。社會階級分化，貧富差距，宗教政經的金玉其外敗絮其中，諷刺的超到位。拍了一個很棒的結局,2017-10-15 22:25:57
12,焚紙樓,较差,不黑不色不幽不默。,2017-11-08 17:22:41
13,芦哲峰,推荐,世间权钱二字，人分上下两流。上流锦衣玉食，骄奢淫逸，干尽下流的勾当；下流残羹冷炙，囊空如洗，只以上流为榜样。大佛虽有，信仰全无，又能怎样！,2018-02-27 11:45:32
14,Andrew,推荐,殘酷的是...僅僅是觀看這些人的日常生活都有些獵奇，把悲傷的事情用喜劇來表示，更顯荒謬,2017-10-20 00:06:18
15,陈哈,力荐,有佛无慈悲，有性无爱，有法律无公正，有警察无正义，满满的绝望。“当然有困难...对他们来讲，无论是出太阳还是下雨，都会有困难，但他们没办法去想生命的困难...社会常常在讲要公平正义，但在他们的生活之中，应该是没有这四个字，毕竟光是要捧饭碗就没力了...”,2018-02-16 17:01:25
