序号,评论者,评分,内容,时间
1,Lan~die,力荐,"对我们这代人影响最大的电影。寓言故事已然存在，不可避免。世界是巨大的枷锁，你不得不重复自己或是别人的生活。
台词：你看那个人的背影好奇怪，他好像条狗啊。",2006-10-07 10:48:43
2,UrthónaD'Mors,推荐,逢年过节必放必看的经典 我记得片子里最后一句台词是：“你看那个人，好奇怪哟，象一条狗。” 多少的唏嘘感慨啊,2011-09-29 12:40:02
3,罗弘霉素,力荐,一遍烂，两遍笑，三遍哭。盘丝大仙给了三颗痣，斧头帮主翻过照妖镜，看着镜中的猴子，此处的配乐足够震撼,2010-07-26 18:35:55
4,托尼·王大拿,力荐,这才叫旷古烁今。,2009-07-31 03:19:50
5,momo,力荐,那年的蓝洁瑛怎么那么好看 好看到我眼里完全没有莫女神。                                             18.11.03更新 今天瑛姑过世了，这一辈子太苦，但愿天堂里有属于你的月光宝盒。,2016-07-26 16:32:41
6,宋阿慕,力荐,大话西游是一代人心中的经典.,2008-02-26 17:56:10
7,张苑希,推荐,虽然至尊宝的命定之爱是紫霞，可是最初遇到的是晶晶啊，穿越时空寻找你却只替他人做了嫁衣。“我找到了一个很像你的人”。,2016-11-10 00:37:01
8,南笙,推荐,如果一个妖有人性呢，他就是人妖。,2012-06-22 14:29:04
9,Wendy Zhu,力荐,终于完整看了一遍……所以至尊宝爱的是白晶晶，白晶晶爱的是孙悟空，孙悟空爱的是紫霞仙子，紫霞仙子爱的是至尊宝……,2016-02-09 23:05:24
10,雨果,力荐,莫文蔚趴在地上时说了一句话让我很感动，她说，我找到了一个和你很像的人。,2016-12-28 23:45:38
11,老鸡｜扶立,力荐,片尾曲真的很好听,2008-01-10 17:00:24
12,战国客,力荐,蛮好笑的，只是没觉得像大家分析的那么悬。不想深究，笑过就好~~,2007-07-13 10:15:04
13,不错我就是神,推荐,哈哈，星爷的经典该怎么评呢？小时候看不太懂，长大了才看懂还看过好多遍，星爷的喜剧电影是唯一可以让我看3遍以上的电影。,2018-01-11 22:53:50
14,冰红深蓝,推荐,虽然很不喜欢这种恶搞西游记题材的荒诞喜剧，但确实拍得好。最有感觉的是反复穿越那一段：“为什么要说又呢？”。（8.0/10）,2015-11-25 23:09:10
15,影志,力荐,"经典不用说 
没第2部好～",2006-02-23 02:10:04
