序号,评论者,评分,内容,时间
1,Tuna Bento,推荐,时隔十年重新看这部动画片，被海盗老婆婆那句“头发被剪掉了才是大事”感动得乱七八糟。对于一个女孩子来说，什么金钱散尽啊什么历经苦难啊都被这几个字淡淡抹掉，小小一句话简直就是箴言。,2008-10-22 21:20:39
2,seeme | 北北,力荐,我看这部一直会哭，看了几次哭了几次，也不知道为了什么。总之，一看到手臂长长的铁皮人寂寥的站在那座城中，就控制不住了。,2006-12-02 21:45:58
3,朝暮雪,推荐,可惜1986年奥斯卡还没有最佳动画长片奖。,2012-08-07 16:01:03
4,莫呼洛迦-屁股上的青春在歌唱,力荐,多年后重看天空之城才能更加明白，宫崎骏对细节的处理的用心不仅仅是一时的感动你，宫崎骏能通过他的作品来让你逐渐明白生活的可贵，来明白爱与和平的作用。但就……还是早恋！,2010-09-05 03:28:47
5,同志亦凡人中文站,力荐,人类历史上昙花一现的飞艇时代竟然衍生出了这么波澜壮阔的故事，尽管早期画风有点幼稚，但想象力就是让人叹为观止。我最敬佩的，是当初决定离开天空之城的先人，因为那需要太多的勇气！,2012-12-22 20:41:51
6,寂地,力荐,不看人生不圆满!!!宫爷爷的所有电影都是!,2006-01-01 17:25:51
7,城南草木生,力荐,还是觉得这是宫崎骏最好的一部——“我会像傻瓜那样去保护她”,2010-11-27 10:17:15
8,平平安安,推荐,宫崎骏的一大代表作，不论是剧情，音乐，配图。节奏都非常好。看了好几遍。值得看。青涩的友情爱情，抉择。很纯情。尤其喜欢钢琴曲，不得不说。久石让与宫崎骏绝配,2018-01-02 22:25:39
9,Vini_Kazma,力荐,如果说自然赐予文明以生命力的话，那么贪欲则会夺取文明的生命力，直至文明毁灭。植根厚土，沐浴清风。和种子一起过冬，一起在春天里生长；和鸟儿一起在春天里歌唱；和春风一起在大地上舞动。只为追寻那最质朴的生活。“巴鲁斯”与其说他是让拉普达毁灭，还不如说是让拉普达文明涅磐重生。,2011-09-19 15:02:02
10,Arch-Murder,力荐,我愿意给10颗星！！！！！！！！！！,2009-10-12 19:36:44
11,单线程青年,力荐,喜欢工业革命时期笨拙又功能性的全机械化的东西，觉得发明家很了不起,2007-05-12 09:18:29
12,momo,推荐,配乐远比情节精彩，最后的老奶奶很温暖。,2016-10-31 10:25:31
13,Mr.Táo,力荐,每一个女孩最后是不是都会变成妈打啊,2010-07-29 14:16:51
14,大宸,力荐,很美 无法忘记配乐,2006-07-18 13:48:28
15,布宜諾斯,还行,剧情无甚佳，但天空之城的景象忘不掉，尤其是废墟中布满杂草的死掉机器人出现的时候,2009-04-14 13:35:03
