序号,评论者,评分,内容,时间
1,Sophie  Z,推荐,不止是卖萌的画面和天马行空的想象力，看完电影后会重新审视自己的情绪，记忆，甚至梦境。BingBong消失的时候我哭得和Toy story3结尾时一样……,2015-06-24 11:48:30
2,桃桃林林,推荐,好看，想不到一个动画片竟然看得我老泪纵横，从头到尾多处泪点。并不是说有多悲，而是从心底的感动。它会唤起你诸多的回忆，那些亲情与爱，难忘（或已经忘记的）回忆瞬间，一切都是这么真实又细腻，又是在这么一个充满想象力的故事基础上呈现。最终仍是成长与告别。真是服气。,2015-10-06 13:01:43
3,蜜瓜,推荐,看到妈妈的大脑后不禁想是不是到了一个年纪，sadness就会替代joy的主导位,2021-11-21 19:04:27
4,陀螺凡达可,力荐,皮克斯第一部没有反派的动画也是其最大胆的作品。整部影片在给孩子看的低龄冒险故事之下，满是只有成年人才能体会到的源自生活的非凡想像力和创造力，核心记忆，个性小岛，抽象空间，造梦制片厂，潜意识监狱，遗忘深渊... 而一如既往的欢笑与感动更使之成功挤进皮克斯TOP之列。,2015-05-27 06:43:07
5,谋杀游戏机,还行,戛纳首映笑疯，放完全场欢呼，但抱歉我真的吃腻皮克斯这口了，一次都笑不出来。不说跟无敌破坏王有很多雷同，把不同情绪拟人化然后让它们打架这idea一点也不新鲜好么，人设奇丑无比，格局又小主题又无聊，好莱坞越来越爱生产瞎闹抑郁症的熊孩子了。谁来救救动画片的想象力？,2015-05-18 22:41:23
6,木卫二,推荐,转校故事多。本质上还是跟玩具总动员3讲的成长与失去一个道理，不同的玩具变成了颜色不同、Home Video性质的记忆球。人生当然不是单纯的Joy Story，混合球才是成长的标志物。要讲的事情其实很琐细，正如一滴泪你也可以当它微不足道。但是，如果你记得那滴泪，它就会变得很重很重。,2015-10-07 00:20:53
7,匡轶歌,推荐,年老太可怕了。大量失活因而灰败湮灭的记忆，和一座座相继塌方的岛。有的岛得以再建，而有的再也不。“情感是不能辞职的”，这道理多简单，但我们的文化却致力于让忧伤和愤怒缺席，为此不惜假装快乐来做掩饰，还长期污名化它们，称它们为“负能量”。,2020-12-28 19:19:48
8,翻滚吧！蛋堡,力荐,果然想象力爆棚！最惊喜的倒不是五种情绪的互相作用，而是对影响性格与情感的个性之岛、核心记忆、抽象思维、造梦工厂影像化的呈现。记忆废墟的设定太催泪了，那些被遗忘的曾经和所有崩坏的岛屿，就是我们成长的代价。,2015-07-05 12:17:32
9,同志亦凡人中文站,力荐,当有天我们会为快乐的回忆流下眼泪，那种笑中有泪的感觉就是长大啊。本质上只是一个儿童故事，但皮克斯的想象力让人叹为观止，尤其是构造出一个妙趣横生而又严谨有序的脑洞世界，看完后好想扒看每个人的脑内呀！！！,2015-06-14 12:46:05
10,朝暮雪,推荐,"一个类似《玩具总动员3》的故事，哭着和过去挥手告别。
原来最让人难过的不是难过本身，而是遗忘。难过不可怕，因为难过，父母朋友去逗莱莉开心，而那些遗忘的事情被扔下悬崖，然后消失，仿佛从没存在过。
莱莉忘了和父母去森林远足，忘了在后院玩耍，忘了小时候趴在地上画画，忘了自己会讲故事，忘了用锅碗瓢盆演奏，忘了冰棒……
正如你忘了小时候的梦想，忘了你关系最好的同学，忘了和好朋友一起打游戏，忘了和男（女）朋友一起旅游，忘了自己曾经也是一个乐观快乐阳光的人。
你是一个经历丰富的人，你经历了酸甜苦辣，尝尽人生百味，但是你忘了，就像掉下悬崖的冰棒，永远回不来了。",2015-07-19 01:13:40
11,凌麦儿,力荐,那时你第一次明白人生不只由欢乐主导，第一次了解万物皆有反面，第一次忘却曾经觉得重要的记忆，第一次在无知无觉中送走曾经无比重要的成长点滴。第一次接受残缺，第一次懂得如何抱着怎么都会有的不完美继续小心翼翼走下去。令人赞叹的主题，毫不拖沓的情节推进，永不让人失望的皮克斯。,2015-07-24 00:52:33
12,艾小柯,推荐,十分动人，各种情绪的互动和小女孩的行为关联都解释地异常清晰，这其中勇气、关爱、自我牺牲这些Pixar一贯的主题风格再次得到了统一发挥，温馨感人。唯一的批评在于在情绪拟人化的过程中每种情绪又再有情绪，像分子原子的关系似的，没有被特别解说清晰。,2015-07-27 13:19:42
13,欢乐分裂,推荐,以具象实体表现意识流动和脑海风暴，创意十足，泪点萌点；我们要热爱每一个平凡的自己，身体里大脑内记忆中有成千上万帮助我们渡过一个个难关的小人人；我们都以为欢乐是追求目标，其实悲伤才是获得成长的契机；我们都以为有些人有些事永远记得，其实很多时候都没有机会说声再见。,2015-10-06 20:03:33
14,永恒的光,力荐,全片我大概50多次情不自禁的 “哇”， 甚至看到热泪盈眶。皮克斯的人都是从另一个世界里走出来的，太有创意了。结尾彩蛋，终于知道喵星人为什么都是蛇精病了，哈哈,2015-06-20 10:44:26
15,小锡兵,推荐,从Bing-bong做出选择的一刻就开始流泪……人一辈子挥别了多少曾经？从某一刻起情绪变得复杂，你甚至都想不起，怎样变成今天这样的自己。旁边坐的小朋友说，它们为什么哭了？弄得我也好想哭呀。这题材可以做得复杂，但我佩服制作人做了恰当的取舍。,2015-10-11 21:59:56
