序号,评论者,评分,内容,时间
1,蚂蚁没问题,力荐,这部电影最伟大的地方就是，有钱人实际上是什么都没做错的，夫妻恩爱，儿女喜人，没有出轨，没有冷暴力，没有虐待儿童，对司机、佣人也大方不抠门，他们真的真的善良单纯，但是你就是忍不住恨他们，恨他们，恨他们。,2019-08-08 00:04:31
2,西楼尘,推荐,沐浴庭院里的阳光就能进化成人，呼吸暗室里的空气只会走肉如鬼。抱上贫穷的石头终生无法脱手，染上廉价的气味永世不能消除。蜷缩地下的臭虫，用药剂开窗替自己杀菌；位居高处的宿主，用金钱雇人给自己消毒。富人吸着穷人的血高升，穷人寄在富人的屋苟活，人鬼同处一室分享食物，虫兽寄生一体发育恩仇。,2019-07-07 15:19:04
3,大旗虎皮,推荐,我先来第一瓢凉水吧，富人的形象太简单了，富人很傻吗？😄,2019-06-22 14:38:18
4,舒农,推荐,这片子口碑爆炸，只能说明，平时看了100部文艺片，人类的本质还是喜欢商业类型电影。,2019-05-22 17:12:49
5,Peter Cat,推荐,奉俊昊才是我们时代（各种）类型大师。,2019-05-22 07:12:56
6,南悠一,推荐,像是被朴赞郁和李沧东都附了体，奉俊昊显然受Netflix创作理念影响了，他用商业套路向我们证明，情节剧在表达社会苦难上的伟大，且他是以戏谑的形式讲述。电影将韩国社会阶层（与《燃烧》同一主题，可见韩国社会阶层问题的严重）问题，设计为一个戏剧张力很强、悬疑感十足的巧妙的小人物故事。片名寄生虫是个隐喻，而石头也是个隐喻，大量涉及政治背景的边角作为点缀，大量台词都可以高亮划出来当金句。然而，这部电影虽然非常非常非常好看，它无论如何都讲得太明白了，我绝对不会再看第二遍，没意思。,2019-05-22 07:20:09
7,朝暮雪,力荐,"一边是水淹陋室，一边是生日聚会。
一边是冰冷坚硬的体育馆，一边是豪华柔软的后花园。
钱就是熨斗，把一切都烫平了。
他们蹭网、住地下室、为了一份工作不择手段。
当你觉得他们已经够惨的时候，电影突然反转：他们还不是最惨的，还有更惨的。
你富，就一定有比你更富的；你穷，也一定有比你更穷的。
贫富差距就像无数面墙，将人分为了三六九等。
这面墙，任凭风吹日晒雨淋也岿然屹立，纹丝不动。
朴夫妇看起来傻乎乎的，可他们还是越来越有钱；
金基泽一家聪明过人，可还是翻不了身。
你以为找个好工作，有份好薪水，就摆脱了贫穷的身份，其实还差了十万八千里。
你能洗掉衣服的汗味，却洗不掉已经融入血液的地下室的气味。
你爬了十层楼、二十层楼，可能才刚刚到达别人的地下室。
他们是虫子，所以他们生活艰难；
他们是虫子，所以什么都杀不死他们。",2019-08-07 09:41:47
8,违规昵称6789,力荐,不得奥斯卡最佳外语片我吃键盘,2019-05-26 10:55:03
9,frozenmoon,推荐,《燃烧》根本不是现实批判的框架，和阶层阶级什么的毫无关系，那个电影探讨的是“存在是否有意义”，完全哲学化的，但这个才是阶级和阶层的故事。好看是没得可挑剔的，但就是都过于直白了，气味、石头、蟑螂，隐喻变成明喻，象征近乎叫嚷。《燃烧》可以看很多遍，这个可以好好看一遍。技术层面的公正和纯熟大于内容和所谓的意义。,2019-08-08 12:51:02
10,豆瓣浅度用户,推荐,时间和空间的掌控力都很巧妙，奉俊昊是不是窥破宇宙的真谛了？,2019-05-22 06:45:40
