序号,评论者,评分,内容,时间
1,北回归线,很差,吊诡的是片中放了一段卓别林的影像，同样是讲个人在冰冷的社会机器面前是如何渺小和不堪一击，但格局和视野却高下立判。本片在姿态上的某种语焉不详给人一种穷途末路感，但这并非是小丑本身的穷途或者病态社会的末路，而是表达者如何清楚地为我们描述诉求，纪录现象并一点点靠近真实这一层面上的穷途末路。我们真的就剩下这样一种讲故事的方式了吗？难道我们看到的这些就是暴力的真正来源和出路吗？电影在进行到一半的时候就已经接近夭折了，人物的挣扎苦痛，傲慢和愤怒都越来越往一种失控和不可知的状态发展，而我们本该有的反思和审视却一步步被割裂和抛弃。让人啧啧称赞的表演并不是什么加分项，它只会更加让人觉得演员和这个角色本身成为了无脑谩骂和嗜血狂欢下的祭品。 - AMC NC11 (11/4/2019),2019-11-07 22:33:09
2,小小明月几时有,力荐,"漫威:制造一个大坏蛋，首先要给他超高的智慧，强大的肉体，绝顶的战斗技能，对了，还有无限宝石

 DC: 给他一个糟糕的人生吧",2019-09-04 07:35:43
3,私～川流,力荐,这才叫DC，谢谢。,2019-08-31 22:57:17
4,Tilda Li,力荐,#Venezia 12“希斯·莱杰之后无小丑“这个论述终于是被打破了。这是当代电影史的光荣日。,2019-08-31 19:46:39
5,Fly you fool！,力荐,"Life is a tragedy when seen in close-up, but a comedy in long-shot.

-- Charlie Chaplin

人生近看是场悲剧，但从长远来看却是场喜剧。——查理卓别林",2019-08-31 01:34:46
6,谋杀游戏机,推荐,完全不是超英片，就是一个以普通底层小市民为主角的犯罪片，大概也是这些年漫威DC所有电影里人性剖析最深刻的一部。影片对哥谭市有着出色的氛围营造，阴暗潮湿的道路，满目垃圾的街头，一触即发的暴动气息，这样的环境，再加上悲惨的身世、糟糕的一天，足以把一个老实的可怜人逼向深渊，从理性善良一点点变得麻木和疯癫，每一步转变都真实可信。杰昆·菲尼克斯瘦骨嶙峋的样子让人心疼，毫无疑问，影帝级的表演，“希斯·莱杰后再无小丑”的话可以收回了。,2019-08-31 17:59:06
7,长颈鹿饲养员,力荐,"看完世界首映激动的打卡！剧情节奏感满分，内涵思考张力满分，艺术戏剧性满分，人物塑造满分。
所有奥斯卡大奖给它都不过分，因为此片足够划时代的宣布，超级英雄的时代结束了。",2019-08-31 20:47:40
8,大島,推荐,变成职业精神病后果然精神好多了,2019-11-12 15:50:11
9,桃桃林林,推荐,9分，菲尼克斯值得一座奥斯卡，表演太带情绪了，以无法抑制的狂笑表达痛苦，竟然笑到让人难过。影片与之前大部分超级英雄电影截然不同，没有特效、没有奇观、甚至没太多动作场面。而是以略复古的方式，讲小丑为什么会成为那个小丑。其实是挺严肃的一部片子，包括去关注社会问题。片子还挺邪恶的，会让你有些同情这个小丑。另外，这片应该是无法续集和衍生，因为还是太实了，如果这个角色重新漫画化，也就不再是他了。,2019-10-03 15:27:48
10,保卫胡萝卜,推荐,再也不要有人跳出来把DC和漫威比了，这已经是金狮体系了。,2019-09-10 11:38:09
11,朝暮雪,力荐,"一个生活中的loser，人们眼中的笑话，永远被忽略，永远没有存在感。
路人欺负他，同事出卖他，主持人嘲笑他……
所有人都不在乎他，把他当成空气。
他从来不知道自己是否真的存在过，他唯一的愿望就是他的死比他的人生更值得。
他不是小丑，人们却说他是没用的小丑；
他真正有病，人们又希望他假装没病。
于是，他决定再也不要做他人生命中的过客，他要做自己生命的主宰。
你说我是小丑，我就做小丑给你看。
谁出卖我，我就让他知道出卖我的下场；
谁把我当做笑话，我就让他再也笑不出来。
曾经他戴上面具，总想为他人带来欢笑；
如今他卸下伪装，只想活出自己的人生。
他是人们眼中的失败者，也成了另外一群人心目中的英雄。
他在世界舞台翩翩起舞，宛如一名艺术家。
以前他认为自己的生活是一出悲剧，现在他意识到，它是喜剧。",2019-10-11 23:47:59
12,黄青蕉,推荐,看看社会都把搞喜剧的逼成啥样了！大家善良一点，听到不好笑的笑话多多包容，少疯一个对大噶都有好处,2019-11-10 12:55:21
13,spiegel,力荐,这个世界的阶层固化到底严重到了什么程度？已经到了俯仰皆拾都能成为好电影素材的程度。于是我们扎堆看到了《燃烧》《寄生虫》《何以为家》《小丑》，底层人民在这些电影中表达出了最可能的几种选择：挣扎，控诉，疯狂。,2019-09-02 22:18:40
14,同志亦凡人中文站,推荐,社会的疯狂带来反社会的集体疯狂，只需要糟糕的一天，人人皆可成为小丑。坦白说，“因为压迫、所以作恶”的命题已经不算新鲜了，但杰昆·菲尼克斯一步登天的方法派表演升华了整部电影！他的肢体和表情，完美告诉了世人什么是密不透风的绝对黑暗~,2019-10-04 15:48:26
15,嘟嘟熊之父,推荐,究竟谁是反派？是漫画里先入为主道德沦丧的小丑？是被煽动杀光富人颠覆权力的无政府主义？是居高临下何不食肉糜的精英权贵？还是以阶级分化为轮轴带动社会高速运转的系统本身？表面上是意识形态的尖锐对抗，是小丑不堪的灵魂被一片片撕碎，是将病症视为解药的以毒攻毒；内核却是政治立场的颠倒混淆，是小丑破碎的人格被一点点重塑，是漫长的以疗愈为名的禁锢终获正名。你认为谁是反派决定了你身在何处，而千千万万我们所处的位置决定了这个严丝合缝又千疮百孔的世界将迈向何方。《小丑》发出的质问振聋发聩，但对于所有问题，它无力解答。,2019-10-09 21:18:35
