序号,评论者,评分,内容,时间
1,劳勃狄尼洛,推荐,最喜欢的一个镜头是：两个人趁着夜色，提着行李，以相同的频率打开一扇又一扇的门，然后跑过巨大的樱花树，去呼吸自由的空气去拥抱广阔的天地。,2016-07-28 23:43:48
2,💛,推荐,我懂为什么金敏喜能睡到赵寅成了。嗯,2016-05-18 23:01:51
3,Touma,推荐,我觉得我可能是les。。。,2016-07-30 15:30:09
4,匡轶歌,推荐,好看吗？好看。蕾丝性爱以超前尺度登上大银幕。但女权吗？并不。朴赞郁不过沿袭一贯对情欲、暴力、阴谋的探索套路。就像<斯托克>里的蜘蛛意象，<小姐>则搬弄了所有东方的欲望符号：北斋的章鱼、浮世绘春画、金瓶梅…但动机并非对女性欲望的支持，而是A片一样情色奇观的消费，取悦的依然是男性凝视。,2016-07-29 13:54:29
5,林西拿,力荐,「我只是個喜歡骯髒故事的老頭子罷了。」 這句話是朴贊郁的自白吧！,2016-07-28 03:16:50
6,同志亦凡人中文站,推荐,如果说“道熙啊”是韩国女同文艺片的代表作，“小姐”就是韩国女同商业片的第一座高峰。千回百转的阴谋阳谋，诡丽精致的朴赞郁美学，以及难得的HE结局。也许戛纳不会待见它的娱乐性，但同志电影恰恰需要这样的进化和剑走偏锋！,2016-07-15 20:02:42
7,影评终结者,力荐,性、做爱、器官、暴力、粗口、药物、剁手指、章鱼女优、蛇与男性生殖器的象征现以及特写展现器具缅铃用法、大尺度裸体和露骨情色台词也并没有让影片显得廉价或艳俗，而影片的镜头画面布局灯光服装美术摄影构图声效几乎做到极致，尤其整部电影用音乐带出的氛围，只能用一个词来形容，那就是“魔性”。,2016-05-31 23:51:39
8,小野蛋子,力荐,能和秀子小姐睡一晚，下半辈子愿意被关进疯人院,2016-07-04 01:00:28
9,西楼尘,推荐,水银烟抽了一口，他是浪子也风流，机关算尽只为攀上枝头；鸦片酒抿了一口，她是小姐也忧愁，庭院深深只愿冲破牢笼；黑莓糖含了一口，她是仆人也娇羞，交颈缠绵只可握住你手。三部分把细节拼凑，宅院精致典雅的朗读盛宴，牵连出几个笼中人的命运交合。吊死人的不是白绳是绝望，溺死人的不是缅铃是欲求。,2016-11-22 15:33:51
10,桃桃林林,推荐,三星半。感觉朴赞郁主要的兴趣点还是植入个人的恶趣味，那些黑暗、色情的东西。因为太熟悉英版，剧情本身兴奋度不高。第二部分开始更多改变，更黑暗，更邪恶，更情色的显示，尤其更多言语的色情，比「卡罗尔」更多的女同花样。以及，终于知道铃铛怎么用了。女新人表现不错，美术很好。及章鱼的自我致敬,2016-05-15 04:15:10
11,牛腩羊耳朵,推荐,4 在原著的加持下，朴赞郁的反转终于没有那么意料之外同时情理之外了。首段规规矩矩半遮面，中段情色戏法女同交合齐上阵，尾段非但不给直男留个情欲宣泄的出口，还要让他们互相虐杀，直男观众估计看了会又硬又软，无所适从。,2016-05-14 20:13:17
12,小A,推荐,金泰璃好美。对情欲描写最传神还得是我们中国传统文学。镜头推来推去很嗨，画面漂亮。不给5星是因为镜头有点碎，大量用角色口播方式交代背景，降低了台词戏剧性。配乐小提琴声部使用了我最爱的抛弓技术。,2016-05-14 17:07:45
13,朝暮雪,推荐,饮酒有害健康，吸烟减少寿命。,2018-03-07 01:31:58
14,木卫二,推荐,抛开那些奇技淫巧，朴赞郁讲的就是一个女性翻出篱墙的通俗故事。好色客听禁书朗诵，下女时不时冒出来心理独白这类影像玩味也是滚瓜烂熟，上吊不成之类的黑色幽默也还是老本行，但在第三部分恶趣味突然爆发，感觉导演也是忍了好久好辛苦。,2016-08-21 00:25:49
15,六等星星,力荐,只有女孩子在知道她以前过那么不堪的生活，第一反应是帮她报复吧！,2021-04-18 19:05:13
