序号,评论者,评分,内容,时间
1,Obtson,推荐,深邃阔海，浩缈星空，绝境谕旨接踵而来，漩流深处响起弥撒之音。李安从来都不会纵情，他只是个温柔的人，腼腆着讲述内心的哲学。,2012-11-22 05:13:45
2,海棠,力荐,语言匮乏。就想搬个板凳坐电影院门口跟行人说：来嘛~,2012-11-22 13:54:42
3,fish哥,力荐,【狐獴】，艺名丁满，出道时因自身面部表情傻不被业内看好，一直无名，早期作品有《狐獴大宅门》、《狐獴国度》。94年因参演《狮子王》名声大噪，后与疣猪彭彭发行单曲《哈库拉·马塔塔》，并出演电视剧《彭彭丁满历险记》，全球热播。近期，它又在《少年派的奇幻漂流》有着出色表演被更多观众熟知。,2012-11-24 01:20:47
4,psycho DC,力荐,整座岛上都是丁满！！！,2012-11-22 03:30:54
5,朝暮雪,推荐,"1884年木犀草号沉没，4名船员被困在南大西洋。
被困20天后，船员A、B表示，以17岁男仆理查德·帕克的的死换取其他人的生存才是明智的选择，而船员C反对。
A杀了理查德·帕克，三人分食了他的肉，得以生还。
法庭依法判处A和B死刑，但英国女王将刑期减至6个月监禁，因为她认为A和B是吃了理查德·帕克的尸体才活下来，如果把他们判处死刑，那么理查德·帕克就白死了。
英国女王最终确立了一个普通法的先例——危急状态无法构成对谋杀指控的合理抗辩。
《少年派》就是以此为原型，派吃掉了其它三个人得以存活，并对人们说了另一个版本的故事，是老虎（老虎的名字正是理查德·帕克）吃了斑马、狗、猩猩。
其实老虎就是派分裂出去的人格，派就是老虎。
现实中是理查德·帕克被三位船员吃掉了，李安则是让理查德·帕克吃了三位船员。",2013-02-11 19:25:28
6,柏林苍穹下,力荐,“我心里有猛虎，在细嗅着蔷薇，审视我的心灵吧，亲爱的朋友，你应战栗，因为那里才是你本来的面目。”——西格夫里·萨松,2012-11-23 00:06:34
7,Run Girl Run,力荐,"「我的父母 我的兄弟 理查帕克
最後都離我而去了
到頭來我相信人生就是不斷地放下
然而痛心的是
我都沒能好好的與他們道別」
All of life is an act of letting go but what hurts the most is not taking a moment to say goodbye.


李安今天到達現場　驚喜至極",2012-11-10 23:37:06
8,同志亦凡人中文站,推荐,基督在旷野修炼，魔鬼要求他展示奇迹将石头变成面包。但基督拒绝了，因为奇迹就是魔鬼的诱惑。故事出现第二个版本正是印证了这一点。它让电影主旨反转：不再是关于信仰的确立，而是它的缺失——信仰不能建立在奇迹之上，但假如你面对一个奇迹，却选择拒绝去相信，这就是没有信仰的悲哀了。,2012-11-22 23:36:20
9,木卫二,还行,不得不承认，跟要讲的漂流故事一样，电影有个挺吸引人的3D开头。中间开始乏力，大段大段重复的明信片场景，呼唤神灵喊妈妈。至于所谓的黑暗版，这种流于表面、直接扔给倾听者（观众）去选择的方法，真的很独到吗？信哪个会提升你的人生感悟么？？,2012-11-22 21:03:03
10,绊倒大象,力荐,李安的片子越来越有得道升仙的感觉。。。把奇幻的世界也拍的太美了/见证上帝的说辞是真是让人羡慕有信仰真好/男主角π说人生虽然要放开一些事物，但是放开的时候还是要好好的道别呀。然后我就哭了。。。,2012-11-11 00:00:00
11,叶子阿姨,力荐,我以为它会回头，但它只是朝着森林深处望去，然后永远消失了。也许父亲说得对，它根本没有把我当成朋友，但我非常确定，我在它眼中看到的，绝对不只是我自己目光投射的倒影。它就那么头也不回的走了，但在我内心深处，它永远与我同在。,2012-11-22 13:07:58
12,亵渎电影,推荐,不知道为什么有观众看完电影看到了信仰，或者又相信上帝了。而原著是让人宁愿相信有上帝，实际上故事的真相血淋淋的告诉你这个世界上根本就没有上帝。在清醒者眼里，你清楚事实的真相，你知道上帝没用；在善良者眼里，你宁愿相信稍微不太残忍的海上驯兽，你宁愿自我选择去相信美好和信仰而已。★★★★,2012-11-23 06:19:09
13,米粒,力荐,五星献给自己看到的最好的3D电影。李安自己也说，拍这电影是不可能完成的任务，但他自己辛苦努力四年终究做到了。第一次如此感受到3D是一部电影不可分割的一部分，以及变换的画幅比例、层层交替的剪辑，一切都是为了故事本身。故事从冒险到有些奇幻，PI其实没有很多内心表达的镜头，但我可以感受到它,2012-09-29 10:55:21
14,Iberian,推荐,确实不是《生命之树》....虽然故事讲的有点“纺锤形”，不过对于一个人一只虎在海上漂了将近两个小时来说，全程没尿点除了无与伦比的3D之外，人虎间的化学反应也吸引人！3D绚丽又不炫耀都是为剧情服务，一个片头就把观众震的一片惊呼。中段更是惊的我心里阵阵的“我操”，而且看的我都有点“深海恐惧”,2012-10-01 08:32:30
15,白发生,力荐,每个人内心深处都渴望美好的事物，却总是无力改变现实的残酷，唯有调整自身的态度，方能为生活寻得一条出路。派将穿透漫天乌云的一线曙光视为神迹，我们又何尝不是因为对光明的憧憬而找到前行的勇气。人生就是不断放下的过程，终有一天能够坦然面对生命中那些遗憾的如影随形。,2012-11-22 11:25:03
