序号,评论者,评分,内容,时间
1,淡淡淡蓝,未评分,我每天到你家接你，我们出去喝酒笑闹，那很棒但我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但我很清楚。,2007-05-19 00:30:38
2,A-sun*,力荐,经历没有埋没我的才华，却抹杀了我应有的自信，我被吓坏了，成长出一腔的狂妄自大，我赖以这种方式保护自己，终于等到一句：这不是我的错。,2010-05-22 23:36:57
3,城南草木生,推荐,我每天到你家接你，我们出去喝酒笑闹，那很棒是我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但我很清楚。,2010-01-14 19:09:28
4,眠去,力荐,你年轻彪悍，我如果和你谈论战争，你大可以向我大抛莎士比亚，背诵“共赴战场，亲爱的朋友”，但你从未亲临战阵，未试过把挚友的头拥入怀里，看着他吸着最后一口气，凝望着你，向你求助。不要以为，我了解你。也许我可以通过“知识”来看你，但那不是你，除非你愿意谈谈你自己，否则我不知道你到底是谁,2009-05-17 19:47:18
5,私享史,推荐,能够做自己的心想做的事，菲尔兹奖又算个什么。抄三句台词。1.你花一万五所受的教育用一块五就能在公共图书馆得到。2.你没离开过波士顿，问你艺术你可能会提出艺术书籍中的粗浅论调，有关米开朗基罗你知道的很多，但你不知道西斯庭教堂的气味，你从没站在那儿看着美丽的天花板...问战争你会引用莎士比亚的话，但你从没接近过战争，看着好友吐出最后一口气...而你只是看了我的一张画就认定了解我的全部，你把我的人生撕裂了。3.I'm proud of what i do. It was a conscious choice.,2009-09-14 00:20:58
6,桑娃儿,力荐,人生中应该拥有这样的一段豁然开朗。,2010-09-16 01:13:43
7,米姐起飞,力荐,当他作为清洁工演算全世界只有两人懂解答的方程式，当他在酒吧用丰富历史知识与清晰逻辑思维对敌哈佛学子，当他恋爱与女主角吃饭时接吻，被子里缠绵，当他坚定地说我不爱你，当他遇到心理学教授，当他口出狂言，当他说起飞机趣事，当他痛哭，当他大笑。这是个没法让人不着迷的男人。,2010-04-30 14:12:51
8,su27根本就没有,力荐,学过数学才能真正理解跟天才的差距啊,2010-12-18 20:28:37
9,HalloZen,还行,“你不了解真正的失去，唯有爱别人胜于爱自己才能体会。”,2010-07-22 16:20:57
10,马自挂,力荐,这个世界总有对不起你的时候，这让你好像除了防御之外再也做不出来任何动作，不知道我们到底要体验多少才能懂得一个很简单的道理，不知道要过多久要靠多少机缘巧合，才能有一个人对我说：it's not your fault,2012-09-07 21:05:10
11,海心,力荐,我想找个像Sean一样懂爱的人。,2009-08-16 10:22:17
12,2013,力荐,就是这种电影能让我心甘情愿哭，因为我心甘情愿跟着它煽情的脚步。,2007-06-11 16:29:05
13,黄青蕉,力荐,哭瞎，不是天才也需要这个问题，你是谁，你想干什么，你准备开始了吗？,2014-08-12 22:54:13
14,亵渎电影,推荐,我每天到你家接你，我们出去喝酒笑闹，那很棒但我一天中最棒的时刻，只有十秒，从停车到你家门口，每次我敲门，都希望你不在了，不说再见，什么都没有，你就走了，我懂得不多，但我很清楚。,2010-03-11 04:12:33
15,颜小兽,力荐,这是一部让我拿出十分钟，按下【暂停】键，认真想一想我的人生到底要什么的电影。我也是一个因为害怕失去就会抢先离开别人的人，但我想未来的日子我会慢慢勇敢起来的。电影很棒，数次热泪盈眶，非常羡慕男生之间那种有点小傲娇的友情。“每次我敲门，都希望你不在了。我懂得不多，但我很清楚。”,2012-08-13 00:27:17
