序号,评论者,评分,内容,时间
1,影志,力荐,“有些事，非得问出来？不问就是压在他心头，压一辈子；一旦问出来了，这石头就是压在你心头了” 赞叙事结构，过去跟现在将来混合，多人视角交叉重叠连锁反应，最后完美衔接…没有一个多余情节，荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。2015《大象》《全民目击》，超过《烈日》《吾先生》年度最佳。,2015-07-31 18:37:27
2,阿茶,力荐,国产犯罪片越来越好。「烈日灼心」力道够了，然剧本硬伤太重。「心迷宫」的剧本真是惊喜。如此群戏能这样流畅地自圆，已实属不易；时间线打散却又让观众能轻易缕清而不显杂乱无章，确是匠心别具地精巧。开场即惊艳；结尾父子对峙戏太棒。当然，为过审加上的那行字幕让人出戏，不过相信以后会更好。,2015-10-16 16:15:29
3,桃桃林林,推荐,作为一部小成本处女作，这是一部值得鼓励和需要鼓励的好电影。主要好在剧本方面，多视角拼图叙事，缓缓揭开一个环环相扣的农村题材罪案故事。并以此去照出每个人心中的恶与自私。整个片子剧作结构与剧情设定都很巧。只可惜，因为制作成本过低，制作水平还是略粗糙。其实可以更好。,2015-10-17 21:51:00
4,熊阿姨,力荐,放冰箱那个红色塑料袋到底是干啥的？,2015-10-28 23:42:51
5,Indecent time,力荐,世上本无人，有了谎言，猴就成了人：不要用怀孕骗人，不要找小三，拉屎不要接手机，不要赌博，不要用“爱”干涉子女幸福，最重要的是，不要相信国产片尾的字幕——朱自清,2015-10-22 13:43:18
6,老晃,还行,看了忻钰坤处女作《殡棺》，惊喜！从容缜密，会讲故事。看片名，容易误以为是闷蛋文艺片，其实是无巧不成书的三段式“乡村怪尸案”。成本太低，演员略逊，但也带来了陌生的乐趣。和拍《光棍儿》《美姐》的郝杰一样，忻钰坤，绝对有实力执导更大制作的类型片。这种会讲爱讲故事的年轻导演，是稀缺资源。,2014-08-05 18:43:54
7,翻滚吧！蛋堡,力荐,诺兰结构科恩风格本土叙事，五星鼓励,2014-11-03 18:05:51
8,木卫二,推荐,剧本挺有趣的，没有让三段式沦为中国电影常见的山寨故事。电影化处理上有所欠缺（无论一眼可见的演员表现还是画面处理），不知是不是受限于制作成本，不过，作为第一部，确实不错了。中国电影的未来，依然是在乡村和县城啊。,2014-07-25 11:53:26
9,根,推荐,和《十二公民》一样，结尾必须要通过一行字幕把真凶缉拿归案的规定，实在是太影响犯罪片逼格了,2015-10-22 20:00:53
10,亵渎电影,推荐,如果你认同电影就是好好讲故事，那这部电影在讲故事的层面上非常出色，故结构编排，细节铺垫，剪辑与主题都打磨的足够精致，这些方面甚至可以说没什么瑕疵，虽然它的结构也不新鲜，但这年头能遇到这种带着脑子的导演处女作简直就是一种幸运，但愿忻钰坤不会立马下海拍什么卖IP的商业大片。★★★☆,2015-10-17 01:02:57
11,谋杀游戏机,推荐,FIRST首部，威尼斯影评人周，锋芒毕露。类低俗小说结构常见，本片运用到本土化题材上，不止讲了个结构花哨的故事，还反映了农村现实问题（劳动力流失等）。导演混过片场，编剧、剪辑都过硬，毫无拖泥带水，细节精打细磨。全职业演员群像出彩，成本200万处女作，相当不错了。导演是诺兰科恩奉俊昊粉,2014-07-24 23:08:58
12,疼酱,推荐,有的话不问清楚，留在他心里压成了石头，他就会一辈子对你好。但问清楚了，石头就压到你心里来了。,2015-09-19 16:24:04
13,心生,力荐,9分！在体制下以极低成本拍出这样一部院线电影，看完心里有一种冷静的热血沸腾！主要手法上其实就是我们见多了的多线索叙事，特别之处在于它能以一个原生的中国乡村故事去挖掘人性。细节的埋设，故事线索的编排，都基本完满通顺，有想法有落实，实在可贵！,2015-10-17 14:28:09
14,mia,力荐,电影一面倒的好评过后开始有了些相反的声音。这都正常。但是作为一个真心爱电影的人，没有必要为了显示自己与众不同而对于这样一部电影吝啬溢美之词。看到知乎上的一个评论深以为然，这部电影所有的缺点都是用钱可以解决的，而所有的优点都是有钱也买不来的。15年最佳国产电影，没有之一。9分。,2015-10-19 19:06:45
15,keke,力荐,环环相扣的粗制处女作，小成本却显得格外真实。可现今佳作无排片，烂片满街跑，外国的流水线好唱戏，一大乱象，罢了罢了。,2015-10-20 13:55:23
