序号,评论者,评分,内容,时间
1,锟斤拷,推荐,好吧，Triangle，多好的名字，谁TM给译成《恐怖游轮》这个标准的B级片片名的！？,2011-02-08 15:50:38
2,某不知名网友,推荐,不要企图在重复中寻找已经失去的爱,2010-01-04 20:14:31
3,天狼星,力荐,"我看过的最好的悬疑片，为了严谨，加上之一。。。
一个循环的世界，西西弗斯的世界。。。
看完给人以警醒，我们总是在说，如果给我再来一次的机会，我一定会怎么怎么样，但是真的是这样么，电影给了我们一个很好的答案。。。
最后再说一句，看懂了这部电影的人，会毫不犹豫的给5星。。。",2010-01-30 16:30:41
4,心生,推荐,本片唯一让我搞不太懂的是，为何jess登船后失忆了……,2012-06-05 14:27:55
5,大奇特(Grinch),推荐,4星，看过两遍以下者不要随便说有BUG，拜托您先多看几遍再说！又是“从前有座山，山里有座庙，庙里有个和尚讲故事的”的死循环的穿越片，很牛X。解析看http://www.douban.com/review/2820200/,2010-01-12 18:14:56
6,strongman,力荐,知道自己命运的人最恐怖,2010-01-22 23:51:21
7,老晃,推荐,无限循环。衔接点是个漏洞。洞不大。,2009-11-26 19:52:57
8,toro,推荐,影评有时候可以比影片本身更牛逼,2010-08-08 18:45:21
9,荷步(Bunnyeh),力荐,大家都知道了片尾即是开头，终点便是起点。而女主早已死，死在那个阳光明媚，驾车带儿子一起前往港口的路上。也就是车祸，是结尾处躺在地上连衣裙的她，这个她才是真正意义上开车然后撞车死去的她。而站在路旁茫然看着眼前景象的她，完好无损的她，实则是灵魂。女主因为难以接受至爱的离去而想扭转这样,2010-01-28 13:47:45
10,默雨,力荐,在叙事上真是一个奇迹。自《蝴蝶效应》以来，看到过最好的叙事逻辑。,2010-01-29 21:39:49
11,达斯佛™,推荐,从前有片海，海中有艘船……,2010-02-20 02:11:17
12,余小岛,推荐,感觉其中颜最正的女演员打了个酱油。就是那个翻了船再也没出现过的女人。。她的存在到底有什么意义嘛。肯定色诱了导演给她个酱油角色。。。,2014-07-17 20:48:04
13,赛马输钱,推荐,转载：故事的全貌大致如下：周六早上，Jess带着儿子去赴Greg八点半的约一起出海（冰箱上的纸条写着 ：Greg，the trangle harbor 8:30，是她提醒自己用的），但是因为儿子弄洒了颜料耽误了时间，所以Jess为了不迟到开了快车，导致车祸，母子二人当场死去，死亡时间是8：17分，也就是Jess手表和船上的挂钟永远停止的时间。Jess的灵魂在弥留之际记得有一个约还没有赴，所以请求死神带她去港口见Greg一面以了牵挂，她承诺死神一定会回来赴死，但是却违背了承诺一去不回，于是有了后面的降罪。,2022-12-28 22:30:35
14,Lan~die,推荐,西西弗斯之爱的亡魂。恐怖的三角死循环，几无Bug。（停留+蝴蝶效应+死路）,2010-02-04 03:09:01
15,丁丁|刘,力荐,开头太像无聊恐怖片了，很容易让人中途放弃。一定要坚持到影片一半左右，那个时候开始形成闭合循环，开始成为一道让人欲罢不能的谜题。想起当时看穆赫兰道的感觉，非常畅快。,2010-02-04 01:48:01
