序号,评论者,评分,内容,时间
1,伊卡洛斯,力荐,那些没有开口的告白，最终还是让你听见了。,2011-09-13 18:49:26
2,齊克斯尼力佐飛,推荐,如果知道女朋友爱上我是因为我像她曾经爱着的人，我会崩溃,2010-05-26 23:51:38
3,海盐小圆饼干,还行,真的救命啊看得我满脸问号，我无法理解电影的展开方式，暗恋的细腻美好要从发现自己是白月光替身的这种角度来切入吗🆘,2021-02-17 22:49:08
4,减肥书法家,力荐,"一个英语考27分的人
哪会在意什么break的过去式",2021-05-23 13:21:38
5,沉歌,力荐,关于藤井树的种种回忆，是你拥有的，我把它寄还给你。,2007-07-12 10:04:13
6,丁一,力荐,"经不住似水流年，
逃不过此间少年，
彩云易散琉璃脆，
水仙已乘鲤鱼去~",2011-01-18 20:10:55
7,果酱☮,力荐,无论如何都会流下热泪的电影，五星又怎么够！,2007-01-02 20:29:46
8,战国客,推荐,暗恋的极致,2007-07-14 09:05:26
9,AllenGY,力荐,不好意思，这么多年了，我就靠这个活着了。,2008-05-24 11:13:53
10,刘嘉玲（跨年版,力荐,十年都没有第二个人借过追忆似水年华只能说这本书真的很难读,2021-05-20 15:44:15
11,嘉沐難再續.K,推荐,总是点到为止的岩井俊二.,2008-02-14 08:57:16
12,隆咚锵,力荐,翻过来的卡片，肖像，是初恋回忆的完美情书,2007-02-26 01:07:49
13,朝暮雪,推荐,查来查去，最后查出自己原来是替代品。,2012-08-18 01:40:46
14,宅蘑菇Moku,推荐,「把名字一遍又一遍的写在借书卡上，反反复复看一张并不想知道答案的英文试卷，在告别之前偷偷的把你画在借书卡背面，希望你有一天会知道，我喜欢你」整部电影的配乐都好伤感，女主角一人分饰两个性格不同的角色演绎的非常好，青春和暗恋的心情满点，话说岩井俊二的每部电影里都有几个无厘头的奇怪角色,2015-01-20 19:24:40
15,陀螺凡达可,力荐,最后卡片翻过来后，我真的哭了。,2011-12-28 04:09:16
