序号,评论者,评分,内容,时间
1,塞塞,推荐,且看诺曼的last smile  毛骨悚然！,2008-05-03 12:41:41
2,昏金暗玉,力荐,看这部电影必须回答一个经典的问题：女主角遭到刺杀时，镜头直面花洒，花洒每一条水痕都清晰无误如同肉眼看着一样上镜。请问，摄影机是如何做到的？,2008-09-18 14:52:42
3,孙此方,推荐,最后那一抹笑容堪称经典,2012-09-26 00:17:04
4,Doublebitch,力荐,人格分裂的鼻祖，试想60年代人们看到这部电影时能有几个不喊牛逼的,2011-01-18 17:19:49
5,杂技演员,推荐,"""伪""的就是""娘""！",2010-10-27 10:57:19
6,17950,力荐,神作。全面滿分。如果有任何不被打動的理由，那就是觀眾晚生了50年，受到太多這部電影50年來泛濫的影響，就像一個沒有受過高等教育的英國老婦不會覺得沙劇牛逼一樣。,2010-11-13 23:15:39
7,哪吒男,推荐,我杀了我妈妈，我妈妈杀了我。,2019-08-15 23:17:14
8,心生,推荐,呃，有那么神么……顶多是意义重大吧……,2012-10-10 13:04:05
9,影志,力荐,“一个男孩最好的朋友就是他母亲” 诺曼上楼扭屁股…等细节虽然早就猜到了结局，但今天第一次看依然被震撼到。,2019-04-15 15:40:02
10,同志亦凡人中文站,力荐,剧本和细节真是绝了，对性别的理解更是超前时代。万圣节去看希区柯克就是no zuo no die的节奏，惊恐交加中居然错抓了邻座小哥的手... o(>﹏<)o,2014-10-31 17:56:08
11,Spotless Mind,力荐,80W成本的电影业同样可以做到流芳百世，希区柯克缜密的思维、独特的运镜，加重了对细节的刻画，其隐喻也值得回味，结尾那具骷髅头更让人不寒而栗。据说此片开创了人格分裂电影的先河，同时也暗示了希区柯克本人的“厌女癖”。,2010-01-15 21:45:39
12,根,力荐,妈呀，（影史）知名酒店竟用拖把清洗浴缸！！,2019-08-18 23:59:22
13,文泽尔,力荐,老希让人最意想不到的悬疑经典之一。将故事串联起来，本来以为会是与这件事相关，但最终却变成了旅馆中的凶杀：对母亲话语唯命是从的儿子。然后竟又将一切推翻，转变为警局中冰冷的表述。经典的镜头：雨中行车（这里迎接了转变），浴室谋杀（唯美），早已死去的XX的骷髅孔洞的双眼（最大震撼）,2007-12-18 23:18:21
14,刘康康,推荐,这片儿唯一的败笔是最后那位表情夸张、装腔作势的心理学家，一看就是演戏演过了的主。其实这片不被剧透的情况下看肯定很吓人（很难做到了吧），尤其是最后女主角单身去大屋里寻找诺曼的母亲那一段。浴室那场戏现在看也很吓人。,2014-07-16 10:34:35
15,1874,力荐,b站弹幕太好笑了：4w-700居然还用列竖式,2021-03-03 01:23:31
