序号,评论者,评分,内容,时间
1,UrthónaD'Mors,推荐,从影帝蜕变到烂片王也是需要一定的气度，就如同影片最后他被家人抛弃被抓到监狱却十分镇定一样。这片子政治隐喻很多。,2011-03-18 22:45:53
2,Kaito,力荐,"世界上每十二个人就有一个在做俯卧撑,我们的任务是让剩下的十一个人也做俯卧撑.",2008-08-13 00:03:34
3,李陌生,还行,很赤裸裸的表达一些很赤裸裸的事情，其实大家都知道,2006-07-24 10:52:53
4,汽水|不core不得嗨,力荐,"我爱这部电影～它太人文精神了…………
特别是中间能把飞机在一夜拆掉，哎天，太摆了实在是……",2008-02-28 13:22:41
5,润物,还行,还行吧，记录了一个超级军火商的职业生涯、生活、以及心理状况等等，其实这些东西主要还是为了讽刺世界上的灰色政治与背后的政府，归根到底，说反战也好，说晦涩的批判也好，最后都看明白了，就得了，算比较平铺直叙的东西。,2008-12-09 00:16:06
6,想 想,力荐,做你擅长做的事，而不仅仅是活着。,2010-11-22 22:12:55
7,影志,还行,没有预期的精彩！寻常的讲述、中规中矩、没有惊喜！,2008-03-31 01:00:32
8,左胸上的吸盘,还行,导演新西兰人，一直在美国拍电影。片子做的还成，也有幼稚的矛盾之处，但是技术大体是流畅的。女一号太丑了，不过我想，那就是爱吧,2010-09-18 17:15:05
9,肖以默,推荐,和政府比起来军火商确实不算什么,2007-08-15 20:08:09
10,巴喆,推荐,做这生意别带文艺青年好吗？！,2013-05-26 20:22:25
11,艾小柯,推荐,喜欢Nicholas Cage片中的表演，影片立意很高，最后的对现实的讽刺稍有些直白。,2006-06-16 01:37:36
12,米粒,推荐,到最后才说出军火贩子横行霸道的主因，不是因为自己怎么真的有钱，也不是因为自己认识黑道大佬有人罩，甚至都不是因为自己亲叔是前苏联的将军正好有好多兵器可以卖；而是这些超级大国一边要用武器散布杀戮以强占其他小国，一边又要假装自己和平爱好者的光鲜形象，所以只能派出主角这种人来出面做生意了。片头“一颗子弹的一生”很酷啊，影片的技术环节都很好且不觉得用得过多。整体是戏谑讽刺的风格，可能可以适当严肃点（比如可以把主题早点说清楚）。伊桑霍克真滴太帅了。,2019-01-02 00:23:53
13,朝暮雪,推荐,昔日战争之王，如今烂片之王。,2012-08-18 01:54:28
14,某茶君,推荐,"记得罗德岛战记动画版最后一段是这样的...""有一个梦想成为英雄的少年...他以光明为目标...坚信通过战斗可以驱除黑暗...但有光明的地方也必有黑暗存在...两者的斗争将永远不会停歇...当认识到这一事实之后...少年踏上了成为神之英雄的道路...""",2007-03-30 20:34:00
15,拔剑四顾心茫然,推荐,“很快会有人来敲门，你会被叫到外面去，在过道里，会有一个官阶比你高的人站在那里，首先他会祝贺你所做的一切，你使世界成为一个和平的地方，你会得到奖状或升职，然后他会让你放了我。你会反对，你或许会以辞职来要挟他，但是最后，我会被释放。”没有战争，就没有和平。因为天使往往与魔鬼同在。,2018-04-26 19:55:58
