序号,评论者,评分,内容,时间
1,同志亦凡人中文站,还行,真人真事改编，可惜拍得流于表面了，完全没有被打动到。顶着锅盖说一句：小男孩演得其实比妈妈好...（第一次看女人在电影里素颜这么久）,2015-12-17 11:17:36
2,沉歌,推荐,小演员没提名最佳男主角，一定是为了把小金人让给莱奥纳多。,2016-02-21 03:01:03
3,Fay Kellum,力荐,电影开场一个半小时：卧槽原来这孩子是男的！！！,2015-10-20 13:15:26
4,亵渎电影,推荐,小男孩才是真正的主角，故事站在受害者的视角上，讲心理自救，母亲努力让儿子和同龄的孩子一样，故事选择了一个非常有趣的切入点，环境改变到内心改变，一切都以小男孩的情绪展开，很有难度，所幸小男孩的演技是奥斯卡级别的，剧本是模式化的类型片写法，前一个小时非常完美，拍的工工整整。★★★★,2015-12-17 13:57:07
5,傻乐的猫,力荐,Babadook 2.0.娘送我一颗烂掉的牙，我还娘一头秀发，这母子情的信物把那些男女，男男，女女，各种爱情全比得没影了。最爱的角色其实是奶奶的丈夫，是要多温柔善良的人才能耐心去慢慢抚平脆弱的小心灵。,2015-12-20 04:21:39
6,影志,力荐,“我们不知道自己喜欢什么，所以每样都试试…这世界上有那么多东西，有时候还很恐怖，但是没关系，因为还是你和我在一起…”缩小的房间，变大的世界，2015像《阳光小美女》一样的惊喜黑马之作。结尾和房间再见有强力泪点：“再见盆栽，再见椅子一号和二号，再见桌子，再见衣柜，再见水槽，再见天窗…”,2016-01-03 21:17:49
7,麻绳,推荐,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,2016-01-11 00:56:08
8,Keysersushi,还行,前50分钟蛮好的，妈妈7年了就不能研究一下门上的4位数密码吗。。。,2016-02-28 18:29:30
9,Pirouette,力荐,女警察询问那段。。热血沸腾,2016-02-05 18:49:34
10,litanerr,还行,#LFF2015# 前半程在room里是有趣博眼球的地方 但后半程逃脱room之后才是决定该片是鸡汤还是严肃戏剧的时候 然而后半部分表面化了所有实质性问题 两位主演都一级棒 可惜沦为了亲情鸡汤,2015-10-12 07:27:41
11,黄青蕉,力荐,确实好电影，低成本，无炫技，本以为会很无聊，没想到俩小时里基本没有走神的时候,2016-03-01 10:27:01
12,xīn,力荐,获救或创伤治疗的故事本身俗套，杰出之处是对那个孩子经验的世界的展示，我们都曾独有那个先验的经验主义的特异时空，却最终被这个符号的单一世界取代，有人温柔告别有人没有告别有人甚至忘了它的存在。问题不在于world解放了room，而是我们应该将room扩展至world，如果这真的是德勒兹的世纪。,2016-02-01 22:34:01
13,20个小明≯,力荐,在房间里你是我的全世界，走出房间也不会害怕，因为我们依然在一起…这句话是孩子说的，但同样适用于母亲，甚至可以说其实是孩子拯救了母亲！片子从孩子的角度出发，看似容易接受些，但实则更让人觉得残忍，男孩的独白好多地方直戳泪点，无耻弗兰克来演外祖父很出戏，最后这条线也不了了之了,2016-01-06 23:31:12
14,欢乐分裂,推荐,3.5入；被小主角打动好多次，那个在成人眼里充满黑暗龌蹉的“房间”，却是他童年梦幻的乐园，可以和光影追逐，可以和家具嬉戏，孩子无穷的想象让密闭空间变得无穷大，前半部拍得既美丽又残酷；融入外界后线索较芜杂，没有处理好，“你又救了我一次”和告别仪式真催泪。,2016-01-05 22:57:32
15,曹笑天,力荐,最可怕的人不是老尼克，而是傻叉男警察。,2022-12-19 01:14:19
