序号,评论者,评分,内容,时间
1,容安,推荐,厄本这个角色很有意思，懦弱，非常懦弱，还有一种可笑的浪漫和无知的善良。他才是你我他，对战争的残酷抱有一种可耻的畏惧，并对其有好心的幻想。可惜事实并非如此，战争就是你死我活，战争是考验勇气的时刻，而非善心。胆小的也许能活下来，但在战争中，你已经输了。而那些死了的勇士，他们才是胜利者,2011-02-28 22:41:26
2,Yanisk,力荐,如果没有办法想起他什么样子，就试着想想和他共渡的时光。,2011-12-29 12:12:24
3,魏无忌,力荐,战争电影No1，美利坚精神输出大片。,2008-07-06 23:23:52
4,寂地,还行,其实电影非常的棒，但是道理和萤火虫之墓地一样．因为实在太真实，让人难受．看到一半就缩到了角落里，再也不想看下去．,2006-01-05 00:20:43
5,.Aмаиdα.,力荐,我心目中的永恒经典。不知道集结号借用了他多少情节。反正不少。,2008-03-30 23:21:14
6,bobobolao,还行,征兵办广告，只要你参军，哪怕你深陷敌后，军方都会派出至少八个人不畏牺牲救出你！（正好昨天看的剑鱼行动，里面的“如果消灭所有疾病的代价是杀死一个无辜的小女孩，你会做吗？”很契合这片，如果我是指挥官的话，不站在任何人的立场上，只看整体战局，这种100%会浪费军事资源的决定是绝对不会下达的,2015-07-11 14:33:06
7,Obtson,力荐,真正意义的大导大片，开场的抢滩和结尾的瑞梅尔血战机位控制臻入神技，牛逼的主次特写像一位幸存的二战联盟老兵啐着唾沫在回忆戎马。瑞梅尔的残破桥头，米勒上尉的身后是无尽残阳，他的面前是这个略显荒谬任务的完结，他的面前也是詹姆斯瑞恩的明天。,2011-01-15 19:00:58
8,影志,力荐,看到结尾Hanks无力地对着迎面驶来的坦克，内奔…过好此生，就是最大的“不辜负”。,2005-08-24 07:22:25
9,托尼·王大拿,力荐,那些近乎白描式的战役刻画，真实而震撼；米勒中尉不由自主颤抖的手，是那时每个如棋子般无法控制自己命运战士的写照；在更高层面上的人性与伦理的探讨，其实已经无关紧要。,2014-12-19 02:54:12
10,L.,推荐,为什么看中国战争片就感觉high得不行真想打一仗，看外国战争片就觉得战争真可怕和平多好啊。。。。再不在吃饭的时候看战争片了，太胸闷了。,2012-10-20 20:27:09
11,###疼,力荐,"有一個小細節我很喜歡...將要下雨的時候..鏡頭給了湖水,葉子..水滴一滴一滴地落在湖水上,,之後變得密集..就好像槍林彈雨前的感覺,,,好佩服皮爾斯伯格對電影的構思和湯姆漢克斯的演技,,一部偉大的作品!",2010-12-04 18:06:38
12,已 注销,力荐,给我打死那个翻译官,2021-01-25 22:04:07
13,边边,推荐,小狙太冷静了，太帅了！,2010-05-30 02:26:55
14,烬。,力荐,比血战钢锯岭高出10个段位。其实剧本还是很工整的，有些匠气的痕迹，但是节奏快慢的间歇拿捏的特别好，剧本台词超棒，细节对于人物形象的凸显到位。没有说教，没有煽情，只有人物与情节的推进，好电影。最爱战争前那段休息时刻，生死关头前的平静祥和，惨烈前的美好，最令人心碎。,2018-04-16 11:46:38
15,麻雀一只,力荐,哭死我了，真的哭的我眼睛都肿了,2008-12-04 22:46:10
