序号,评论者,评分,内容,时间
1,束,推荐,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。,2007-11-22 02:58:00
2,sherry Q,力荐,于我，魔戒永远是不可逾越的史诗。,2006-04-20 13:46:40
3,岛上的夏奈,推荐,Frodo和Sam史诗般的真爱历险记。,2013-03-04 00:32:12
4,影志,力荐,甘道夫掉下桥的那一刻，真的落泪了…,2005-08-24 07:20:11
5,颜良辰,力荐,每次看魔戒都会被奥兰度惊艳到~,2010-03-05 00:17:22
6,阿底,还行,太长了。看得我昏昏欲睡。,2008-12-08 12:46:11
7,Nakedself,力荐,在拒绝好莱坞N年后，一次意外的走入影院，我成为了LOTR的死忠，总有一个绿衣服的弓箭手在眼前晃悠，我冒着花痴般的笑容，历史就此翻开了崭新的一页。,2006-05-17 15:58:25
8,好天气,力荐,波洛米尔牺牲的时候，就是人类找回高尚、荣誉和希望的时刻。,2021-04-18 13:17:02
9,庄小龙也有尾巴,推荐,场景好美！！特效好棒！！但是剧情我真的不是很感冒，差点看睡着了。,2017-08-11 13:23:09
10,邹而复始找寻,还行,再看一遍终于理解小时候没看明白的原因了 故事冗长曲折 情节还没加勒比吸引 但不得不说画面实在很美,2009-08-16 02:29:03
11,死鬼,力荐,"无限的生命并不能给精灵带来永恒的快乐 更残酷的是 让他们眼睁睁看着身边的美好一点点消逝 或许有限的生命才是命运之神对人类最大的眷顾
我宁愿和你度过凡人短暂的一生 也不愿一个人看尽这世界的沧海桑田",2018-03-14 08:40:50
12,张天师,力荐,只为~～奥兰多布鲁姆,2007-04-02 13:01:40
13,尼桑，都是尼桑的错,未评分,那个世界上最美的精灵啊~~,2008-08-23 14:46:57
14,Qing,推荐,有些名不副实了 这个剧本真是白瞎了这么好的阵容 有种在看单机游戏通关视频的感觉 给个四星观察一下 希望后俩部能打得上五星吧,2017-01-17 23:16:49
15,芳菲弥章,力荐,看过几十遍了，新西兰去过了，weta去过了，取景地去过了，正版碟买过了，周边买了一堆，原著买了三个版本，电影设计📖也买过了，20年后来补上电影票，真的好好看啊，20年也没有什么什么片子可以取代你,2021-04-18 16:49:23
