序号,评论者,评分,内容,时间
1,思阳,力荐,"惭愧死了，这才是我第一次真正看卓别林的电影。在放映之前我还想，为什么人们要叫他“大师”？不就是一个演员么。结果几秒以后，字幕上映，导演，编剧，主演，甚至音乐配乐都是卓别林创作的。我完全被震撼，真的是大师啊……

这是一部又辛酸又喜剧的片子，对当时的社会不论是在工业，政治，还是生活",2009-07-08 08:47:38
2,大头绿豆,力荐,靠，看了才知道，星爷有那么多东西是从这里学来的。,2005-11-28 01:39:58
3,托尼·王大拿,力荐,人的异化，极富前瞻性，即使放在今天看了依旧有着强烈的现实意义；卓别林是个极为矛盾的个体：一方面，他总是对社会那些最深入肌理的顽疾给予毫不留情的讽刺和抨击；另一方面，他也是个执拗的人性本善论者。,2011-09-23 08:03:16
4,同志亦凡人中文站,力荐,如果电影不曾有过卓别林，该会是一个多么无趣的世界。光前30分钟就让我几度笑岔了气。荒谬有理，喜谑至极！,2014-04-14 11:08:20
5,大奇特(Grinch),力荐,这是卓别林第一部有声片，他尽可能写一个对话剧本，尽可能尝试一次“声音”的实验，然而由于卓别林坚持一贯的“流浪汉”角色，“声音”似乎又与角色不协调。反观，声音又以一种独特的方式呈现，我们听到的机械设备（有声）对人的打压（无声）正符合了电影主题的象征。,2010-03-05 11:33:59
6,朝暮雪,力荐,"老板永无止境地剥削工人，工人不仅上班要打卡，连上洗手间都要打卡。
工厂所有地方都装了监控，包括洗手间，决不允许员工有偷懒的机会。
老板成功把员工逼疯了，一看到螺丝或者像螺丝的东西就想去拧一下。
工厂太冰冷了，让查理感到温暖的地方，反而是监狱。
监狱有吃有喝有住，以至于他都不想走了。
他出狱了都要故意犯罪，仅仅是为了重新回到监狱。
别人有幸福美满的家庭，而他和流浪女只能坐在别人的家门口做白日梦。
果然“伟大喜剧的内核都是悲剧”。
PS：卓别林兼任制片人、导演、主演、编剧、配乐，最后竟然一个奥斯卡的提名都没有？",2013-02-02 19:33:00
7,东北洪常秀,力荐,卓别林的喜剧高级的地方是不讽刺底层人，而是永远站在弱势这一边。相形之下，今天的电影创作者不仅仅是充满铜臭，是充满了恶臭。,2021-03-06 11:34:30
8,老阿飞—故园,力荐,当人不再是人，而是机器,2006-01-08 18:01:33
9,Evans,力荐,上流社会的狗没听过饿肚子的声音,2022-01-05 19:14:58
10,enthusiast,力荐,永远的卓别林,2006-04-21 23:50:07
11,来都来了,力荐,时代真的进步了吗 我们更幸福了吗 996 货拉拉 拼多多 外卖小哥 内卷 房价 教育 哪里是我们的栖息之地,2021-04-13 19:16:01
12,曾于里,力荐,失业时日子那么难熬，工作时又避免不了被异化,2015-07-11 21:23:40
13,斑斑点点,力荐,"卓别林无疑是上个世纪最伟大的电影大师之一，他的作品深深的影响了一代又一代的人。
《摩登时代》是卓别林的代表作。",2017-02-18 16:29:39
14,闻君有白玉美人,力荐,大时代里的小人物，可悲可叹可怜。夸张的表演，展现那个时代中苦不堪言的资本主义国家的底层阶段，从笑声中看到当时社会现实，结局时主角相依微笑走向远方却又给观众留下希望。无论是表演力还是影片所传达的思想均足以让百年后的今天羞愧,2016-12-06 21:34:27
15,Ocap,力荐,第一部卓别林。机械化的生活中总还存在角落里的闲适，苦难也可以被享受。可以看出所有群戏、高速剪辑、长镜头都不是卓别林用来炫技的资本，一切都只为更好服务笑料。而这正是影响了憨豆、星爷乃至猫和老鼠的源泉，旧时代电影的本真在快餐潮流的冲洗下，总是显得愈发珍贵。,2015-02-03 23:47:55
