序号,评论者,评分,内容,时间
1,斯特,推荐,Michael Corleone也想做一个好人。但人在江湖，身不由己，为了家族，黑道浮沉数十载，甚至杀死了自己的哥哥。风烛残年的昔日教父坐在故乡夕阳下的藤椅上，回想这世间他最爱的三个女人，如今全都已离他而去。手间滑落的橘子、两只土狗与一口老井见证了他最后的悲凉。 ——2018重温,2014-03-19 13:20:32
2,Q。,推荐,一个完整的教父，最后风烛残年很令人感动。其实并没有像很多人那样不喜欢这部经典的第三部，毕竟时隔这么多年不管是导演还是演员各方面都变化太大了，能保持在水准之上已经实属不易。★★★★,2011-02-03 21:28:22
3,Ocap,力荐,维多·柯里昂死于极乐，旁边是一个机灵的毛孩；麦克·柯里昂死于极悲，旁边是一只棕色的小狗。,2014-09-08 17:30:34
4,艾小柯,推荐,对政治的结露辛辣精确，对Michael的刻画终于成熟，影片氛围观感均保持一致，但韵味上留白欠缺。帕西诺的表演令人难忘。,2011-06-02 19:49:51
5,欢乐分裂,推荐,安迪·加西亚真像年轻版本的阿尔•帕西诺！这一部像是回归到原点，与前两部惊人相似的聚会场面，年轻一代的邂逅与相爱，下一代对家族生意的抵触，重返西西里的感慨；最感动的还是教父失去爱女的痛苦吼叫、无法得到的谅解、垂暮之年的眼泪、临终前的回忆。,2014-07-24 21:05:52
6,大鲤鱼（丹AI）,推荐,麦克老了啊，越发孤独，悲凉又无奈。说到底，人在解决了温饱之后，最需要的是关系，如果不能和人建立感情，位高权重又有什么用。,2016-02-03 13:54:00
7,品客,推荐,我喜欢这集!,2007-05-20 16:31:01
8,一枚苏热姑娘。,力荐,看到最后要哭死了，可能因为总算有终了，这是教父系列我最喜欢的一部。另外想问问索菲亚小姐，您演技差也没关系但是没见过人死吗。。。。要不是帕西诺在嚎啕就完全没泪点了。,2011-11-07 15:16:33
9,Kaito,推荐,安东尼弹唱的西西里民谣很棒。第三代教父文森特性格的转型感觉很唐突。这集仍然死很多人，以很多人的死亡结束，以回忆结束，很多死法，被毒死的吊死的枪杀的刀子捅死的眼镜插死的...Al Pacino真的人老珠黄了，当年是那么的英俊Sofia Coppola，导演的女儿，女承父业。,2006-05-18 16:14:25
10,爱的镇魂歌,推荐,二代教父穷其一生守护家族，老来却落得孤苦伶仃。权力的漩涡哪有那么容易爬出来，染血的双手哪有那么容易洗的清。穆然回首，每一个节点都做出了正确抉择，却不知何时走上了错误的人生。,2019-07-02 22:49:54
11,同志亦凡人中文站,推荐,大银幕补完导演剪辑版，改动主要集中在开头。对渴望救赎的教父来说，长寿就是最大的惩罚。不管老科波拉怎么重剪，索菲亚的演技都那么拉胯，好几个镜头看得人拳头握紧...,2020-12-06 13:14:13
12,有心打扰,推荐,井然有序的叙述，深入人心的故事。阿尔·帕西诺嘶喊的那一幕，实在令人心碎。最后独自一人在阳光下坐着，安宁死去，这样的结果是他想要的吗？,2016-06-10 23:02:07
13,Lan~die,力荐,"""All the power on faith can't change destiny.""
任何信念的力量，都无法改变命运。
人们觉得第三部不好的原因只是我们不愿接受故事的真实结局。",2006-10-07 10:46:30
14,光年‖影视歌三栖民工,力荐,可能是因为看电影中途没有被打断，也可能是因为阿尔哥岁数渐增，演技越加成熟，第三部的感觉比第二部好很多。如果说基督山伯爵最重要的五个字是期望和等待，那教父系列的主题就是责任和担当，或者得到和牺牲。教父三部，时间从72年，74年直到跨入90年，还有质有量，科波拉也非凡人。,2010-07-25 03:46:31
15,朝暮雪,推荐,《教父》三部曲的终章，史诗的终结。,2017-03-16 06:33:27
