序号,评论者,评分,内容,时间
1,影志,力荐,Ennis不爱男人，也不爱女人，他只爱Jack。“希斯·莱杰和吉伦哈尔让这个痛苦的感情故事在我们身体中蔓延，莱杰先生神奇且难以置信地从他自己的身上消失而完全融入了角色，这是一个在银幕上可以企及马龙·白兰度和西恩·潘的表演” 人人心中都有一座断背山，那是一个永远也无法抵达的梦-李安,2006-01-08 04:59:40
2,林小乔,力荐,如果一生不能和最爱的人渡过，那贫富喜怒又有什么区别，责任信仰又有什么意义。,2011-04-09 11:31:18
3,お,很差,不能忍受这种类型的同性题材。你tm同性就同性，还要结婚，还要拉女性当垫背真的好恶心，这赤裸裸的骗婚+出轨，并且其中一个还会家暴，真下头啊，不知道这种怎么磕的下嘴。这真的有女的在磕？这种电影能进250真的恶心到我了,2023-10-04 23:42:43
4,萨嘎摩多熊猫桑,力荐,【剧透】你有一个挚爱你的人，但我不敢说你也挚爱着他，因为你有太多的怯懦。我当然知道你爱他，你哭着对那两件衬衣发誓，让我也跟着掉泪。只不过我还是会想：或许你更爱你自己。他死了，再也不能爱你了，你后悔了吗？,2008-11-24 22:46:42
5,大島,推荐,看来我没有弯的潜质，一上来我就把攻受猜反了,2015-09-08 17:43:23
6,波波维奇,还行,感觉两男的有点卖惨，电影中的女性角色太可怜了，既然难舍难分就不要骗婚，害人害己。,2018-05-21 08:14:00
7,nihaoma,力荐,这部电影于我，后劲很大,2006-10-11 20:54:13
8,littletwo,力荐,"喜欢李安。他的深沉、细腻、柔和、感性。他在《断背山》里揉进了那么多东方欲说还休的矜持，让我一下子觉得，他们的世界离我是那么近……
如果让我选择几部自己认为最优秀的电影，〈断背山〉肯定是其中之一。",2007-10-09 09:30:00
9,luce,推荐,没有办法不注意同妻的部分…… 都太苦了,2020-12-10 16:26:06
10,2013,推荐,深邃的大山和静谧的流水，一段如歌的爱情与疼痛的秘密。,2006-09-11 17:24:26
11,公子羽,力荐,这就是他们的命吧。李安说：人人的心中都有一座断背山。其实，不如说每个人都有回不去的地方。一个夏天的故事就是一辈子的回忆，因为这种不等式的交换才让他们生命的价值显得悲壮而又无奈。烟花已灭，埃尼斯与杰克都在黑暗之中，一开始看不清别人，也看不清楚自己，可慢慢的都习惯了。潮起潮落，有的人认命了，就飘飘荡荡地活着，有的人不肯认命，就挣扎地想抱一丝希望，无非是想多找到一点可以温暖的回忆。其实，不管怎样都是不容易，费劲是相当费劲的，除此之外也没更多选择。,2006-02-19 00:50:19
12,不正经的夏夜,推荐,全程都觉得两个男主是纯洁的兄弟友情，看完了上豆瓣一搜才发现我他妈看的是删减版。,2017-03-12 12:37:27
13,李卡,未评分,断背山的好，在于他的不温不火,2009-02-08 11:37:42
14,Charlie,力荐,i wish i knew how to quit you~,2007-02-09 14:52:24
15,細細陳,推荐,原来男人与男人之间，也可以爱得这么唯美,2008-09-09 22:02:47
