序号,评论者,评分,内容,时间
1,木卫二,推荐,哈哈，延边刀客，中国黑客,2013-05-20 02:33:53
2,souvent,推荐,《丽水爱情故事》。,2016-12-31 23:04:30
3,猪able,力荐,好伟大的爱情片，我都快哭了,2013-04-02 16:43:04
4,城南草木生,推荐,老想按一个粤语音轨怎么破…………………………,2013-06-17 16:22:40
5,闲人,较差,两星，太差了，太差了，剧情完全没有重心，如果没有那还算勉强的结尾也就一颗星吧。,2013-05-07 21:47:11
6,wallace李,力荐,弄巧成拙姜科长，无心插柳李子成，唯我独尊李仲久，超长待机是丁青，壮哉天朝大黑客，实力助攻小延边，智商不够高局长，我没看够宋智孝,2017-05-27 18:09:49
7,恶魔奶爸Sam,力荐,最后还是华侨统一了南棒黑社会，中国人最狠啊。。。,2016-07-06 22:05:01
8,麻绳,推荐,卧底警察的内心交战和身不由己都不过是黑帮卧底片的常规戏码，此片的过人之处在于其一黑到底的决绝和霸气，不是所有电影都敢这么玩的，还有两个男人间的越界友情，虽然狗血但着实感人。本来是香港电影擅长的东西，现在只能看韩国人玩了。,2013-07-18 22:41:23
9,记不住密码,推荐,为了最后的回忆杀多给一颗星……,2013-05-08 10:17:08
10,姨妈的鸭,力荐,怎么办，，，，我觉得他比吴彦祖都帅,2014-03-16 13:26:13
11,玄辂Hyunlu,力荐,想对姜科长说 做人要厚道 做警察尤其要厚道 不信抬头看 黑道自有真情在 BGM怒赞,2015-11-07 21:47:29
12,同志亦凡人中文站,推荐,“心要狠一点，才能活下去。”当棋子意识到可以不再是棋子，棋盘又算得了什么呢？和“无间道”相比格局上就已经青出于蓝了。黄政民太会抢戏，看完后对他坑坑洼洼的脸简直挥之不去！,2014-05-29 17:09:08
13,Obtson,力荐,杂糅《无间道》与《极恶非道》的宿命论，又兼具《教父》的审判意味。惊叹李政宰的表演，那种木偶对牵线者的疯狂反噬，成为影片绝对的高光时刻。一直被簇拥着走的人生突然跳出棋盘，伴随着的却是彻骨的寒意，这是新世界的阵痛，也是情义与人性的丧钟。,2013-07-23 18:20:56
14,远子,还行,该片解答了我以前看香港黑帮片时的一个疑问：卧底这么厉害，干嘛不直接当老大？,2018-10-14 12:13:59
15,一顆小天狼星,力荐,“你知道你在干什么吗 万一 千万分之一我活下来了 你该怎么办 你也会对付我吗?”相信结局是众望所归的 把你置身黑道的国家并不保护你 而你的敌人却愿意与你同生共死 接地气的丁青最后送给李子成的礼物 仍然是从中国带回来的假货。“要做出选择 要心狠一点才能活下去阿 brother”,2014-07-05 19:25:07
