序号,评论者,评分,内容,时间
1,MaTown,推荐,当年看到最后把甄子丹的脚剃成骨头的时候我还吓了一跳,2008-12-26 14:48:23
2,V,力荐,那时甄子丹还没出名，在演大反派，林青霞因为《东方不败》、梁家辉因为《情人》都红到爆，但该片的最大受益人却是张曼玉。那个风骚入骨的客栈老板娘，成了武侠影史上跳不过去的一页。今后恐怕没人能比张曼玉演江湖客栈里的老板娘演得更好了。,2009-03-28 20:04:41
3,北影厂彪哥,推荐,张曼玉真是风骚啊,2006-02-18 12:04:59
4,元宝宝,推荐,张曼玉将金镶玉风骚入骨敢恨敢爱的性格刻画的入木三分。林青霞和梁家辉亦将江湖儿女的情怀与抱负演绎的丝丝入扣。其它一众配角个个可圈可点，经典之作。,2017-03-20 16:03:35
5,少年夏不安,力荐,大漠孤烟直，长河落日圆。感觉这才是中国的西部片。茫茫大漠里一间小客栈里面各种势力的冲突纠葛。话说原来那双刀鞑子男才是扫地僧般的存在啊。,2010-11-04 15:09:02
6,焚紙樓,还行,不似正邪之爭，而是無情（宦官）和有情人的對立，且是精神生理併行：周邱之間的男女之愛、邱金之間的女女曖昧、金周之間的性吸引力、以至孤人小二對喪父姊弟類似親情投射的情誼，再再都是沒陽具便不配有的關係。相較於劇外比劇內陣營還多還雜的洋片典故，這個安排倒是非常的「中國特色」，獨一無二啊。,2018-02-21 23:01:30
7,老鸡｜扶立,力荐,这部片子里面最帅的其实是小二,2008-01-10 17:07:55
8,思路乐,还行,【B－】在当年极度疯狂的香港电影市场下，镜头是狂妄的，剪切是粗糙的，人物是夸张的，打斗是模糊的，暴力是噱头化的，故事则是极速推进的。总而言之，整部电影都像那个香港一样是不择手段的“快”，一招一式都快到癫狂，如此眼花缭乱、酣畅淋漓，却从不经得起回味，在如此夺目的皮囊之下，其潜藏的却是香港电影快餐模式下的审美疲劳。,2020-01-03 10:51:04
9,轰小云@七汉字,力荐,"三步一个青霞, 五步一个曼玉, 甚是享受",2008-05-24 20:45:58
10,伍德与夏洛蒂,力荐,无法超越的喜欢，风流却不下流，严谨却也狡猾的周淮安。风骚却不下贱，义气却不蠢钝的金镶玉，以及外刚内柔的真女人林青霞。比起后期的沉默气质，我更喜欢这与青蛇时期的张曼玉。每个演员都无出其右，每个节奏都恰到好处。心中最深的火舞黄沙之梦，有余悸更有不舍。,2011-03-16 20:41:26
11,古西亦古奇,力荐,金镶玉，没人能超越,2009-05-18 12:41:17
12,伊谢尔伦的风,推荐,梁家辉果然比李连杰好多了……,2012-01-08 20:12:53
13,木卫二,力荐,我不像你一样，有勇气面对这片沙漠,2006-04-14 10:58:31
14,阿北,力荐,test,2005-06-12 02:22:28
15,曼仔,还行,早几年看可能会更喜欢吧。徐克的片子真的常常就是有句无篇，有惊鸿一瞥的人物和场景，但是故事讲的乱七八糟。相比较胡金铨，徐克既飞且糙。小时候喜欢徐克的怪诞、奇诡、张扬，近来倒是更喜欢胡金铨的扎实、生动、烟火气，非常有生活质地，也直承了很多中国民间文化的传统。看这片儿就当是为下周看京剧版新龙门客栈做功课了。,2019-09-06 16:33:28
