序号,评论者,评分,内容,时间
1,江倍恒,力荐,"迪士尼的华丽逆袭！
当拉尔夫落向可乐山，耳边响起坏蛋宣言的时候，即使我已经猜到了结局依然被感动到一塌糊涂……",2012-10-18 19:26:54
2,psycho DC,力荐,给我一瓶可乐 + 一包曼妥思 我能拯救全世界！！！！,2012-11-06 22:36:06
3,Obtson,力荐,给这片子差评的多半曾是班干部，他们去游戏厅也都是领着老师去逮人的。所以，我认为打低分者才是真的无敌破坏王。,2012-11-09 10:47:12
4,白发生,推荐,即便今年的动画电影整体水平偏低，也不至于把这样一部作品推上神坛。,2012-11-08 16:15:28
5,chaaaaad。,力荐,必须今年看过最好看的动画片！在电影院听到我大村姑团的歌曲实在太威武了！,2012-11-03 14:06:49
6,猪大腿,力荐,"不出意外这应该是今年最好看的动画片了！片子里面一""下""一""上""两场戏都超级感人，小催泪。""Hey, look at the high definition of your face!"" lol",2012-11-03 14:38:03
7,同志亦凡人中文站,推荐,正太把御姐，罗莉泡猛男——这真是一个三观尽毁的电玩世界！,2012-11-06 21:46:20
8,王食欲,推荐,最美告白：你脸上的像素好高啊！,2013-08-20 23:00:08
9,gudong,力荐,昨晚是第一天首映，一直激动到现在，绝对可以称之是迪士尼的崛起之作，近年来最有创意的故事最用心的设计最可以证明迪士尼实力的影片，brave，tangled几乎没有可比性 go watch it!,2012-11-03 22:09:50
10,bailey,力荐,不容错过！每一个镜头都充满了惊喜~！每一句话都充满笑料，结局也带来很多感动。影片里出现了很多经典游戏人物，有美式的，也有日式的，身边的老美一个个看的惊呼声不断~~！,2012-10-22 13:18:25
11,影志,还行,突破的迪士尼，有回忆却无情怀，有佳句无佳章，设定、创意不错，但讲述方式一路下滑。开篇惊喜以为会是游戏世界的《超人特工队》/《超级大坏蛋》+《怪兽电力公司》，没想看完感觉是动画版的《极速赛车手》…无个性，满满都是其他动画片的影子。 “如果那个孩子喜欢我，我还能坏到哪里去呢？”,2012-11-06 21:36:26
12,ev0,力荐,这难道不是Pixar出品的吗？,2012-11-03 14:31:08
13,亵渎电影,还行,特意大半夜的跑去看了原声场，还真以为是今年的神作呢，整个就一个调色板毫无节制的追逐游戏，追逐越来越快真让人担心动画师的调色板会在高潮时刻跟着失控。也许大家看的是自己的怀旧情结？这样的反英雄故事没有亮点只能算不功不过，连桥段还都是大把眼熟的拿来主义，天朝的观众都返老还童了？★★★,2012-11-20 02:06:59
14,一零,力荐,蛮赞的哦！当然还是有故事上的不足，但会因为突然地搞笑部分而不会太在意故事。特别喜欢这个‘世界’的处理。比我想象中的好多了。适合80后90后？连我这个不是玩很多游戏的基本上都懂啦所以也无所谓。看完后……牙齿有点疼就是了，不喜欢过分甜和可爱东西的人不一定适宜~,2012-10-26 11:02:00
15,大奇特(Grinch),推荐,蜀黍和萝莉、御姐和正太的逆天组合，和《复联》《林中小屋》一样，以“穿越”串起主轴，却没有前者的一锅乱炖，而是毫无违和感。以“反英雄”主角的消极情绪，一路升温来找回正能量。倘若你曾是8位机或游戏厅的玩家，必定能够旧梦重温、重拾童趣！,2012-11-06 15:34:01
