序号,评论者,评分,内容,时间
1,润物,力荐,如果看了无间道第一部，这部续作是必须要看的，这是一部前传，错综复杂的关系结合着之前作品来理解，非常有味道，编剧确实很有水平，设计得相当缜密。演员阵容依旧十分强悍，这部里吴镇宇的出演是最大亮点，可以毫不夸张的说，他甚至抢走了几位主演的风头，虽然黄、曾二人是公认的演技派，但给我留下最深刻印象的还是吴镇宇，他演老大简直绝了。看过之后，慨叹着命运的无常。,2007-03-31 14:15:06
2,redmayne,力荐,因为这部戏 我第一次 清楚看到吴镇宇这个人 只是这点 已经是满分,2007-09-25 13:10:05
3,So Magic,推荐,吴镇宇绝了,2009-12-08 09:59:37
4,白鲸,力荐,倪永孝中枪栽倒在弟弟的怀里，弥留之时拽出了藏在他衣服内侧的窃听器，一瞬间的眼神没有人能读懂，趁还有一丝力气，又把窃听器塞回到弟弟的衣服里，接着撒手，瞳孔放大离去…这是我看过最荡气回肠又悲天悯人的黑帮电影。,2016-01-25 23:55:49
5,某茶君,推荐,无间道的前世今生...吴镇宇实在是太有味道了...,2007-01-28 03:16:49
6,旅途人生,还行,应该是前传而非续集，相比第一部，结构更复杂，更侧重对黑道江湖恩怨情仇的描绘，而非单纯的卧底故事。需要静下心来看。但因为结构世界观的庞大，使得电影叙事复杂，趣味减少，又是一部不成功的续集,2017-03-13 11:37:03
7,A-sun*,推荐,要是没有吴镇宇怎么办！,2010-10-08 12:13:11
8,黃美麗,力荐,5粒星係比吴镇宇的,2008-06-28 02:39:46
9,[x],推荐,我不想再做卧底了，再做两年我就成尖沙咀老大了。（笑尿）,2015-10-15 20:11:17
10,战国客,力荐,论好看，2不敌1，也不如3。但就影片本身的质量，2绝对是3部中最好的。跟《黑社会》系列一样，拍出了黑帮史诗片的感觉——大气~~,2007-06-25 10:20:40
11,我爱阳光,力荐,吴镇宇非常出彩。片子很有教父的感觉，但有些场景和心理刻画比教父更细腻些，很喜欢！,2007-10-31 18:13:31
12,阿德,推荐,倪永孝这个角色被吴镇宇演绝了，每个眼神每句台词都“教父”范儿！,2011-06-03 10:08:56
13,|,力荐,老吴是香港的Godfather 没有之一,2007-08-11 09:14:53
14,辣辣的皮特,力荐,看第二遍了，但当倪永孝倒在陈永仁怀里时，眼泪还是出来了。高中那会看的感觉是这人的生命真是渺小。现在看，一是对故事有了更多的感受，二是再一次拜倒在吴镇宇的西装裤下...,2007-11-29 13:50:19
15,小肥喵:D,力荐,是怎样的女人才会拒绝陈冠希而选择曾志伟，无间道2给了答案。是梁朝伟的老婆：刘嘉玲哈哈哈,2021-08-10 17:51:27
