序号,评论者,评分,内容,时间
1,眠去,推荐,穿越界第一女朋友:Rachel McAdams; 喜欢这部片子的光感，最爱大雨如注的那场婚礼，你紧张地问我，是不是想要一个阳光明媚的婚礼，不不，一切不需要重来，一生只这一次就好。,2014-01-10 19:59:42
2,苏菲sama,力荐,对于我们最爱的人，不说永远，只说珍惜。差点在电影院哭断气,2013-10-02 20:23:04
3,Reader,推荐,突然悟出一個道理。分分合合的戀情，多半因為其中一方熱切於go back in time，重臨兩人曾經的過往。而另一方並不。,2013-09-21 21:56:52
4,Ying,力荐,你们有没有发现，所有的时空穿越的电影和书到了最后都在告诉我们，要living in the moment...最朴实庸常的时刻也是美好的,2014-04-20 00:31:11
5,二道贩子,力荐,可能是为了卖片，包装成穿越爱情故事，为此差点错过此片。谢谢贤妻的死拉硬拽。虽然中间说了几句这不合理，但真的很好，上了年纪的人，给我们上了一课，关于时间，关于人生，好像还关于电影，那个黑暗的小屋，何尝不可以是电影院。,2013-10-06 01:23:38
6,桃桃林林,推荐,理查德·柯蒂斯擅长的轻松有趣加温情。时空旅行仅是噱头，重头还是亲情。当主角发现即便可以时空旅行，仍无法避免那些生活的悲剧。比如亲人的离去，我们始终无能为力，这恐怕是最触动我的地方。最终的主题仍是学会爱，学会生活，并珍惜与亲人的每一天，这话说来容易，实际却相当难。生活中同样应该如此,2014-01-11 11:54:01
7,秋禾 啾,力荐,奇怪的是，回到过去这项超能力，最终教会我们的却是头也不回地往前走。,2020-09-12 22:58:32
8,zinnia,推荐,被初恋诱惑时，竟然是拒绝后第一时间回家求婚，这个真是犯规了，太感动,2021-01-02 19:55:50
9,davekozg,推荐,1、三观够正，道理积极；2、故事想法很有意思；3、原声配乐很好听；4、剧本有问题，过度弱化冲突，故事本身除了舒服外没有说服力，life is much harder；5、太多旁白只说明剧情推进的乏力；6、镜头不时莫名其妙地晃；7、片子质量有三分，给到四分是私心,2013-10-31 13:26:25
10,影志,推荐,“我试着过好每一天，就像我已经穿越回去那天一样，去享受它，当它是我非凡却又普通人生的最后一天…跌跌撞撞和摔倒都造就了现在的我。” 扔掉可反悔的《人生遥控器》，过好每一天！50%的浪漫爱情+50%的家庭亲情和人生感悟，不如《真爱至上》《海盗电台》浪漫的彻底，却也直抵人心。打个俗分4星。,2014-01-05 00:20:13
11,荔枝超人,推荐,关于时空穿越的“技术流”问题不少，但是作为一部有笑有泪又有爱的心灵鸡汤片该做的也都基本表现到位，尤其泪点深得Eternal Sunshine of the Spotless Mind和The Curious Case of Benjamin Button之精髓。,2013-10-13 23:21:22
12,白发生,推荐,时空穿梭在片中不过是一味调剂，完全没必要深究所谓的逻辑。生命中发生的一切都有它的意义，总有些事任你如何通天彻地也无能为力。时光总在前行，生活终要继续，纵然历经风雨，只要用心感受仍会发觉其中美丽。每一天都是独一无二的旅程，无需任何修整与调试依然可以走出无与伦比的人生轨迹。,2014-01-16 22:05:08
13,Nee,力荐,"编剧是Love Actually的Richard Curtis, 女主角是来自于另一部时间旅行电影The Time Traveler's Wife的Rachel McAdams. 配乐沿用了Gravity里的钢琴伴奏，画面美好到让人陷在爱恋中。在伦敦，若不好好谈一场恋爱就太辜负这个城市的一片深情。把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。",2013-10-18 11:17:02
14,樹一,推荐,可以看得见风景的房子，大雨掀翻帐篷的婚礼，每天除了打水漂就是在海边喝茶的生活多美好！好吧，就算穿越这个梗bug百出，也不阻碍我们从中get一项活得轻松一点的技能：如果你的今天恰巧跟昨天一样无精打采或倒霉烦躁，那一定是上帝给了你一次再努力做得更好的“穿越”机会。So，enjoy it！,2014-12-23 00:08:30
15,#瞬间收藏家#,力荐,"""How long will I love you?""情节退后一步，把舞台留给家人、生活，留给错失爱人时的惊惶、表白时的笨拙不安，留给最后一次海滨散步、最后一次拥抱、最后一个吻。每天过两遍，会发现被忽略的美好；孩子养三个，万一某个太聪明笨笨的两个可以作伴。片名有点误导，画面美歌好听，一家人在一起真好。A-",2014-01-16 00:27:19
