序号,评论者,评分,内容,时间
1,囍夭夭,推荐,所有的离开你都赶不上，所有的门你都打不开。所有的人都是撒谎者。,2010-06-05 22:48:40
2,单线程青年,力荐,不偏袒的好片儿！一个进自己原来的宫殿还要买票的皇帝。,2008-03-24 09:06:17
3,Over5,力荐,有史以来一部最地道最出色的中国电影，居然，Made By Italian～,2007-02-24 00:14:41
4,西楼尘,推荐,他痛哭流涕追阿毛、失魂落魄追婉容，但始终追不回那昔日辉煌的时代。他反抗太监偷窃文物、反抗日本傀儡操控，但终究反抗不了自己跌宕唏嘘的命运。他做了一辈子囚徒，在紫禁城在满洲国在抚顺管教所。终于买了张观光票，在赤色余晖中蹒跚进入太和殿。须臾一世，只有那皇座下藏着的蟋蟀，还认得他是帝王。,2017-08-06 23:17:39
5,Q。,推荐,溥仪只是那个大时代里一个无法左右自己命运的小人物，注定在历史洪流中成为悲剧人物。……贝托鲁奇并没有洋洋洒洒的去讲溥仪的故事与中国的历史，而是选择了一个独特的视角来看待末代皇帝的人生。只是……紫禁城太监还有皇帝与皇妃在后宫都是一口英文……★★★★☆,2010-07-18 20:54:24
6,周游雪场,推荐,喜欢尊龙。他把溥仪演的太好了。事实上溥仪哪里值得那么多同情呢，他的一生在不幸中成就了大幸，在那个乱世里，他比几乎所有人都过得要好，过着国宝大熊猫的生活。他做错了的事，有人代为受过。他没有的气节和美感，还有人演出来赐给他,2017-12-31 00:37:07
7,Mignon松弛地,推荐,作为一个外国导演不可能拍得更好了，但我是一个中国人。,2008-07-14 21:05:09
8,托尼·王大拿,力荐,"尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。",2011-03-21 16:43:30
9,南笙,推荐,26岁的陈冲真是美得叫人目瞪口呆,2013-01-07 22:57:44
10,Obtson,推荐,非常赞叹这是一个意大利人的作品，西方人眼中的东方却比纯东方式的自审更让人动容。它的极致悲怆并不是喊口号式的疾走嚎啕，只是诉说，用一个人的一生去淘尽时代凄凉。陈冲的泪妆食花，尊龙的梦回太和，大清、伪满、新华，颠沛易帜遍野坟冢。这是一个人被监禁一生的故事。,2012-10-23 15:06:51
11,疯眼穆迪,力荐,我觉得对于一个外国人拍的中国人物传记来说，它最可贵的不是那些对比强烈的色彩和镜头，而是他的态度，他对这个人物的理解，他并没有评判什么但是他把故事默默地摆在那里，到结束，你会一时觉得心情复杂，而且更重要的一点是，电影里不仅仅塑造了溥仪一个角色，而是通过细节也讲述了围绕着他的一些人的沧桑，这对于一个外国人来说，我觉得异常珍贵。虽然还是有些次要人物显得有些脸谱化，呵呵。。。CC版本，3小时38分。。。,2008-04-09 16:30:40
12,影志,力荐,极致的美，极致的伤。音乐太灵，画面太精，原来早在1987年，外国导演就早于《活着》《霸王别姬》把20世纪中国历史拍的如此炉火纯青了…“我从未和家人分开过” 额娘，阿嬷，婉容，庄士敦，溥杰，皇宫…溥仪的一生都在告别，跟亲人，跟时代，跟历史，身不由己。@上海国际电影节 4k修复版,2015-06-20 18:33:54
13,memo,推荐,无疑是史诗级的制作….但问题还是“有一个蒙受苦难的男人，你就能找到一百个比他更苦的女人”。电影里庄士敦为溥仪申诉：“他大概是全中国唯一一个不能走出自己家门的人吧！”只有一条弹幕说：“所有女人都不能走出家门。”,2022-12-27 02:12:19
14,同志亦凡人中文站,力荐,贝托鲁奇镜头下的中国始终是存在于他想象中的红色国度。电影拍得过于西化了，但讨巧的用溥仪的命运承载了近半个世纪中国的变迁，进而阐释人与命运对抗的古希腊悲剧主题。如果说人的一生是不断失去的过程，溥仪无疑是失去最多的，因为他曾经拥有整个中国...,2012-06-25 22:33:44
15,木卫二,力荐,这不是你的错……这真的不是你的错。或许隔着银幕来看，溥仪的人生遭遇令人唏嘘，然而，比起前朝旧史的末代君王们，他这个退位皇帝已经算是得善终了。,2006-04-15 17:42:11
