序号,评论者,评分,内容,时间
1,麻烦帮我关下门,力荐,五星都给浣熊！世上最好的小浣熊！机器人破破烂烂，小浣熊缝缝补补！,2024-03-13 21:15:33
2,Mayday,力荐,"太好看了！太好看了！太好看了！一句台词也没有！我感动的泪流满面。一直焦急等待着他们重逢没想到真的见面的时候选择了避而不见 一起不在同一个地方跳舞的时刻眼泪哗哗的流。一段关系的结束一段关系的开始我心中始终会给你留个位置，纯粹版换乘恋爱。再遇见新人时机器人已经懂得了牵手不能太用力，小狗也懂得了机器人进水会坏掉。上一段做错的在新的人身上不会再重复。好会拍啊好喜欢 不用语言的陪伴 不在身边的想念 重逢之后的放下 呜呜呜呜呜呜呜。
还有很多很有意思的桥段，雪人用头打保龄球，雪人喝饮料会变色，章鱼打鼓，机器人教小鸟飞翔，好喜欢这样的动画，心软的一塌糊涂。",2024-02-13 12:30:13
3,普通人类材料,力荐,两个人不在彼此身边却跳着同一支舞😭有时候love doesn't overcome circumstances，而我们只能向前看、追寻新的幸福。,2023-09-09 22:55:43
4,天马星,力荐,原来每一次与你重逢都是梦，尽管我们不能在一起了，但这并不代表我不爱你 。,2024-02-19 12:07:23
5,Faust,力荐,"狗子要的是陪伴，机器人要的是狗子。  
狗子，你可以划船从海上去找它，也可以从天上落下去找它，还可以从下水管道去找它！但你没有！你也努力了，在你的能力范围，也算对得起自己的良心了，不会自责了，然后用一个便签掩盖了情感。去寻找新的陪伴。到期了，在海滩上挖了个大坑，来结束这份感情。狗子是现代消费文明下作茧自缚的人类，心底有爱却无从发现，也无从寻找。
机器人，理想的赤子，粉身碎骨后，它值得一份爱的拼接。
所以影片叫《机器人之梦》。",2024-03-14 11:32:06
6,UglyBerry,未评分,我过得不错，你过得也不错，这一切看上去都不错，但却全错了。,2024-02-20 22:16:11
7,屑美乐蒂,力荐,"只希望你开心，不管身边人是谁。

真是哭得我满地找牙… 只恨不能打10星",2023-09-09 18:45:56
8,田小禾,力荐,我是不是你最好的朋友，我是不是你独一无二的朋友，你来找过我吗，你还记得我吗，你有新的朋友了吗，冬天你度过了什么样的日子，春天呢，是谁砍掉了一条你的腿，谁给了你温暖，谁给了你新的生命。你的口哨吹给谁听，在你的梦里，我终于在你按响门铃后来给你开门了吗？是不是人类聪明到能发明机器人朋友，也还是会想这些愚蠢的问题，还是会感到孤独呢？那条熟悉的街道，那一小片沙滩，只能等待时间来解冻的冰面。在时间中我们记住和忘记的究竟是什么，在我们都感到孤独的时间里，各自度过了什么样微小而有趣的日子？钓鱼，然后又偷偷放生，放一只风筝，小心翼翼地交新朋友，成为三只小鸟的巢，看着它们长大然后飞走。,2024-02-24 21:04:44
9,榴莲王子,力荐,我每个梦的结尾都是想要按下你的门铃,2024-04-25 09:45:44
10,奇怪的普通市民,推荐,最喜欢的还是鸭子姐，一声不吭就搬到巴塞罗那，鸭子姐你会幸福的,2024-03-02 16:20:14
11,桃黑,推荐,虽然结局看起来大家都开始好了起来，但狗狗的幸福是自己可以主动得到的，而机器人的幸福却是靠着无尽等待，甚至支离破碎之后偶然获得的，这两者之间是绝对不一样的。,2024-02-18 12:37:00
12,잡지를 읽기,力荐,最该死的就是沙滩浴场的管理人员和保安，暂时把人放进去一会儿能怎么的？？？！！！,2024-03-26 10:11:21
13,Josephine,力荐,看的又笑又哭的，这绝对是爱情啊，我竟然觉得这个电影把爱情中的“轻”讲清楚了。我爱你，我想你，虽然你不在我身边了，我继续经历着新的事情认识新的人，永远在心里有你的位置。,2024-02-06 23:19:49
14,Meraki,推荐,相聚离散都有时候，不会再问小狗为什么不能更努力一点早早带走机器人，我们多多少少都已经领略过命运的斥力，默契情谊真实发生过，也总会有新际遇补位。看了会难过或豁然都太正常了，配乐很出色。,2024-02-08 23:11:35
15,Durian,力荐,我努力过了，我甚至还为此进了监狱，我记下与你重逢的日子，可是我只能找回一些碎片，你现在在哪里？你还好吗？对了，没有你的日子里，我认识了新的朋友，我去放风筝了，去野营了，去钓鱼了，没有你的日子也不算太坏。我好像真的找不回你了，所以我又有了新的朋友，但是有一天我仿佛听见了熟悉的声音，看见了熟悉的身影，那是你吗？可是你为什么没有出现？我希望你一切安好，在没有我的日子里也能快乐幸福。,2024-03-04 18:07:09
