序号,评论者,评分,内容,时间
1,SWX,力荐,这是一只安卓和苹果的故事么。。,2012-10-08 23:40:20
2,Ragdoll™,推荐,乡下文艺小伙儿追求都市女精英的故事……以及……,2009-01-23 15:00:46
3,junepig,推荐,清纯乡下少男与前卫暴力冰美人的爱情故事啊～xixi,2008-09-15 16:46:41
4,眼角的花朵,推荐,人类在这个片子里面是处于完全被嘲笑的位置。（其实应该说美国人？）片中的超大型连锁企业BNL在未来已经统一了所有的商业领域。而人类堕落成完全依靠电脑的帮助才能吃喝拉撒的胖子们。而且从小就接受电脑的教育要消费消费再快点消费。这个世界虽然没有Matrix的灰暗，但是其实相差不远。好在人类并非丧失了本性，只是“遗忘”了而已。而Wall E和Eva的出现就提醒了他们还有一个“家”，虽然已经满目疮痍，在等待着他们的回归。,2008-07-10 11:35:55
5,眠去,推荐,没有引进真是太遗憾了。,2008-11-03 08:21:09
6,徐小花,力荐,把所有的好东西都给eva,2008-12-27 22:33:27
7,岛上的夏奈,力荐,浪漫得一塌糊涂，像废墟中开出的花，像牵手散步的下午，像世上所有伟大的爱情。,2015-12-17 07:17:48
8,海心,力荐,很久没看过这么可爱的动画片了。瓦力什么都不会说，除了那一声声执拗的：Eve！他们在星空画出美丽的弧线，他们无意间守候了一份真正的爱情。,2008-11-14 22:54:45
9,lenlen,力荐,我看哭了。。。,2008-09-12 09:37:55
10,影志,力荐,再也没有比《瓦力》更美的动画片了！谈到Wall·E的来源，导演安德鲁·斯坦顿否认了“ET”或者“霹雳五号”的说法（尽管外形很像），他只承认自己创造Wall·E受到了“小台灯”（Luxo）、双筒望远镜、R2-D2、迪士尼乐园“星空之旅”的机器人、卓别林以及伍迪·艾伦的影响。,2008-11-16 00:30:29
11,美丽新世界,推荐,地球上最后一個收納歸類狂walle應該是巨蟹座吧。。,2009-02-01 00:15:49
12,艾小柯,推荐,小瓦力，大人生,2008-07-04 16:09:58
13,Doublebitch,力荐,陈奕迅都为你唱歌了,2008-10-28 02:52:41
14,🌞娘卷卷🌙,力荐,到底有多少人是因为《机器人总动员》这个烂译名错过它的！太出色的一部动画了，你找不到替代品的。默片，看似简单又非常复杂的设计，怎么那么棒，那么感人。,2015-03-07 11:13:00
15,陀螺凡达可,力荐,堪称完美的动画作品。,2011-12-28 05:12:35
