序号,评论者,评分,内容,时间
1,狮子人,力荐,嗨凶手，你也在看这部片吗？送给你的，杀人回忆,2011-02-01 20:31:59
2,南笙,推荐,想到真凶可能会若无其事坐在电影院里面，与电影最后一个镜头里宋康昊含泪的双眼四目相对就觉得好惊悚,2012-06-30 00:33:11
3,御宝林,推荐,偏向于多人效仿作案，凶手不止一个。最后女学生是小白脸杀的可能性很大！言行逼供了三个人，只有小白脸最态度反抗、眼神一直有特写是充满恨意的，因为他并没有杀人还要被诬陷。出来后在酒馆喝酒，女学生从窗前走过也对他指点议论，让他觉得自己的名声已经彻底毁了洗不清了。所以最后警察媳妇和女学生同时出现他选了女学生。还有下手之前扶着树干的细嫩的手的特写。可能真的是出于报复——既然你们都觉得我是凶手那我就真杀个给你们看看。DNA对不上是因为之前那个真不是他杀的。还有开头第一个案件发生后男主抓了很多个“嫌疑犯”，这里有个细节，几乎每个人都是面目可憎凶神恶煞的。因为男主潜意识认为杀人犯就应该长成这样的气质和模样。然而结尾小女孩说凶手“就是个普通人啊”是个记不住长相过目就忘的路人。每个平平无奇的人背地里都可能是凶手。,2019-04-07 22:57:57
4,桃桃林林,力荐,这并非一个寻求真相的故事，而是关于真相如何被整没了……,2007-05-05 14:18:32
5,我爱阳光,还行,一部很普通的电影。,2011-04-15 10:55:11
6,西楼尘,推荐,生锈的铁钉斩断穿军靴的腿，切块的桃子夺取穿红裙的命。沾泥土的符咒能够显现犯人的轮廓，巫师般的法眼能够看穿恶人的真容。电台里的歌是靡靡的安魂曲，夜幕中的雨是淅沥的生死符，捉不到的凶手是人性的传染病，无休止的警报是时代的创可贴。拥有一双能够看穿犯人特殊的眼，却看不穿普通，普通最致命。,2019-09-19 10:35:33
7,亵渎电影,力荐,真实事件玩了全世界，电影玩了你，总觉得离真相很近了，而真相却是没有真相。★★★★★,2011-08-14 20:54:50
8,影志,推荐,那种抓不到、还被调戏的无力感,2006-03-13 06:48:48
9,Rivers,推荐,还好柯南最后没出来,2010-11-20 15:54:46
10,Q。,力荐,总之一句话，一部让人窒息却欲罢不能的作品，喜欢所有演员的表演，韩国电影的颠峰之作。★★★★★,2008-05-26 00:07:10
11,苏比,推荐,拍得非常好，是不是传说里的评价太好了，我竟然有点小失望，一直到片尾也没满足。,2008-07-16 09:32:33
12,伍德与夏洛蒂,力荐,这片给我的阴影才是史无前例好么？5年前大学拉片课上看的，看完了已经半夜12点，我走回寝室腿都抖的站不起来，一年中再也没吃过桃子。奉俊昊和宋康昊联手，真不是闹着玩的，经典至极。,2011-05-24 18:33:20
13,战国客,力荐,不单只是杀人案，韩国在那个时代的回忆也都融在其中，化成了一幅背景,2008-07-28 10:05:51
14,米拉之落,推荐,在一个法制混乱的年代里，任何一个普通人都有可能成为罪犯和恶魔。,2010-02-26 21:05:11
15,囧之女神daisy,推荐,尽了一切努力的人们，除了忍受过程中的一切痛苦，还必须忍受“事情可能是没有答案”的这一事实。,2017-11-26 12:26:59
