序号,评论者,评分,内容,时间
1,对方正在输入.,推荐,看完之后才理解为什么学校的数学楼叫alan turing building，为什么工程学院的咖啡馆叫enigma cafe,2014-11-27 06:39:35
2,dow,较差,一部未来的人显然不会想起，刚出影院的观众也讲不清楚的电影。,2014-11-29 12:52:13
3,李小饼,推荐,1最佳soul mate是去掉性吸引力 你仍是完美伴侣  2唯一爱你的方式，是建造一部解决人类所有问题的机器，冠以你名。 卷福又上升了一个新高度，演绎淋漓尽致  结巴天才四星半,2014-11-15 08:38:14
4,春彦会长,推荐,天才之觞。Alan Turing的这台baby computer如今安静地站在曼城的科学工业博物馆一角，看电影之前我刚去看了它。机器不能思考，但天才倾注于它的所有心血和情感，也许是他孤独短暂的一生唯一可宝贵的珍藏。,2014-12-02 04:47:09
5,翻滚吧！蛋堡,推荐,再被图灵的守护感动前竟然先被KK感动了，“那又如何？我们和一般人不一样，我们用自己的方式爱着对方”,2015-01-13 02:59:39
6,蕭查某,推荐,看完图灵隐形眼镜都哭掉了，倒不是benny演的有多好，说实话还是没有突破自己固有的银幕形象，能入围的话就已经很不错了。但图灵的一生真的很有泪点，影片结束能听到后排抽泣的声音， 因为真实存在过，所以让人心更为他疼。,2014-11-25 04:41:38
7,同志亦凡人中文站,力荐,他给机器起名“克里斯托弗”，因为这是他初恋的名字；他同意接受化学阉割，因为这样政府才不会把它带走：这大概是今年大银幕上最含蓄和悲伤的一段同性恋情了。全世界的恐同者都该知道，他们用来敲出每个仇恨字眼的电脑在很多年前曾有一个名字——“克里斯托弗”。,2014-12-25 12:00:11
8,陀螺凡达可,推荐,抱着又一部《万物理论》的低期待走进影院，结果当然是比预想的要好，毕竟要比《万物理论》还差还能提名奥斯卡也不太可能了吧。马脸前半段一直在演夏洛克，后半段才入戏，就这样也足够完爆雀斑。AD配乐煽啊煽。撑同志反歧视的主题被放在哪么中心的位置还挺惊喜。,2015-01-29 06:09:05
9,匡轶歌,力荐,借用一个木心的句式：别再提图灵了吧，他的死，使我们感到大家都是对不起他的。天才总天真、坦荡、毫不设防地迎向这个庸人占领的世界，一腔热诚付与世界。世界待他们，往往却是一盆脏水兜头浇下。有人说：人类社会进步得还是太慢了。嗯，或许吧。人类社会大约是进步了，但人性从未进步过。,2015-01-09 16:56:15
10,裴Pey,推荐,故事本身便动人、跌宕起伏，看得难过。看到木心谈图灵的一句话，已经贴切地说出我所想的，“别再提图灵了吧，他的死，使我们感到大家都是对不起他的。天才总天真、坦荡、毫不设防地迎向这个庸人占领的世界，一腔热诚付与世界，世界待他们，往往却是一盆脏水兜头浇下。”,2015-01-14 16:25:17
11,毛豆バブン,力荐,太惨了，做人怎么能这么惨，惨得我和女士看完电影坐在椅子上一边擦眼泪一边思考了五分钟人生，上一次哭成狗的lgbt电影还是断背山。现在终于感觉，一个很厉害的人过得很惨，比一个很惨的正常人丧多了。,2014-11-15 09:46:21
12,影志,力荐,“无人所念之人，方能成就无人感想之事” 工整却依然好看。“我们用自己的方式爱着对方，我们能一起过我们想要的生活，你成不了完美丈夫，我也不想做什么完美的妻子，我不会整天给你做羊排，等你从办公室下班回家…我们享受互相的陪伴，我们享受互相的思想，因为我在乎你。我们彼此相知，胜过任何人”,2015-01-14 23:55:31
13,A L E X,力荐,重度虐伤。我承受不了图灵所承受的这种委屈，這個世界亏欠他太多太多。,2015-01-10 22:14:14
14,武井咲,推荐,"遗憾天才的陨落，也遗憾与小金人失之交臂。
可能，命运注定要两部史诗级人物传记相遇。
当图灵碰撞霍金。
他们都是为推动人类进步做出不可磨灭功绩的智者。你无法把他们摆在一个天秤上较量孰轻孰重。
许是粉丝滤镜吧，让我终究因为卷福更偏爱图灵。偏爱这个战火纷飞的年代里，压抑的，激情的故事。",2018-02-09 12:23:33
15,宝叔细品红楼梦,力荐,这个世界由阳光、空气、偏见组成。我们歧视不同种族的人，我们歧视不同信仰的人，我们歧视不同性向的人，我们歧视任何观念与我们不合的人，我们甚歧视仅仅是出生地不同的人。如果技术进步可以忽略不计，这个世界千万年来没任何改变。偏见是人类心灵的巨大鸿沟，原因再简单不过，仅仅是我们都渺小的相似,2015-01-18 15:47:39
