序号,评论者,评分,内容,时间
1,有心打扰,推荐,开场精彩，中场尽显疲态，结局来了个绝杀，最后终于反败为胜，深入我心。凶手毋庸置疑是那个“船长”，他教会了学生追求快乐，但是却没有教会他们反抗，他教学生成为一个理想主义的诗人，却没有教会他们现实的残酷。充满理想的开篇却以悲剧性的事件结尾，理想终归要回到现实，并一直被现实压制。,2012-01-04 03:51:33
2,传奇☂,力荐,看这部电影才知道，原来自己已经死去了好久，从某个不经意间被打破的清晨开始。,2007-02-27 10:39:27
3,胡如隐,力荐,“金融，工程，建筑，计算，固然很重要，那是我们生存的条件；但诗歌，浪漫，爱，是我们生而为人的原因。”,2016-05-01 22:09:33
4,珍妮的肖像🦤,力荐,哦！船长！我的船长！,2008-09-07 08:55:48
5,海心,力荐,最后大家还是屈服了，但是永远不会忘记seize the day.,2009-05-08 16:16:49
6,私享史,力荐,《死亡诗社》最后安德森爬上课桌那一幕哭得我稀里哗啦的，一个刚到口的龙眼就活生生地吞下去了。它和《孩子王》有一个同样的情境设定，但立意确实不同的。《孩子王》里“从前有座山”那段也是让我唏嘘呀。另外，《死亡诗社》的中文配音配得很好，不知道出自哪儿。,2008-01-01 11:15:24
7,鱼丸粗面,推荐,"选择和别人不一样的路走的人,虽然会感觉孤独甚至会招致歧视,但并不意味着那就是过错——相反,一个真正的英雄往往会选择一条很少人会走的路.大多数的人都在平静的绝望着",2007-03-28 21:22:29
8,路人X,推荐,如果能遇到这样的老师，要积累多少的rp?,2005-07-08 18:37:38
9,Yolanda,推荐,这个时候他该怎么办我想，只能去死了。没想到他真去死了。sb一样的父母,2008-11-03 20:17:14
10,樹一,力荐,我和Nill有个一样的父亲，却从来没有遇见过像Mr. Keating那样的老师。所以我哭了。,2010-09-19 15:48:18
11,理想多钱一斤啊,力荐,深刻并不来自死亡，而来自那对心爱姑娘眸上的深深一吻，岩洞里的昂扬青春，还有生命陨落前那最后璀璨。Carpe diem -- 换个角度，换个心态，不再一样。,2009-10-16 17:10:50
12,九月五的酒,力荐,"后来，多年以后，追姑娘被揍的他成了律师合伙人，继续暗恋过去的女人，被双亲寄予厚望的他终究还是“妥协”成了医生，洒脱不羁胸前刺字的他消失匿迹在茫茫人海，那个羞涩腼腆外柔内刚的文艺青年，一步步蜕变成了文艺中年。光阴飞逝，诗社不朽，Captain, Oh Captain",2012-02-26 15:15:25
13,kingfish,力荐,"明明不是悲剧,就是不停的被感动着",2006-03-23 08:23:34
14,宋小君,力荐,站在课桌上看到的世界是不一样的。成长的路上一定要打破所谓规矩，抓住当下，及时行乐，即使在别人眼里，此刻你像个白痴。,2012-01-08 16:20:27
15,冉笛,力荐,尼尔打开窗户，戴着自己演戏时的荆棘王冠，赤裸着上身的他张开双臂感受着自然之风的最后一次吹拂，他在最后感受生命的意义。这一刻的眼神坚定的告诉我：没有了梦想的生活比死亡更让人可怕,2010-10-31 14:38:05
