序号,评论者,评分,内容,时间
1,私～川流,力荐,从Freddie第一次在钢琴上轻轻敲出Bohemian Rhapsody的旋律开始，我的泪腺和毛孔便会为每一缕熟悉旋律而收缩。而最后Live Aid如临现场的冲击力，让我意识到此生都没有可能真正看一次Queen的Live ——莫名的痛苦卷着鼓点的狂骚将我击溃在影院最后一排的座椅之上，鼓膜轰鸣。,2018-11-01 17:54:10
2,爬行隧道,力荐,牛逼！！！好音乐真是颗幸福的原子弹！！！,2018-11-02 22:32:53
3,LORENZO 洛伦佐,较差,这不是Queen，电影弱化了Freddie的同志身份，删减提前了他最重要的艾滋经历，他的享乐主义（夜店咖），对性欲的大胆追求以及和Jim在夜店相识的经历也被篡改，无怪乎萨莎·拜伦·科恩拒演。如果不尊重人物的真实经历而只是避重就轻，那和瞎编有什么区别？人物肤浅、只有花边新闻没有人物成长，更没有内心。反感某些乐队成员一心想洗白的功利心，把浪荡全部推给了Freddie，还让他自我救赎（恶不恶心），真是毁了这部电影。,2019-01-15 20:08:33
4,糯木,还行,前半部分剧情潦草得仿佛赶着去投胎，内心OS：这拍的什么鬼？！大皇后好不容易有个传记片求别毁啊啊啊。最后Live Aid部分神奇地力挽狂澜，OS：壮哉你大皇后，片子拍得再水都能靠歌救回来。但严肃地说，布莱恩·辛格对牙叔私生活的呈现有哗众取宠之嫌，而对他真正的音乐精神和生命力却轻描淡写，“天才巨星”整个像撞大运一样【虽然人家牙叔是这么说的，但你也不能真这么拍吧。,2018-10-29 12:04:44
5,螃蟹|腮脖膨客,力荐,妈妈，Life has just 毕赣,2019-01-03 17:19:18
6,米粒,还行,只能说是合格的人物小传吧，除去音乐外并无任何特别之处，而且主次取舍很值得商榷，前一小段非常走马观花地皇后就爆红了，后面都是其实粉丝更熟悉的单飞矛盾花边新闻等等。全部看完感觉不仅Freddie的形象不够丰满，配角们似乎也难有出彩的地方。不过音乐就是一种有魔力的东西啊，前奏一响起来马上脑袋就嗡地一下然后什么都不愿意多想了。歌真是太好听了。所有的歌,2018-11-06 11:29:23
7,岛上的夏奈,力荐,看了一场不属于自己年代的演唱会，Queen的音乐真是太棒了，尽管觉得剧情和剪辑上有瑕疵，却仍旧下不去手给四星。,2018-11-04 05:06:53
8,赵贾森,推荐,坐在几百个白发的叔叔阿姨中间观影，感觉我们虽隔了二十多年但共享了一段青春。,2018-11-04 03:14:03
9,肖恩恩恩恩肖,力荐,我算看穿了，音乐电影拍到哪种程度，主要看OST的质量…,2019-02-28 02:25:18
10,Peter Cat,推荐,其实也只三十年功夫，摇滚作为行动和爱的时代已经灰飞烟灭，我们究竟生活在什么样世代？,2018-12-25 07:50:58
11,小四不象,推荐,Rami Malek该拿个奥斯卡提名了，台风简直神还原。最后Live Aid拍出了那么点伟大的范儿，我特意去油管看了原视频，电影这段还原得原汁原味，高空航拍越过人山人海的观众，然后镜头直接连到主舞台钢琴下对Freddie的特写，这个合成长镜头实在太酷了！万众瞩目，集全宇宙之光于一身的感觉；开头唱到Life had just begun就开始泪崩，结合他之前跟乐队成员说出自己得了艾滋，再看Bohemian Rhapsody的歌词，感觉每一句都是重磅催泪弹，于是才明白为啥这部传记片要用这首歌名当电影名；Live Aid上演出的每分每秒，都是Freddie燃烧生命的表演，这是他传奇人生的伟大谢幕。,2018-10-25 08:18:39
12,影志,力荐,“我昨晚做了个噩梦，我就跑过来了。我尝试跟你聊天，但你没了声音” 最亲密人的直觉往往最准，Mary这样的挚爱和灵魂伴侣值得一辈子。“我早已知道，但我不愿承认…虽然每次都这样，但这次不同，因为根本错的就不是你”、“这些人不在乎你”当爱成骗局，你会更看清自己，“我想你在我的生命里”。2019《爱乐之城》+《与歌同行》，这才是真正的《一个明星的诞生》。听Queen的歌不多，依然享有天堂般的体验。最劲的Freddie，真正的传奇。最后演唱会现场一开喉，就止不住的飙泪…@香港 The Grand cinema,2019-02-01 15:18:17
13,桃桃林林,推荐,作为传记片其实挺普通的，不过，结尾那段live aid 还是给煽到热泪盈眶。唉，这就是音乐的魔力吧。,2018-11-08 19:01:27
14,同志亦凡人中文站,推荐,跨四个八度音阶的唱将传奇，迷失和寻找自我的璀璨之旅。难得的是没有因为换导演而烂尾，反而颠覆了很多外界对这位双性恋巨星的误解。温暖而澎湃，就像皇后乐队其他成员写给Freddie Mercury的一首爱歌。最后的拯救生命演唱会感动得人灵魂出窍啊，贯穿全片的原声非常过瘾！（IMAX燃燃燃燃燃燃燃燃）,2018-11-01 15:58:04
15,老晃,力荐,太帅了！充满激情、甜蜜又无比心碎。三度落泪。你选择看《波西米亚狂想曲》的夜晚，会是一个节日。,2019-01-16 21:15:00
