序号,评论者,评分,内容,时间
1,boliang,还行,给大众看的艺术家电影，很多煽情与细述很不必要，但是很多人喜欢,2006-07-17 13:16:54
2,隆咚锵,力荐,某一天我突然明白，他不能离开的不是那艘船，而是那片养育他的精神家园,2007-02-26 00:54:43
3,高压电,还行,最长的一版完全是顺着煽情的每一个Ｇ点往下走的，坏处就是高潮多了人也会厌的。另外从小就好奇男二的眼睛为什么会小范围打转。,2012-10-03 02:42:18
4,九尾黑猫,较差,不喜欢，没共鸣。,2008-03-19 00:34:26
5,杜边生,力荐,如果我把吉他练熟了，就可以不用买打火机啦,2007-11-17 03:00:33
6,杜扬Seatory,力荐,每个人的心里都有自己的一艘船 一个近乎偏执的小归宿 只是因为它让我们感到实实在在的安全 不致无枝可依。,2006-10-20 22:58:33
7,明珠一颗孙小美,力荐,最喜欢的电影，喜欢，不是之一，而是唯一,2005-09-01 22:36:02
8,寂地,力荐,又是一定该看的，只在自己的世界里坚持自己的人．哪怕生命就这样消逝．只留下一点声音的碎片，１９００，也许我们都一样害怕脚踏实地的生活，害怕乌烟瘴气的世界．,2006-01-03 16:34:09
9,眠去,力荐,我就爱他说，fuck the regulations!!,2008-12-19 19:10:57
10,Zuschauerin,推荐,我总觉得这是一个真实的故事，因为他的懦弱，懦弱得真实。,2007-03-12 18:11:47
11,幕天席地,力荐,键盘有始有终，你确切知道 88 个键就在那儿，错不了。它并不是无限的，而你，才是无限的。你能在键盘上表现的音乐是无限的，我喜欢这样，我能轻松应对，而你现在让我走过跳板，走到城市里，等着我的是一个没有尽头的键盘，我又怎能在这样的键盘上弹奏呢？那是上帝的键盘啊！,2017-03-17 08:52:27
12,诸葛若见,力荐,每天睁眼，去面对这个世界都需要勇气。,2011-12-18 16:31:54
13,小波福娃,未评分,令人感动的宅男，让我想起了树上的男爵,2007-10-29 18:18:06
14,岁月如歌,力荐,当一个人习惯了孤独，那么让他融入人群等于杀死他,2015-09-25 18:25:49
15,夏小暖,力荐,很多年前看的时候怎么都不懂1900为什么不下船，今天下午重新再看了一遍，居然特别感同身受。其实，我也从来没有下过船。,2015-02-24 17:11:05
