序号,评论者,评分,内容,时间
1,Ck,推荐,人老了，由頭哭到尾。,2016-06-27 17:48:41
2,怂囧小赫,力荐,人至善，景至美，故事细腻，淳朴动人，人生本该如此，温情永存，何惧苦难？,2016-09-14 20:22:29
3,yolanta,未评分,有生之年不去瑞士还有啥可活？,2016-08-04 13:39:05
4,左佐,力荐,成功之处在于每个角色都很立体，都有优点缺点，海蒂不守规矩却天真可爱，克劳拉自私骄纵却优雅美丽，皮特淘气却耿直，爷爷脾气古怪却默默付出，女管家严厉却谨慎。山里的人没有那么朴实无华，“宫殿”里的人也没那么惟利是图。,2016-08-31 12:54:35
5,小小斌,力荐,小姑娘很有灵气，给人的感觉就好像天生属于大山，光着脚奔跑在花草山峦中，风般轻盈，鸟儿般欢乐。电影中的感情都很真挚，也很友善，没有绝对的坏人，而且大家到最后都得到了所希望的幸福，这种幸福让观众看着也幸福。,2016-08-14 01:46:34
6,我是大皮哥,还行,"愿意穷尽这一生，去守护海蒂洁白无瑕的笑容。Peter失手推下山的轮椅，反而成了帮助Klara重新站起来的助力，真的给人一种生命的美好会创造无限miracle的感觉。“If something in life brings you joy, then you simply have to do it, regardless of what people say.”",2016-08-20 12:05:56
7,Panda的影音,力荐,难怪片名让我有种莫名的熟悉感，看正片后才知道这与高畑勋导演、宫崎骏担任场面设定的动画剧集《阿尔卑斯山的少女》都改编自小说《海蒂》，真是太惊喜了。……故事温情脉脉，风景怡情养目，一段醉我心脾的观影历程。……有时，我以为看过几千部电影会审美疲劳，可当碰到心仪之作依然能看得身心愉悦。→ 2019.05.23：去看自己喜爱的电影有时就像是去赴重要的约会，要特地挑选影院、时间、座位，然后放映前要好好养精蓄锐以便看片时能有充沛的精力，循环原声配乐能让观影过程更有带入感更能沉浸在电影的世界里，没有琐事分心烦心以及同场观众能不吵不闹看电影则是小幸运……就这样，一次开心愉悦、享受至极的《海蒂和爷爷》重温之旅存进了我的脑海！,2016-08-19 11:40:02
8,朝暮雪,力荐,"海蒂失去了父母，于力失去了孩子，他们是两个被抛弃的人，恰好填补了对方缺失的部分。
来到克拉拉家，海蒂有了新衣服、新鞋子，有了食物，有了温暖的大床，她什么都有了，可是没有了爷爷、雪山和羊群。
你给了她物质生活，其实她要的是精神生活，要的是亲情和自由。
无数的规矩和礼仪把克拉拉压得喘不过气，让她产生了心病。不仅身体寸步难行，心理也被牢牢困住。
你以为你给了她一切，其实你根本不知道她想要的是什么。
正是蓝天和白云，青草和蝴蝶，让她打开心扉，融化了她内心的病魔。
当然，城里也有柔软的面包，山里也有人没有见识。城里并非一无是处，山里的人也不一定都是对的。
电影还有一条暗线，老师强迫海蒂认字，然而欲速则不达；
奶奶鼓励她自己看故事，从而培养了她的兴趣。果然没有教不会的学生，只有不会教的老师。",2019-05-12 19:26:29
9,🐌蜗牛然小九,力荐,看完了想去瑞士，看的时候一度害怕克拉拉被坏人骗，害怕外婆嫌弃海蒂，害怕克拉拉嫌弃山里的日子，害怕她和海蒂因为什么争吵，看来我真的已经如履薄冰太久，不敢去相信在童话的世界里一切都是美好了，这是成长的代价嘛？真的可悲,2021-04-26 12:08:31
10,ほこり,推荐,“大家都笑我，因为我想写故事”“那是因为大家知道的太少，而你看过更大的世界。如果你觉得这个世界有那些东西会让你快乐，就去做，无论别人说什么”,2016-09-15 01:12:53
11,耳东某,力荐,寄养的地方就像[唐顿庄园]，睿智的老祖母，故作姿态又可爱的管家，优雅不落灰尘的大宅子，可海蒂最后离开了这里，她回到了祖父的小屋里，那里有鹰和雪山，那里有第一个真正疼爱她的人，那里有自然的怀抱。人类走出山野为了进步，人类回到山野，为了放置一颗不安的心。,2016-09-24 23:11:05
12,万物静默如初,力荐,想说的是：这才是人生中最美好的童年时光。,2016-09-18 17:34:00
13,许多许光汉,力荐,喜欢 很温馨 我泪点有点低,2016-08-16 10:54:41
14,可爱猫猫头,还行,看了之后抑郁症都好了～,2016-09-06 12:55:18
15,王xx,力荐,5颗星完全不够用,2016-09-04 17:57:55
