序号,评论者,评分,内容,时间
1,哪吒男,力荐,我和我不想要的后半生，我和我不愿意和解的自己。你们都朝春天去，就留我在破碎里又丧又美丽。,2017-01-25 14:34:11
2,Saltsalt726,力荐,有時關不上冰箱的門 腳趾撞到了桌腿 臨出門找不到手機 嚎啕大哭 你覺得小題大作 只有我自己知道為什麼,2017-02-02 20:41:35
3,布鲁斯老师,力荐,我们都有权利不与自己的过去和解。#2016TIFF,2016-09-15 07:53:27
4,是心,力荐,我最怕的就是这种电影，看完以后什么都讲不出，就想静静地待着，静静地沉溺在挥之不去的抑郁中。结局仿佛看到了光，又好似什么都没有。,2017-01-26 20:28:51
5,toska,力荐,我冷漠的躯壳里，是抚不平的伤口和解不开的死结。,2016-12-01 17:20:20
6,荞麦,还行,……就还好啊。怎么大家集体爱上这种了？,2017-01-28 03:20:50
7,k,推荐,那些劝我们向前看的朋友，“不是所有人都可以和过去和解”,2017-01-25 23:52:52
8,张维托,力荐,Lee说话是不是美国周杰伦,2017-01-20 08:08:43
9,同志亦凡人中文站,力荐,最好的生活流电影，难得的是叙事手法又带着变化。叔侄俩各自面对各自的失去，亲情恬淡而走心。没有刻意追求正能量，但曼彻斯特阴冷的海，就这样被琐碎和小幽默一点点填满。——就像全世界的雪，最终会带来全世界的春之苏醒。毫无疑问我的年度最佳。,2016-12-11 18:33:31
10,CharlesChou,力荐,葬礼进行的时候，他听着宝宝的哭声，与那个试图安抚婴儿的男人共享着眼底羞为人察觉的一丝焦虑。他想伸手接过孩子，用他或许尚未消散的那种魔力让宝宝平静下来，又旋即意识到自己不能，也没有理由去为旁人阻止这种连锁的消耗。他累了也尽力了，相信所有人都是一样。,2017-01-29 00:35:26
11,匡轶歌,力荐,10年啊，从《神枪手之死》的最佳男配提名起，我等着Casey摘影帝，十年。演技最被忽视，总是半红不黑的Casey，今年当是非你莫属。对痛苦的表达，就当这么朴素节制。送一句小津的话给那些说Casey面瘫的人：高兴就又跑又跳，悲伤就又哭又喊，那是上野动物园的猴子干的事。,2017-01-25 20:49:59
12,线性代数,力荐,"生活像是曼彻斯特的雪，干燥而冷硬，无情地嘲笑着折磨着裹挟其中的每个人，将最后一点温暖掩埋于六尺之下。""I can't beat it. I can't beat it.""",2016-10-03 08:38:12
13,根,推荐,人生的伤口，二十五岁之前怪父母，二十五岁之后怪社会，最惨就是巨大伤口摊开在那里，腐臭流脓永不愈合，然而，无人可怪,2017-02-20 10:07:48
14,牧风,力荐,如今的影评人动辄靠骂“中产阶级”来博人眼球，只要喊“中产阶级”去死就有SB点赞，这我忍了，可是！人家一水管工也要被讲成是中产阶级，实在替凯西咽不下这口气！看电影只看到“阶级地位”、“政治目的”，人电影没你想的这么黑暗！而且我天C也已有25%的人是中产阶级了， 各位中产请不要自己打脸！,2017-01-18 23:30:25
15,陀螺凡达可,推荐,又名《回忆杀》。有遗憾和失望，二刷后感觉对角色的好感甚于电影，卡西的角色写得演得太饱满了，让我对这个角色产生了依恋感。,2016-12-14 06:09:43
