序号,评论者,评分,内容,时间
1,我不是盆栽啊,未评分,酷到不需要朋友。一个狗咬狗的故事，没有人是无辜的。喜欢男主问为什么我们要毁掉对方互相伤害的时候女主面无表情的答因为这就是婚姻。结局啊结局，我原本以为两个人中终究会有一个杀掉另一个，没想到是一个更加恐怖的结局。,2014-10-05 02:56:38
2,ToTheMoon1900,力荐,"男：我们互相折磨，互相控制，这样有什么意义呢？
女：这就是婚姻。",2014-10-02 00:49:14
3,司令,推荐,唯一令我不解的是，聪明绝顶的女主为什么不好好跟长得像马云的富二代在一块儿，而要回到那呆傻的丈夫身边呢？就因为看了会儿电视？,2014-10-10 09:54:51
4,Wilkins,力荐,I love David Fincher! P.S.: 开始前，旁边坐在一群couples中的单身小哥无聊郁闷地喝咖啡；结束后，他幸灾乐祸地跟我说，Now every couple feels no good...,2014-10-04 19:52:19
5,朱老板,力荐,一对和谐的夫妇坐在沙发上尴尬地看完了这片。。。,2016-03-19 23:26:42
6,芦哲峰,推荐,爱人不见了，千夫所指。爱人回来了，万丈深渊；婚姻是一袭华美的袍，这是面子。爬满了虱子，这是里子。,2014-12-16 09:33:39
7,RKO,力荐,人渣大战,2014-10-02 11:53:01
8,L'automne,推荐,后半段我一直期待有更惊喜的东西，可惜没有。,2014-10-04 22:15:13
9,云中,力荐,这片无敌了。故事太尼玛牛了。人物状态看得我蛋都疼了。芬奇就是我的神！,2014-10-01 19:16:50
10,文西,推荐,哈内克似的割喉真是万能药... 大卫芬奇要多恨现代媒体。美国社会结构就是少数精英控制了洗脑话语权，而大部分人则自觉或者不自觉地维护着虚幻的道德...,2014-10-03 14:15:42
11,JOJOORC/Z,未评分,富二代招谁惹谁了,2014-12-11 21:46:04
12,噜,推荐,年度最佳date movie💄,2014-10-05 04:29:48
13,幸运儿与脱身术,推荐,讲了一个天蝎腹黑绿茶婊的故事！,2014-10-03 14:07:05
14,Peter Cat,还行,以悬疑标准去要求，最后部分完全脱线，用黑色幽默弥补剧作牵强；当寓言看，则太直白。冷嘲热讽代价是牺牲配角心理空间，但嘲讽本身却很老套，也很表面。,2014-10-09 06:52:35
15,张小强,力荐,很讽刺啊，高帅富输在大电视上，因为丈夫的深情表演被高分别率的宽屏大电视放大了，如果妻子看的是旅馆里飘着雪花的小电视的渣画质，八成是不会被忽悠的。所以这片子说得就是媒体，尤其是装备精良的媒体有多么可怕，正是为了对抗扭曲现实的媒体，才有的广电总局吧 #工业改变一切#,2014-12-13 21:53:32
