序号,评论者,评分,内容,时间
1,MOJO,还行,每当我想起，在另一个时间与空间里，我与你有着截然不同的故事时，我便释然此时此刻你与我的狭路相逢。,2011-06-26 22:02:05
2,狄米,未评分,不会修电脑的计算机博士表示，理论上来说这个片子的故事是可以成立的。。。,2011-04-13 06:24:56
3,seren,推荐,平行世界理论一定是真的，我坚定不移的相信着,2011-04-08 07:09:01
4,易老邪,推荐,居然有那么多人认为《源代码》最完美的结局应该是定格在最后那一吻上，由此可见，真要这样结尾够有多么的恶俗不堪啊。,2011-07-13 20:26:27
5,ParasItE,推荐,如果结局停在那一吻我就给四星半了。,2011-04-03 13:19:30
6,denovo,力荐,这部电影告诉我们，最重要的不是想出一套没有硬伤的“科幻”元素，而是讲一个好故事。,2011-04-16 20:05:25
7,Phantom,还行,打工人死了还要继续打工系列。,2022-01-15 20:31:58
8,D I D A,力荐,竟然看到短评里有人言“结局累赘”、“如果一切停在这个吻就完美了”。卧槽，两位琼瑶剧迷请勿玷污科幻电影的SF之神好么！！！！可以说，影片3/4之前的剧情是立意新颖但仍中规中矩的悬疑惊悚片，但是结尾处的1/4剧情简直达到了科幻电影的肾上腺素暴表线。这个结局甚至比《月球》更加悬幻陡峭.,2011-07-19 01:04:03
9,砒霜拌飯,推荐,太憋屈了，不是太空舱就是火车厢，幸好他最后出去了，要不得憋死我,2011-06-19 23:04:49
10,vin,推荐,最后3分钟有点画蛇添足。,2011-04-02 04:53:06
11,画下天籁,力荐,还好结局不是停在最后那一吻上，否则我给不了五颗星。希望在美好时停住，其实是内心脆弱的表现。从美好开始，延续下去，才饱含未来充满的坚强和希望的力量。谁的人生没有遗憾？但你要相信，在另一个世界，那些遗憾会被弥补。,2011-06-28 19:42:33
12,makzhou,推荐,不赖，但是看着没什么心潮澎湃的感觉，激动不起来,2011-04-06 09:43:41
13,玎老师大声疾呼,推荐,全片最喜欢的片段是，从古德温角度看男主只是文字。不知道为啥很戳我泪点,2022-02-12 22:45:22
14,tower,力荐,"如果画面停在最后一吻上,就完美了.",2011-04-05 03:02:50
15,大奇特(Grinch),推荐,Inception+Groundhog Day，现实和记忆是相辅相成的，只要能生存的有意义管它是哪里，何况这本身就是一个平行宇宙。结尾定格在静止画面时才是真正完美的结局，之后几分钟剧情完全可以忽视。,2011-04-20 23:22:10
