序号,评论者,评分,内容,时间
1,C°,力荐,他们至少有电影的力量在支撑着弱势群体，而我们呢？因为【熔炉】的上映，一部关于【性暴力犯罪处罚特别法部分修订法律案】目前已通过韩国国会正式颁布，当时的嫌疑人也已被警方逮捕，【熔炉】让我们看到一部现实题材影片所蕴含的巨大能量。有时候一部电影真的可以改变一个世界！,2012-01-03 07:16:41
2,茱湮河,力荐,想起一级恐惧的片头台词来：想找公平就到妓院，想被人干才到法庭。深雾中到处是颤栗的呻吟。,2011-12-28 03:27:03
3,桃桃林林,推荐,我们愤怒的不仅是禽兽的行径，更是禽兽逍遥法外，正义无处伸张，无能为力才是最痛苦和绝望的。一个非常容易感动观众的题材，尤其还是真实事件改编。其实电影还有很多提升空间，包括对犯罪场面的描述太刻意未也太多了。但仍喜欢这样的电影，这才是电影应有的立场。这就是我们和韩影的差距。3星半,2011-12-30 21:04:54
4,又又,力荐,這個世界的絕望在於，眼睜睜地看著那麼多的不公不平每天都在身邊發生，自己再怎麼努力卻依舊無可奈何；而這個世界的希望也在於，明知是蚍蜉撼大樹，卻還是有那麼一群人執著地選擇了這一條艱難而幾近不可能的路。,2011-12-30 13:13:27
5,qw-p,力荐,我们无法改变世界，但我们可以选择不被世界改变...,2011-12-30 20:48:57
6,握不住的灵魂,推荐,《内咸》--鲁迅,2012-06-09 20:12:08
7,落大雨了,推荐,我在想演戏的小孩子会不会有心理阴影,2012-01-03 15:13:50
8,Doublebitch,力荐,当邪恶的力量已经渗透至社会的每个角落尤其是当权者手中，我们还他妈向谁去央求公平和自由,2012-01-03 12:43:01
9,白发生,力荐,大概只有套用《让子弹飞》里的一句经典台词才能略为表达我看完本片时的心情——震撼！震撼！！还是TMD震撼！！！我可以理解部分人站在纯粹艺术的角度对这部电影技法上的乏善可陈评头论足，但是我无法相信有人面对它由始至终散发出的那股震撼人心的力量时居然能做到完全无动于衷。,2012-04-26 10:50:11
10,Q。,推荐,“奋起反抗不是为了改变这个世界，而是为了不让这个世界改变我们。”电影以真实故事改编，又一部极其精彩反映社会阴暗的题材。每个人物都刻画的立体丰满，情感同样控制得当，无力感充斥全身。电影完结，愤怒、无奈、唏嘘、悲伤各种情感如同“雾津”的浓雾一般，久久未能飘散，始终萦绕心头。★★★★,2011-12-29 04:49:37
11,阿巴厮,力荐,不说别的，光电影那股正义的力量，就足以让人沸腾。,2012-01-02 22:48:12
12,齊克斯尼力佐飛,力荐,不能用电影的标准来评判它，因为这事件本身已经震撼得出一身冷汗，能拍出来就是已经了不起的事。,2012-03-27 22:42:27
13,niania兔,力荐,孔侑在里面对自己的母亲说：我在她被性暴行的时候来不及去阻止，现在这些孩子需要我的时候，我怎么能袖手旁观呢？如果这样都做不到，我又怎么能当一名合格称职的父亲~,2011-09-27 22:22:34
14,大鼻先森,力荐,我有一个长长的望远镜，一直能伸到你的家里，你说什么做什么我都能看得到。,2017-11-24 08:20:43
15,浑浊儿,未评分,"为师不尊,为官不正,为医不德,为富不仁,为慈不善,这些都应该是另一个五宗罪",2011-12-30 23:27:08
