序号,评论者,评分,内容,时间
1,麻绳,力荐,这电影要是早两年看，不会有这么深感触。很多情况下，真相是什么对围观者并不重要，他们需要的只是一个支点，让自己站在虚妄的道德制高点上，得意一时是一时，反正过几天他们就会遗忘，任由真相被新的猎奇淹没，微博上这样的人和事比比皆是。,2013-03-28 16:26:59
2,柏林苍穹下,力荐,占据道德的制高点猎杀他者，你手上可有血污！？,2013-03-24 03:09:56
3,cancel,力荐,如果你有个上幼儿园的孩子，就会明白，大多数情况下，通过诱导的方式，成人都能从孩子的口中得到他们想要得到的信息，所以，关键问题是大人们想得到什么，而不是孩子说了什么,2014-05-23 11:51:03
4,老晃,推荐,1、看的人想死的心都有了；2、……还得活着。,2013-03-30 23:36:38
5,我做导演不为艺术只为潜规则,推荐,Mads Mikkelsen被冤枉以后变成汉尼拔报复社会了,2013-04-09 19:44:35
6,桃桃林林,推荐,实在是一部虐心的片子。感觉这样的故事很像时下微博流行的一些谣言，我们都喜欢耸动的新闻，人们不关注真相，更关注这个故事是否与自己预想的一致，或是对自己有利。而恶意一旦形成，将伴你一生。黑暗压抑的故事，麦德斯的表演很棒。这是个寓言，所以情节会略有刻意，尽可能的虐心。,2013-03-24 10:29:03
7,wino,力荐,1.萝莉由爱生怨的报复手段又狠又蠢 2.孩子最可怕就在于明明无知，却会本能地以纯真作为武器，让他人深信不疑 3.人们习惯于自以为是，站在弱者角度分发所谓的正义和怜悯心，本身就是一种不公 4.信任和声誉一样，一旦破坏就无法修复 5.你永远活在他人的目光里，而世界本就有太多恶意~结局很现实，好片,2013-03-22 18:10:35
8,大奇特(Grinch),推荐,童言无忌的威慑力足以将成人置于死地，但更怕的是人言可畏的成人世界，一味愚蠢、盲从、暴力，善良的猎人最终变成众人眼中的猎物。,2013-03-24 02:09:52
9,LORENZO 洛伦佐,推荐,四星半，一贯的丹麦式群像心理刻画，冷峻、残酷，虽然故事略显老套，但是情绪的张力贯穿始终，沉沉冤案让人如鲠在喉。唯一缺憾的是末段的情绪高潮不够激烈，不过最后的【狩猎】的确又把人的情绪打回现实：明枪易躲，流言难防。,2012-10-07 23:59:51
10,匡轶歌,力荐,极度深寒。很难不联想到韩寒事件、杰克逊娈童案、及阿瑟米勒剧本的<妒焰飞灰>。孩童之恶源于无知。成人之恶却发乎偏见、道听盲从、各种嗜血癖嗜尸癖嗜黑癖，对恶的无反思、不推己、不自知。诬名者往往善假正义之帜，无不高举道德刑具。泼粪杀人的最大恐惧是谁也无法预知，这冤假错何时会降临自己头上。,2013-03-28 16:09:12
11,安非,力荐,天真无邪才是最大的邪，童言无忌才是最大的忌，天使有时候才是恶魔。能说出口的委屈都不叫委屈，最大的委屈是承受不白之冤还百口莫辩。,2013-03-23 22:56:14
12,大头绿豆,力荐,❶本片极度绝望压抑（但毫不沉闷），易产生诸如替男主抬起猎枪从幼儿园园长超市店员开始杀起这样的冲动，请谨慎观看。❷我们都可能成为那些抛弃卢卡斯的人。就像我们认定一个人精神病，他的所有举止就是精神病。❸熊孩子的恶意比任何恶意都可怕，因为他们不知道后果。,2013-04-11 22:34:17
13,朝暮雪,推荐,我们习惯性地认为孩子不会撒谎，事实上他们经常撒谎。,2014-03-07 16:42:43
14,影歌yorihisa,力荐,即使整个社会抛弃了你，也要活得有尊严。叔顶着满头鲜血回到超市去要回属于自己的东西真是帅爆了=口=卢卡斯从没有抱怨过我什么都没有做你们却要这样对待我之类弱爆的怨言，而是咬牙挺胸堂堂正正的挺过去。如果恶意无法避免，至少要活得坚强。顺说我总觉得下一幕叔就会化身汉尼拔把全镇下饭…,2013-07-05 06:44:26
15,同志亦凡人中文站,推荐,导演在冲突营造上有些刻意了，但电影背后的大片人性阴暗却是客观存在。一群成年人用先入为主做成陷阱，围猎一个曾经熟悉的陌生人，无论观众还是主角，除了陷入如困兽般的绝望还能做什么？孩子不过给大人提供了一个猎场，我们都选择相信自己愿意相信的。,2013-03-23 22:21:36
