序号,评论者,评分,内容,时间
1,猪是的念来过倒,力荐,我87年出生，，看toy 1是小学3年级。看toy3是大学毕业。纯爷们，没哭死我。。。。我想说 这是皮克斯送给我们这代人的一份礼物。再见了，我的童年，谢谢你，皮克斯,2010-06-16 22:12:00
2,ｄａｂａｉ,力荐,玩具总动员3的感人之处就是帮我们这些老家伙给了一个正式的和童年say goodbye的机会，当上大学的andy再一次背起woody的时候，十五年的光阴就这么友好又温柔地消失在木栅屋远处的夕阳中了。,2010-06-16 02:00:01
3,影子的影子,力荐,前半部分就有好几次想哭的冲动，本来以为这次能够幸免的，没想到最后几分钟那么煽情，简直要哭死了。其实3D效果并没有很出色，但是精彩的剧本真的很让人感动。这不是一部给小孩子的动画，是一部给成人的童话。,2010-06-11 06:36:18
4,山人阿苍苍,力荐,让我笑已经够了，居然还能让我哭，nice job！,2010-06-12 19:56:06
5,辣辣的皮特,还行,感觉很平淡呀，难道童心离我而去了吗？no...另外，3D效果不如驯龙高手。,2010-06-16 12:02:25
6,锡罐头,力荐,1.前一个多小时充分照顾了片子的趣味探险气质，后半个小时照顾了跨度十多年的老观众，真让人情到深处，潸然泪下！2.玩具们的最好归宿到底是哪？本片探讨的问题其实已经超越了前两部，整体性上也兼顾的很好，如果这是完结片，的确相当不错！,2010-06-16 15:31:04
7,同志亦凡人中文站,力荐,结尾的煽情很见水准，但现实中哪里还找得到Andy这样单纯童真的17岁少年呢？！,2010-06-17 09:57:31
8,郭朋克,力荐,跨度十五年的欢乐与泪水,2010-06-16 21:04:06
9,朝暮雪,力荐,"虽然是动画片，但没有一味地弘扬真善美，也反映了人性丑恶的一面。
比如抱抱熊罗素，它被替代了，它自己要走，还强行要别人也跟着离开。
胡迪救了它一命，它还恩将仇报。
除此之外，它还挑拨离间，企图让巴斯光年背叛朋友。
软的不行就来硬的，将巴斯光年恢复出厂设置，甚至提醒巴斯光年“当心它们对你用反间计”，太可怕了。
幼儿园充满黑暗和邪恶，连玩具也存在金字塔制度，分阶层和等级，有各种明争暗斗。
有卡车队伍巡逻，有岗哨，还有猴子随时看监控，戒备森严，宛如监狱。
毕竟这个世界并非只有美好的一面，也存在社会阴暗面。
《玩具总动员》前两部也很好，但相对而言还是比较低幼，第三部就真正是拍给大人看的了。
当邦妮想拿胡迪的时候，安迪条件反射地缩手，这一幕太细腻了。
我没有抛弃它们，恰恰相反，它们是我最宝贵的回忆。",2012-08-07 16:04:43
10,影志,力荐,比梦工厂《驯龙高手》更胜一筹的是，皮克斯动画总能让人感动持久，并且部部精彩、每每动容。,2010-06-23 23:31:52
11,YoyoRan,力荐,最后安迪细数自己的玩具那让我意识到自己也就这样长大了，和我那些玩具。《玩具总动员》自幼在我心中烙下印记：让我觉得玩具都是有感情的小生命，在我们不知道的维度里有喜怒哀乐。而且玩具相对于真正的生命带给我的压力会小一些。玩具不会死，只要不遗弃它们，所以千万不要遗弃他们。7.9和你再看。,2010-06-16 19:52:49
12,荔枝超人,推荐,"闪耀着万丈光芒的又一动画杰作。每一处笑点都能轻易抓到，让我就像是回到了15年前，开心到得意忘形。最后一场戏动人程度堪比UP的""married life""!",2010-06-12 21:18:22
13,Q。,推荐,它对于我已经不仅仅是一部电影那么简单，而是代表了对于童年时代的记忆与怀念，整个电影院从头到尾笑声不断，但我相信，更多人会被影片的后半段打动，相信看过前两部的人都会很感慨。★★★★☆,2010-06-25 00:40:06
14,桃桃林林,推荐,还记得你的那些玩伴么？,2010-08-15 09:38:40
15,渃珏,力荐,竟然看动画片看到泪流不止。皮克斯，你真行。,2010-06-16 23:53:30
